"region","input","year","value"
"Central America and Caribbean","refined liquids industrial",2005,0.801491096997
"Central America and Caribbean","refined liquids industrial",2010,0.793665607004
"Central America and Caribbean","refined liquids industrial",2015,0.800523099999
"Central America and Caribbean","refined liquids industrial",2021,0.597694474982
"Central Asia","refined liquids enduse",1975,0.52565175
"Central Asia","refined liquids enduse",1990,1.28888711
"Central Asia","refined liquids enduse",2005,0.729335001
"Central Asia","refined liquids enduse",2010,0.944113412
"Central Asia","refined liquids enduse",2015,1.045265855
"Central Asia","refined liquids enduse",2021,1.228613911
"Central Asia","refined liquids industrial",1975,1.1859206463
"Central Asia","refined liquids industrial",1990,1.1557642904
"Central Asia","refined liquids industrial",2005,0.437557558
"Central Asia","refined liquids industrial",2010,0.3198182057
"Central Asia","refined liquids industrial",2015,0.4406807447
"Central Asia","refined liquids industrial",2021,0.4470435722
"China","refined liquids enduse",1975,0.3726466
"China","refined liquids enduse",1990,1.640975751
"China","refined liquids enduse",2005,7.73712469
"China","refined liquids enduse",2010,11.10236334
"China","refined liquids enduse",2015,15.34428596
"China","refined liquids enduse",2021,17.02217774
"China","refined liquids industrial",1975,1.703020994
"China","refined liquids industrial",1990,3.264693979
"China","refined liquids industrial",2005,6.058886772
"China","refined liquids industrial",2010,7.217037674
"China","refined liquids industrial",2015,7.851354738
"China","refined liquids industrial",2021,11.720086846
"Colombia","refined liquids enduse",1975,0.09135351
"Colombia","refined liquids enduse",1990,0.3108999516
"Colombia","refined liquids enduse",2005,0.3610957493
"Colombia","refined liquids enduse",2010,0.4014149045
"Colombia","refined liquids enduse",2015,0.6531916057
"Colombia","refined liquids enduse",2021,0.6690749618
"Colombia","refined liquids industrial",1975,0.05169709261
"Colombia","refined liquids industrial",1990,0.08719450687
"Colombia","refined liquids industrial",2005,0.12524543199
"Colombia","refined liquids industrial",2010,0.1347463855
"Colombia","refined liquids industrial",2015,0.1068255849
"Colombia","refined liquids industrial",2021,0.12696052639
"EU-12","refined liquids enduse",1975,0.645289229
"EU-12","refined liquids enduse",1990,1.35582887
"EU-12","refined liquids enduse",2005,1.75550732
"EU-12","refined liquids enduse",2010,2.081028568
"EU-12","refined liquids enduse",2015,2.133617581
"EU-12","refined liquids enduse",2021,2.628594394
"EU-12","refined liquids industrial",1975,1.184651095
"EU-12","refined liquids industrial",1990,1.869342751
"EU-12","refined liquids industrial",2005,1.032545635
"EU-12","refined liquids industrial",2010,0.83062098911
"EU-12","refined liquids industrial",2015,0.7610715688
"EU-12","refined liquids industrial",2021,0.84760547223
"EU-15","refined liquids enduse",1975,7.20888789984
"EU-15","refined liquids enduse",1990,15.4086402988
"EU-15","refined liquids enduse",2005,18.7143981976
"EU-15","refined liquids enduse",2010,17.4554687967
"EU-15","refined liquids enduse",2015,16.4788303975
"EU-15","refined liquids enduse",2021,14.6621198975
"EU-15","refined liquids industrial",1975,7.573932908
"EU-15","refined liquids industrial",1990,7.66751477
"EU-15","refined liquids industrial",2005,7.42774293
"EU-15","refined liquids industrial",2010,6.14905412
"EU-15","refined liquids industrial",2015,5.1472433885
"EU-15","refined liquids industrial",2021,5.10475484641
"Europe_Non_EU","refined liquids enduse",1975,0.41079306
"Europe_Non_EU","refined liquids enduse",1990,1.121685035
"Europe_Non_EU","refined liquids enduse",2005,1.182610368
"Europe_Non_EU","refined liquids enduse",2010,1.244130761
"Europe_Non_EU","refined liquids enduse",2015,1.734421513
"Europe_Non_EU","refined liquids enduse",2021,1.987322104
"Europe_Non_EU","refined liquids industrial",1975,1.0582964679
"Europe_Non_EU","refined liquids industrial",1990,1.6604309181
"Europe_Non_EU","refined liquids industrial",2005,0.8527320553
"Europe_Non_EU","refined liquids industrial",2010,0.8191189869
"Europe_Non_EU","refined liquids industrial",2015,0.6735719221
"Europe_Non_EU","refined liquids industrial",2021,0.72978615415
