"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"Pakistan",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,9832596.93746286,0.00629020505736,0.0057348,5527832.20440797,15360429.1418708
"Russia",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,531896520.67658,0.35765702255784,0.3093396,314308991.42383,846205512.10041
"South Africa",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,23542325.7408635,0.01470917310678,0.0109782,12926421.3262383,36468747.0671018
"South America_Northern",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,154790410.412023,0.10589989344552,0.0881988,93064826.359923,247855236.771946
"South America_Southern",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,73031253.8155792,0.0501298870488,0.0461136,44054144.7384854,117085398.554065
"South Asia",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,2153519.90685412,0.00141247763856,0.0012912,1241285.34876653,3394805.25562065
"South Korea",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,78996668.766017,0.04935749376196,0.0491501,43375365.5180105,122372034.284027
"Southeast Asia",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,145305925.845259,0.0955334184828,0.0887862,83954768.1626846,229260694.007944
"Taiwan",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,34183458.0695261,0.02061627601384,0.0188396,18117583.3609626,52301041.4304887
"USA",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,3085018541.2408,1.99336351584615,1.8237305,1751767857.7256,4836786398.9664
"Ukraine",1990,"crude oil refining","LPG","LPG_crude oil",0.8788,35895420.7290492,0.02226545488935,0.0241859,19566881.7567608,55462302.48581
"Africa_Eastern",1990,"crude oil refining","Other","Other_crude oil",0.8788,1079578.65484431,0.0006745216555,0.0006325,592769.6308534,1672348.28569771
"Africa_Northern",1990,"crude oil refining","Other","Other_crude oil",0.8788,547485030.745807,0.376661010803,0.34699,331009696.293676,878494727.039483
"Africa_Southern",1990,"crude oil refining","Other","Other_crude oil",0.8788,9005397.66172175,0.00620847822249,0.0056601,5456010.66192421,14461408.323646
"Africa_Western",1990,"crude oil refining","Other","Other_crude oil",0.8788,18542392.4267122,0.01277884283388,0.0111763,11230047.0824137,29772439.5091259
"Argentina",1990,"crude oil refining","Other","Other_crude oil",0.8788,114254385.591775,0.07848055777687,0.0694723,68968714.1743134,183223099.766088
"Australia_NZ",1990,"crude oil refining","Other","Other_crude oil",0.8788,115544899.522921,0.07713983425575,0.0747075,67790486.3439531,183335385.866874
"Brazil",1990,"crude oil refining","Other","Other_crude oil",0.8788,632512153.139823,0.41210080882425,0.3733275,362154190.794751,994666343.934574
"Canada",1990,"crude oil refining","Other","Other_crude oil",0.8788,555165830.581622,0.37171961574822,0.3316518,326667198.319536,881833028.901158
"Central America and Caribbean",1990,"crude oil refining","Other","Other_crude oil",0.8788,28088514.017887,0.01803951941304,0.0145426,15853129.6601796,43941643.6780666
"Central Asia",1990,"crude oil refining","Other","Other_crude oil",0.8788,316088386.838372,0.21135765841614,0.1898898,185741110.216104,501829497.054476
"China",1990,"crude oil refining","Other","Other_crude oil",0.8788,933926733.989455,0.62096688876087,0.5807889,545705701.843053,1479632435.83251
"Colombia",1990,"crude oil refining","Other","Other_crude oil",0.8788,43051080.1033184,0.0296235641316,0.0241464,26033188.1588501,69084268.2621685
"EU-12",1990,"crude oil refining","Other","Other_crude oil",0.8788,484612193.479985,0.30049760739336,0.2765608,264077297.377285,748689490.857269
"EU-15",1990,"crude oil refining","Other","Other_crude oil",0.8788,3194071420.8529,2.0034149253294,1.8789892,1760601036.37948,4954672457.23238
"Europe_Non_EU",1990,"crude oil refining","Other","Other_crude oil",0.8788,833604057.120435,0.5193751167552,0.4780096,456426852.60447,1290030909.7249
"European Free Trade Association",1990,"crude oil refining","Other","Other_crude oil",0.8788,47607936.5909936,0.0323587986687,0.0301497,28436912.2700536,76044848.8610471
"India",1990,"crude oil refining","Other","Other_crude oil",0.8788,469789321.487912,0.31065585815038,0.2973871,273004368.142554,742793689.630466
"Indonesia",1990,"crude oil refining","Other","Other_crude oil",0.8788,192304146.372288,0.13243696655088,0.1181244,116385606.204913,308689752.577202
"Japan",1990,"crude oil refining","Other","Other_crude oil",0.8788,1148520595.09597,0.70647125286,0.692171,620846937.013368,1769367532.10934
"Mexico",1990,"crude oil refining","Other","Other_crude oil",0.8788,501615249.922477,0.3458127662267,0.3020135,303900258.960024,805515508.882501
"Middle East",1990,"crude oil refining","Other","Other_crude oil",0.8788,1730340904.97296,1.16193621023604,1.0779057,1021109541.55543,2751450446.52839
"Pakistan",1990,"crude oil refining","Other","Other_crude oil",0.8788,4809139.14171193,0.00307654951618,0.0028049,2703671.71481898,7512810.85653091
"Russia",1990,"crude oil refining","Other","Other_crude oil",0.8788,1278896749.92356,0.85995374279706,0.7437789,755727349.170056,2034624099.09362
"South Africa",1990,"crude oil refining","Other","Other_crude oil",0.8788,156006347.503162,0.09747228869565,0.0727485,85658647.3057372,241664994.808899
"South America_Northern",1990,"crude oil refining","Other","Other_crude oil",0.8788,176064904.32867,0.12045484315386,0.1003209,105855716.163612,281920620.492283
"South America_Southern",1990,"crude oil refining","Other","Other_crude oil",0.8788,52550999.2926852,0.03607189417145,0.0331819,31699980.5978703,84250979.8905554
"South Asia",1990,"crude oil refining","Other","Other_crude oil",0.8788,14381817.0359379,0.0094329264849,0.008623,8289655.79493012,22671472.8308681
"South Korea",1990,"crude oil refining","Other","Other_crude oil",0.8788,289167722.216291,0.18067336595832,0.1799142,158775754.004172,447943476.220463
"Southeast Asia",1990,"crude oil refining","Other","Other_crude oil",0.8788,347363780.719226,0.228379188503,0.2122495,200699630.856436,548063411.575662
"Taiwan",1990,"crude oil refining","Other","Other_crude oil",0.8788,240400635.803132,0.1449872582095,0.1324925,127414802.514509,367815438.317641
"USA",1990,"crude oil refining","Other","Other_crude oil",0.8788,3568017253.24636,2.30544981219798,2.1092586,2026029294.95958,5594046548.20595
"Ukraine",1990,"crude oil refining","Other","Other_crude oil",0.8788,259626064.973918,0.16104261547485,0.1749329,141524250.479298,401150315.453217
"Africa_Eastern",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,85760704.2345978,0.05358336045048,0.0502452,47089057.1638818,132849761.39848
"Africa_Northern",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1382828630.86051,0.95136414808952,0.8764216,836058813.34107,2218887444.20158
"Africa_Southern",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,48106429.8686982,0.0331654118364,0.030236,29145763.9218283,77252193.7905265
"Africa_Western",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,216406275.593893,0.14914050573624,0.1304374,131064676.441008,347470952.034901
"Argentina",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,228927816.147496,0.15724895467986,0.1391994,138190381.372661,367118197.520157
"Australia_NZ",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,171166218.22657,0.11427361795024,0.1106704,100423655.454671,271589873.68124
"Brazil",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,712981832.498209,0.46452924009597,0.4208231,408228296.196338,1121210128.69455
"Canada",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,498437614.92719,0.33373638738012,0.2977628,293287537.229649,791725152.156839
"Central America and Caribbean",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,634521976.897984,0.40751431396344,0.3285186,358123579.111071,992645556.009055
"Central Asia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,980855640.358649,0.65586513147183,0.5892481,576374277.537444,1557229917.89609
"China",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1958917245.71616,1.30248198615772,1.2182084,1144621169.4354,3103538415.15157
"Colombia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,219990477.320521,0.1513760397557,0.1233878,133029263.737309,353019741.05783
"EU-12",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1473859893.70378,0.91390884845598,0.8411094,803143096.023115,2277002989.7269
"EU-15",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,6949583250.27038,4.3589816800944,4.0882592,3830673100.46696,10780256350.7373
"Europe_Non_EU",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1961679460.32765,1.2222199376805,1.1248765,1074086881.23362,3035766341.56127
"European Free Trade Association",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,81322112.6312409,0.0552741004626,0.0515006,48574879.4865329,129896992.117774
"India",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,594240078.517218,0.39295095289616,0.3761672,345325297.405145,939565375.922363
"Indonesia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,595222980.003487,0.40992109312312,0.3656206,360238656.636598,955461636.640085
"Japan",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,2774035538.49372,1.706348471874,1.6718089,1499539037.08287,4273574575.57659
"Mexico",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1470601907.76434,1.01383064773418,0.8854229,890954373.228797,2361556280.99313
"Middle East",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,3977056693.96694,2.67062182348052,2.4774841,2346942458.47468,6323999152.44162
"Pakistan",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,118550792.118981,0.0758404719408,0.069144,66648606.741575,185199398.860556
"Russia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,6624485532.06477,4.45442615109044,3.8526586,3914549701.57828,10539035233.643
"South Africa",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,196141228.598032,0.12254843963089,0.0914641,107695568.747626,303836797.345658
"South America_Northern",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,876429436.484954,0.59960939239854,0.4993851,526936734.039837,1403366170.52479
"South America_Southern",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,466950816.705881,0.3205229333447,0.2948434,281675553.823322,748626370.529204
"South Asia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,52300912.8307731,0.03430377848592,0.0313584,30146160.5334265,82447073.3641996
"South Korea",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1006842559.68506,0.62908001229932,0.6264367,552835514.808643,1559678074.4937
"Southeast Asia",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1290288544.29949,0.8483182963742,0.7884043,745502118.853647,2035790663.15314
"Taiwan",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,736999391.309391,0.4444893445936,0.406184,390617236.028856,1127616627.33825
"USA",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,3494734190.73251,2.25809846529624,2.0659368,1984416931.30234,5479151122.03484
"Ukraine",1990,"crude oil refining","Residual_FuelOil","Residual_FuelOil_crude oil",0.8788,1625648378.24031,1.0083681956223,1.0953422,886153970.312877,2511802348.55319
"Africa_Eastern",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,144983155.388321,0.0738440311242,0.073702,159458800.809597,304441956.197918
"Africa_Northern",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,2030595403.78392,1.03318831319518,0.9593918,2231066843.51367,4261662247.29759
"Africa_Southern",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,61587230.9749933,0.03136860196145,0.0289991,67737359.0755551,129324590.050548
"Africa_Western",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,392225889.118106,0.19986329399074,0.1695361,431584797.043604,823810686.16171
"Argentina",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,935746866.600052,0.47883838854849,0.4203813,1034003616.23161,1969750482.83166
"Australia_NZ",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1095509655.25125,0.53283812659896,0.5345844,1150610650.57779,2246120305.82904
"Brazil",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,3042558644.72552,1.5267746015385,1.3716525,3296917074.56224,6339475719.28776
"Canada",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,3048170014.17042,1.5327173619571,1.380181,3309749871.41016,6357919885.58058
"Central America and Caribbean",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,453142364.290616,0.21961087844117,0.2102743,474227730.905862,927370095.196478
"Central Asia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,796573675.440299,0.402916709241,0.3939244,870058341.935015,1666632017.37531
"China",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,10474097780.1201,4.99919862660025,4.7111917,10795269514.2806,21269367294.4007
"Colombia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,346871061.594504,0.17802597556731,0.1528309,384429291.640049,731300353.234554
"EU-12",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,2553977054.06736,1.1975289470046,1.0968356,2585944008.16173,5139921062.22909
"EU-15",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,22800732841.5765,10.7784622953793,9.9985244,23275011480.6421,46075744322.2186
"Europe_Non_EU",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1686922605.67372,0.7954132728195,0.735705,1717615421.32643,3404538027.00015
"European Free Trade Association",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,824238211.712419,0.41682876114015,0.3825621,900100026.80604,1724338238.51846
"India",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,4704521871.09144,2.27467187779416,2.0966426,4911926452.90871,9616448324.00015
"Indonesia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1302556378.86415,0.65467148467611,0.5988433,1413697604.00959,2716253982.87374
"Japan",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,5478572108.43742,2.55383037135544,2.4553528,5514741303.90494,10993313412.3424
"Mexico",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1536001734.43839,0.77749804080725,0.6399253,1678929269.31918,3214931003.75757
"Middle East",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,8609343407.19953,4.3093045447326,4.0434156,9305512233.89558,17914855641.0951
"Pakistan",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,322852316.51207,0.155075804079,0.1506705,334870691.328193,657723007.840263
"Russia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,5504966025.70961,2.72651917107531,2.5445823,5887645498.02002,11392611523.7296
"South Africa",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,874463126.573816,0.38879831688516,0.3179436,839571085.481814,1714034212.05563
"South America_Northern",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1469119303.67059,0.7392443551914,0.6103722,1596324260.60031,3065443564.2709
"South America_Southern",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,837019760.938798,0.42518829415315,0.3918871,918151602.394312,1755171363.33311
"South Asia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,111440708.687483,0.05427712557471,0.0507399,117206024.966029,228646733.653512
"South Korea",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,2943281305.15383,1.39319011708392,1.3370439,3008454738.83102,5951736043.98485
"Southeast Asia",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,4224882707.68994,2.07793855842792,1.9049717,4487100523.06925,8711983230.75919
"Taiwan",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,1352492180.32999,0.63001934486799,0.5956791,1360463773.30794,2712955953.63793
"USA",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,18844512390.4079,9.0566295714998,8.5056106,19556885896.6967,38401398287.1045
"Ukraine",2005,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",2.1594,542524860.126392,0.255263310052,0.235516,551215591.726289,1093740451.85268
"Africa_Eastern",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,109223646.913713,0.05563069972227,0.0555237,120128932.98027,229352579.893983
"Africa_Northern",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,630479863.275192,0.32079479015217,0.2978817,692724269.854596,1323204133.12979
"Africa_Southern",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,18097650.9185942,0.00921778750425,0.0085215,19904890.3366775,38002541.2552716
"Africa_Western",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,311280994.545814,0.15861687525656,0.1345484,342517280.429016,653798274.974829
"Argentina",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,470656424.646136,0.24084330066357,0.2114409,520077023.452913,990733448.099049
"Australia_NZ",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1373286836.57307,0.6679444419089,0.6701335,1442359227.85808,2815646064.43115
"Brazil",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1300532462.60462,0.65261517171518,0.5863087,1409257201.80176,2709789664.40638
"Canada",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,3404562135.0029,1.71192271753938,1.5415518,3696725916.25454,7101288051.25744
"Central America and Caribbean",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,356209119.871426,0.17263315877822,0.1652938,372784043.065688,728993162.937114
"Central Asia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,675753531.804421,0.34180440264,0.334176,738092427.060816,1413845958.86524
"China",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,5230100494.92319,2.49628290284125,2.3524705,5390473300.3954,10620573795.3186
"Colombia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,427138454.53031,0.21922191986994,0.1881966,473387813.767148,900526268.297458
"EU-12",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1905088385.43698,0.89327289942945,0.8181627,1928933499.02795,3834021884.46493
"EU-15",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,14373624212.5055,6.79476259376799,6.3030883,14672610344.9826,29046234557.4881
"Europe_Non_EU",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1026718964.57457,0.48411580301987,0.4477753,1045399665.04111,2072118629.61567
"European Free Trade Association",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,520985884.62706,0.26346982920075,0.2418105,568936749.1761,1089922633.80316
"India",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1095074477.40377,0.52947678554688,0.4880368,1143352170.70993,2238426648.1137
"Indonesia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,835941466.661674,0.42014844805332,0.3843196,907268558.726339,1743210025.38801
"Japan",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,4316912430.34909,2.01232398823929,1.9347273,4345412420.20392,8662324850.55301
"Mexico",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,2026755408.68346,1.02590923181675,0.8443819,2215348395.18509,4242103803.86855
"Middle East",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,4371095872.48024,2.1879001008357,2.0529042,4724551477.74461,9095647350.22485
"Pakistan",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,127993901.506823,0.0614793705302,0.0597329,132758552.722914,260752454.229737
"Russia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,3504445379.67608,1.73569418358789,1.6198737,3748058020.03969,7252503399.71576
"South Africa",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,900756681.437149,0.40048879252116,0.3275036,864815498.570193,1765572180.00734
"South America_Northern",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1657663744.84532,0.8341178031768,0.6887064,1801193984.17998,3458857729.02531
"South America_Southern",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,762806193.512088,0.3874893751912,0.3571408,836744556.787877,1599550750.29997
"South Asia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,28170131.8626274,0.01372024462669,0.0128261,29627496.2468744,57797628.1095018
"South Korea",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,956216483.480545,0.45262114506184,0.4343803,977390100.646537,1933606584.12708
"Southeast Asia",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,2109948192.45268,1.03774305909192,0.9513617,2240902361.80309,4350850554.25577
"Taiwan",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,1329711979.89242,0.6194078476894,0.585646,1337549306.30049,2667261286.19291
"USA",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,33847109922.4611,16.2668436456652,15.2771444,35126622168.4494,68973732090.9105
"Ukraine",2005,"crude oil refining","Gasoline","Gasoline_crude oil",2.1594,500951850.614686,0.2357027980889,0.2174687,508976622.193171,1009928472.80786
"Africa_Eastern",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,7241092.43961369,0.0036880936551,0.003681,7964069.43882294,15205161.8784366
"Africa_Northern",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,146974329.211004,0.07478208558807,0.0694407,161484435.618878,308458764.829883
"Africa_Southern",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,622262.71421089,0.0003169408835,0.000293,684402.1438299,1306664.85804079
"Africa_Western",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,5130934.21923788,0.00261452760452,0.0022178,5645810.90920049,10776745.1284384
"Argentina",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,145826965.777884,0.07462226355479,0.0655123,161139315.920214,306966281.698098
"Australia_NZ",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,65528594.7198265,0.0318720455651,0.0319765,68824495.1932769,134353089.913103
"Brazil",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,327062535.510156,0.1641219876558,0.147447,354405020.143934,681467555.65409
"Canada",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,557134393.103296,0.28014498970959,0.2522649,604945090.778889,1162079483.88218
"Central America and Caribbean",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,42917589.679561,0.02079957715907,0.0199153,44914606.9172958,87832196.5968567
"Central Asia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,41454450.8064522,0.0209681683155,0.0205002,45278662.6604907,86733113.4669429
"China",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,1215687575.92869,0.580237437872,0.5468096,1252964723.3408,2468652299.26949
"Colombia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,16246307.1669382,0.00833815501779,0.0071581,18005411.9454157,34251719.112354
"EU-12",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,308203192.750068,0.14451274896525,0.1323615,312060830.115561,620264022.865629
"EU-15",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,1886224303.71428,0.89166421445631,0.8271427,1925459704.69696,3811684008.41124
"Europe_Non_EU",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,230907570.400862,0.1088769251616,0.100704,235108832.193959,466016402.594821
"European Free Trade Association",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,20651733.4851702,0.01044386969895,0.0095853,22552492.2279126,43204225.7130829
"India",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,541085537.426736,0.26161894644996,0.2411431,564939952.964044,1106025490.39078
"Indonesia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,36511356.3430962,0.01835079406353,0.0167859,39626704.7007867,76138061.0438829
"Japan",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,354000120.823039,0.16501676753128,0.1586536,356337207.807046,710337328.630085
"Mexico",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,265900695.814304,0.13459442486925,0.1107789,290643201.062658,556543896.876963
"Middle East",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,763412067.596672,0.3821168394383,0.3585398,825143103.083065,1588555170.67974
"Pakistan",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,24659003.9750376,0.011844470904,0.011508,25576950.4700976,50235954.4451352
"Russia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,490926921.856174,0.24314803357307,0.2269231,525053863.697687,1015980785.55386
"South Africa",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,33733310.7111697,0.0149982932715,0.012265,32387314.4904771,66120625.2016468
"South America_Northern",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,319059155.812371,0.1605469884693,0.1325589,346685166.900606,665744322.712977
"South America_Southern",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,30219778.8383307,0.01535100700555,0.0141487,33148964.5277847,63368743.3661153
"South Asia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,9186518.93730842,0.00447428814683,0.0041827,9661777.8242647,18848296.7615731
"South Korea",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,220897125.965827,0.10456074730232,0.1003469,225788477.72463,446685603.690457
"Southeast Asia",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,257744073.763646,0.12676715216376,0.1162151,273740988.382423,531485062.146069
"Taiwan",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,212666593.173053,0.09906457845361,0.0936649,213920050.712725,426586643.885779
"USA",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,5438470401.83804,2.613716441402,2.454694,5644059283.56348,11082529685.4015
"Ukraine",2005,"crude oil refining","Heavy_Residual","Heavy_Residual_crude oil",2.1594,40394969.7459638,0.0190062326073,0.0175359,41042058.6922036,81437028.4381674
"Africa_Eastern",2005,"crude oil refining","Jet_Kerosene","Jet_Kerosene_crude oil",2.1594,49650760.4092925,0.02528853981129,0.0252399,54608072.8684996,104258833.277792
"Africa_Northern",2005,"crude oil refining","Jet_Kerosene","Jet_Kerosene_crude oil",2.1594,517760747.953384,0.26344211792255,0.2446255,568876909.441954,1086637657.39534
"Africa_Southern",2005,"crude oil refining","Jet_Kerosene","Jet_Kerosene_crude oil",2.1594,34020355.6063919,0.01732779630955,0.0160189,37417643.3508423,71437998.9572342
"Africa_Western",2005,"crude oil refining","Jet_Kerosene","Jet_Kerosene_crude oil",2.1594,230930213.016853,0.1176731937795,0.0998175,254103494.647452,485033707.664305
