"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"India",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,5046713.67281124,0.001093577422,0.0010046,1985389.809641,7032103.48245224
"Indonesia",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,28086387.5828192,0.007928708452,0.0072836,14394570.194606,42480957.7774252
"Japan",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,3443101.1367084,0.00031895101,0.000293,579055.558655,4022156.6953634
"South America_Southern",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,32141868.5668007,0.005240267123,0.0048139,9513704.9618065,41655573.5286072
"South Korea",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,187353457.710838,0.015174012658,0.0139394,27548419.980599,214901877.691437
"Southeast Asia",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,149645888.142433,0.024971033801,0.0229393,45334911.8657155,194980800.008149
"USA",2010,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,387615320.83302,0.039005857954,0.0358322,70815135.115487,458430455.948507
"Africa_Eastern",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,1061116.718912,0.0001688064,0.0001256,263034.13248,1324150.851392
"Argentina",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,23053921.245264,0.0033755904,0.0025116,5259844.96128,28313766.206544
"Australia_NZ",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,36344388.067776,0.0065823744,0.0048976,10256655.79008,46601043.857856
"Canada",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,220860418.94604,0.0532780416,0.0396414,83017844.42112,303878263.36716
"China",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,461227121.260736,0.0662741184,0.0493111,103268331.29088,564495452.551616
"EU-12",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,78737558.88025,0.018338208,0.0136445,28574595.7056,107312154.58585
"EU-15",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,551581748.681604,0.1178884224,0.0877146,183693739.78368,735275488.465284
"European Free Trade Association",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,1247943.539388,0.0002812992,0.0002093,438320.41344,1686263.952828
"India",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,25010068.98416,0.010464384,0.007786,16305603.1488,41315672.13296
"Japan",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,47631923.954556,0.0107456832,0.0079953,16743923.56224,64375847.516796
"South America_Southern",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,27213218.709404,0.0053446848,0.0039767,8328087.85536,35541306.564764
"USA",2010,"biorefining","corn ethanol","Gasoline_corn",1.5582,5150987587.39198,1.2656214144,0.9416826,1972091287.91808,7123078875.31006
"Brazil",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,1441432036.247,0.5047897,0.5047897,1528452732.63,2969884768.877
"Central America and Caribbean",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,78566062.848,0.0100464,0.0100464,30419494.56,108985557.408
"Colombia",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,84725728.36,0.0060697,0.0060697,18378444.63,103104172.99
"EU-12",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,13257785.98,0.0024716,0.0024716,7483757.64,20741543.62
"EU-15",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,90397830.993,0.0158889,0.0158889,48110000.31,138507831.303
"Southeast Asia",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,76031469.15,0.0136045,0.0136045,41193065.55,117224534.7
"Taiwan",2010,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,18194903.81,0.0015907,0.0015907,4816480.53,23011384.34
"Argentina",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,409352221.191181,0.039415922273,0.0362089,71559606.8866315,480911828.077813
"Australia_NZ",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,34002382.7077707,0.005559218133,0.0051069,10092760.5204615,44095143.2282322
"Brazil",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,1360662459.89754,0.142444174208,0.1308544,258607398.274624,1619269858.17216
"Canada",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,119857712.989327,0.019548431203,0.0179579,35490176.8490465,155347889.838373
"China",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,259736882.307307,0.032261840233,0.0296369,58571370.9430115,318308253.250319
"Colombia",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,124811161.036194,0.020596506399,0.0189207,37392957.3673845,162204118.403579
"EU-12",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,400254522.61764,0.061926243589,0.0568877,112427095.235829,512681617.85347
"EU-15",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,3917862561.78262,0.458956243123,0.4216139,833235059.389806,4751097621.17243
"Europe_Non_EU",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,42876403.0719034,0.006288342319,0.0057767,11416485.4801445,54292888.5520479
"European Free Trade Association",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,49012902.4499849,0.008111043927,0.0074511,14725600.2494685,63738502.6994534
"India",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,10115588.1468555,0.001731588299,0.0015907,3143698.5568345,13259286.70369
