# File: A321.inc_elas.csv
# Title: cement demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: nn
# ----------
pcgdp_90thousUSD,inc_elas
0,0.0176
3.63,0.0176
7.26,0.0051
10.89,0.0031
14.52,0.0023
18.15,0.0019
21.78,0.0015
25.41,0.0011
29.04,0.0009
32.66,0.0007
36.29,0.0006
39.92,0.0003
43.55,0
