# File: A221.bio_tech_land_alloc.csv
# Title: Biochar technology land allocation for 2025
# Units: thous km2
# Description: Model output from GCAM v8.7 run reference case for detailed land allocation in each region for biomass only (2025)
# Source: RGCAM output
# Column types: cccnc
# ----------
scenario,region,LandLeaf,allocation,Units
Reference,USA,biomassTree_UsaColoRN_IRR_hi,0.0136017,thous km2
Reference,USA,biomassTree_UsaColoRN_IRR_lo,0.0189399,thous km2
Reference,USA,biomassTree_UsaColoRN_RFD_hi,0.0438175,thous km2
Reference,USA,biomassTree_UsaColoRN_RFD_lo,0.060468,thous km2
Reference,USA,biomassTree_UsaColoRS_IRR_hi,0.030972,thous km2
Reference,USA,biomassTree_UsaColoRS_IRR_lo,0.0483343,thous km2
Reference,USA,biomassTree_UsaColoRS_RFD_hi,0.0138131,thous km2
Reference,USA,biomassTree_UsaColoRS_RFD_lo,0.0190929,thous km2
Reference,USA,biomassTree_UsaCstE_IRR_hi,1.94E-03,thous km2
Reference,USA,biomassTree_UsaCstE_IRR_lo,2.71E-03,thous km2
Reference,USA,biomassTree_UsaCstE_RFD_hi,0.203166,thous km2
Reference,USA,biomassTree_UsaCstE_RFD_lo,0.280881,thous km2
Reference,USA,biomassTree_UsaCstNE_IRR_hi,2.45E-03,thous km2
Reference,USA,biomassTree_UsaCstNE_IRR_lo,3.42E-03,thous km2
Reference,USA,biomassTree_UsaCstNE_RFD_hi,2.18E-01,thous km2
Reference,USA,biomassTree_UsaCstNE_RFD_lo,3.01E-01,thous km2
Reference,USA,biomassTree_UsaCstSE_IRR_hi,2.21E-02,thous km2
Reference,USA,biomassTree_UsaCstSE_IRR_lo,3.07E-02,thous km2
Reference,USA,biomassTree_UsaCstSE_RFD_hi,4.73E-01,thous km2
Reference,USA,biomassTree_UsaCstSE_RFD_lo,6.53E-01,thous km2
Reference,USA,biomassTree_UsaPacNW_IRR_hi,6.00E-02,thous km2
Reference,USA,biomassTree_UsaPacNW_IRR_lo,8.36E-02,thous km2
Reference,USA,biomassTree_UsaPacNW_RFD_hi,0.277489,thous km2
Reference,USA,biomassTree_UsaPacNW_RFD_lo,0.382934,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstE_IRR_hi,8.78E-04,thous km2
