# File: historical_nickel_production.csv
# Title: Historical nickel production by country
# Units: tonnes
# Source: Our World in Data (https://ourworldindata.org/metals-minerals) which processes data from USGS - Mineral Commodity Summaries (2024); USGS - Historical Statistics for Mineral and Material Commodities (2023)
# Column types: cnn
# ----------
Entity,Year,production
Australia,2020,169000
Australia,2021,151000
Australia,2022,155000
Australia,2023,160000
Brazil,2020,77100
Brazil,2021,76000
Brazil,2022,88500
Brazil,2023,89000
Canada,2020,167000
Canada,2021,134000
Canada,2022,143000
Canada,2023,180000
China,2020,120000
China,2021,109000
China,2022,114000
China,2023,110000
Indonesia,2020,771000
Indonesia,2021,1040000
Indonesia,2022,1580000
Indonesia,2023,1800000
New Caledonia,2020,200000
New Caledonia,2021,186000
New Caledonia,2022,200000
New Caledonia,2023,230000
Other,2020,373000
Other,2021,429000
Other,2022,404000
Other,2023,380000
Philippines,2020,334000
Philippines,2021,387000
Philippines,2022,345000
Philippines,2023,400000
Russia,2020,283000
Russia,2021,205000
Russia,2022,222000
Russia,2023,200000
United States,2020,16700
United States,2021,18400
United States,2022,17500
United States,2023,17000
World,1900,9290
World,1901,11400
World,1902,12200
World,1903,10200
World,1904,10500
World,1905,15600
World,1906,16000
World,1907,16300
World,1908,14900
World,1909,17000
World,1910,23100
World,1911,25200
World,1912,27900
World,1913,32200
World,1914,30000
World,1915,39100
World,1916,45500
World,1917,46200
World,1918,47600
World,1919,23100
World,1920,35700
World,1921,10400
World,1922,11800
World,1923,31100
World,1924,35300
World,1925,37100
World,1926,33900
World,1927,34500
World,1928,50300
World,1929,56300
World,1930,54200
World,1931,36300
World,1932,21800
World,1933,46300
World,1934,71600
World,1935,77400
World,1936,93400
World,1937,120000
World,1938,115000
World,1939,122000
World,1940,140000
World,1941,162000
World,1942,158000
World,1943,167000
World,1944,157000
World,1945,145000
World,1946,123000
World,1947,140000
World,1948,151000
World,1949,146000
World,1950,145000
World,1951,132000
World,1952,146000
World,1953,198000
World,1954,216000
World,1955,239000
World,1956,259000
World,1957,286000
World,1958,224000
World,1959,285000
World,1960,320000
World,1961,361000
World,1962,357000
World,1963,339000
World,1964,371000
World,1965,425000
World,1966,412000
World,1967,449000
World,1968,497000
World,1969,487000
World,1970,628000
World,1971,637000
World,1972,611000
World,1973,710000
World,1974,770000
World,1975,802000
World,1976,792000
World,1977,828000
World,1978,658000
World,1979,686000
World,1980,779000
World,1981,726000
World,1982,621000
World,1983,673000
World,1984,773000
World,1985,813000
World,1986,852000
World,1987,891000
World,1988,952000
World,1989,987000
World,1990,974000
World,1991,1010000
World,1992,1010000
World,1993,928000
World,1994,932000
World,1995,1040000
World,1996,1060000
World,1997,1140000
World,1998,1180000
World,1999,1170000
World,2000,1290000
World,2001,1350000
World,2002,1350000
World,2003,1370000
World,2004,1350000
World,2005,1460000
World,2006,1570000
World,2007,1740000
World,2008,1630000
World,2009,1410000
World,2010,1710000
World,2011,2340000
World,2012,2570000
World,2013,2610000
World,2014,2130000
World,2015,2110000
World,2016,2000000
World,2017,2190000
World,2018,2380000
World,2019,2590000
World,2020,2510000
World,2021,2730000
World,2022,3270000
World,2023,3600000
