# File: A23.globaltech_subtype_interp_to.csv
# Title: subtype pv and wind share weight
# Units: Unitless
# Source: add later
# Comments: add later
# Column types: ccccccnc
# ----------
supplysector,subsector,stub.technology,apply.to,from.year,to.year,to.value,interpolation.function
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),share-weight,2040,2100,0.5,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,2040,2100,0.5,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,2040,2100,0.5,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,final-calibration-year,initial-future-year,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,initial-future-year,2040,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,2040,2100,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,final-calibration-year,initial-future-year,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,initial-future-year,2040,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,2040,2100,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),share-weight,final-calibration-year,initial-future-year,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),share-weight,initial-future-year,2040,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),share-weight,2040,2100,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),share-weight,final-calibration-year,initial-future-year,1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),share-weight,initial-future-year,2040,1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),share-weight,2040,2100,1,linear
wind_mineral,wind_mineral,wind_mineral (DD-EESG),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_mineral,wind_mineral,wind_mineral (DD-EESG),share-weight,initial-future-year,2040,0.2,linear
wind_mineral,wind_mineral,wind_mineral (DD-EESG),share-weight,2040,2100,0.5,linear
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),share-weight,initial-future-year,2040,0.2,linear
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),share-weight,2040,2100,0.5,linear
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),share-weight,final-calibration-year,initial-future-year,1,linear
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),share-weight,initial-future-year,2040,1,linear
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),share-weight,2040,2100,1,linear
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),share-weight,initial-future-year,2040,0.2,linear
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),share-weight,2040,2100,0.5,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),share-weight,final-calibration-year,initial-future-year,0,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),share-weight,initial-future-year,2040,0,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),share-weight,2040,2100,0,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),share-weight,final-calibration-year,initial-future-year,1,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),share-weight,initial-future-year,2040,1,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),share-weight,2040,2100,1,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),share-weight,final-calibration-year,initial-future-year,0.2,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),share-weight,initial-future-year,2040,0,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),share-weight,2040,2100,0,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),share-weight,final-calibration-year,initial-future-year,0.2,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),share-weight,initial-future-year,2040,0.2,linear
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),share-weight,2040,2100,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),share-weight,2040,2100,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),share-weight,2040,2100,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),share-weight,2040,2100,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),share-weight,final-calibration-year,initial-future-year,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),share-weight,initial-future-year,2040,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),share-weight,2040,2100,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),share-weight,final-calibration-year,initial-future-year,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),share-weight,initial-future-year,2040,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),share-weight,2040,2100,1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),share-weight,final-calibration-year,initial-future-year,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),share-weight,initial-future-year,2040,0.2,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),share-weight,2040,2100,0.5,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),share-weight,2040,2100,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),share-weight,2040,2100,0.1,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),share-weight,initial-future-year,2040,0.05,linear
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),share-weight,2040,2100,0.1,linear
