# File: elec_tech_mineral_map.csv
# Title: Electricity technology to mineral type mapping
# Units: None
# Column types: cccccc
# ----------
from.supplysector,from.subsector,from.technology,to.supplysector,to.subsector,to.technology
electricity,solar,PV,pv_mineral,pv_mineral,pv_mineral (c-Si)
electricity,solar,PV,pv_mineral,pv_mineral,pv_mineral (CdTe)
electricity,solar,PV,pv_mineral,pv_mineral,pv_mineral (CIGS)
electricity,solar,PV,pv_mineral,pv_mineral,pv_mineral (a-Si)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB)
electricity,solar,PV_storage,pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB)
elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si)
elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe)
elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS)
elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si)
electricity,wind,wind,wind_mineral,wind_mineral,wind_mineral (DD-EESG)
electricity,wind,wind,wind_mineral,wind_mineral,wind_mineral (DD-PMSG)
electricity,wind,wind,wind_mineral,wind_mineral,wind_mineral (GB-PMSG)
electricity,wind,wind,wind_mineral,wind_mineral,wind_mineral (GB-DFIG)
electricity,wind,wind_offshore,wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG)
electricity,wind,wind_offshore,wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG)
electricity,wind,wind_offshore,wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG)
electricity,wind,wind_offshore,wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB)
electricity,wind,wind_storage,wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB)
