# File: H2.globaltech_mineral_coef_kg_kw_long.csv
# Title: Hydrogen sector technology mineral use intensity
# Units: kg/kW for different technologies
# Description: this dataset defines the mineral use intensity for different hydrogen production technologies
# Comment:
# Column types: cccccnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,minicam.energy.input,1975,2015,2050,2100
H2 central production,biomass,biomass to H2,non-energy,steel,33.4,33.4,33.4,33.4
H2 central production,biomass,biomass to H2 CCS,non-energy,steel,43.1,43.1,43.1,43.1
H2 central production,coal,coal chemical,non-energy,steel,84.6,84.6,84.6,84.6
H2 central production,coal,coal chemical CCS,non-energy,steel,109.2,109.2,109.2,109.2
H2 central production,electricity,electrolysis,non-energy,steel,0.098942,0.098942,0.098942,0.098942
H2 central production,solar,electrolysis,electrolyzer,steel,0.098942,0.098942,0.098942,0.098942
H2 central production,solar,electrolysis,solar panels,steel,78,78,78,78
H2 central production,wind,electrolysis,electrolyzer,steel,0.098942,0.098942,0.098942,0.098942
H2 central production,wind,electrolysis,wind turbines,steel,131,131,131,131
H2 central production,gas,natural gas steam reforming,non-energy,steel,29,29,29,29
H2 central production,gas,gas ATR CCS,non-energy,steel,44.37,44.37,44.37,44.37
H2 central production,nuclear,electrolysis,electrolyzer,steel,0.098942,0.098942,0.098942,0.098942
H2 central production,nuclear,electrolysis,nuclear electricity generation,steel,43,43,43,43
H2 industrial,onsite production,electrolysis,non-energy,steel,0.098942,0.098942,0.098942,0.098942
H2 wholesale dispensing,forecourt production,electrolysis,production,steel,0.098942,0.098942,0.098942,0.098942
H2 wholesale dispensing,forecourt production,natural gas steam reforming,production,steel,29,29,29,29
H2 central production,biomass,biomass to H2,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,biomass,biomass to H2 CCS,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,coal,coal chemical,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,coal,coal chemical CCS,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,electricity,electrolysis,non-energy,aluminium,0.045,0.045,0.045,0.045
H2 central production,solar,electrolysis,electrolyzer,aluminium,0.045,0.045,0.045,0.045
H2 central production,solar,electrolysis,solar panels,aluminium,19,19,19,19
H2 central production,wind,electrolysis,electrolyzer,aluminium,0.045,0.045,0.045,0.045
H2 central production,wind,electrolysis,wind turbines,aluminium,1.4,1.4,1.4,1.4
H2 central production,gas,natural gas steam reforming,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,gas,gas ATR CCS,non-energy,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,nuclear,electrolysis,electrolyzer,aluminium,0.045,0.045,0.045,0.045
H2 central production,nuclear,electrolysis,nuclear electricity generation,aluminium,0.08,0.08,0.08,0.08
H2 industrial,onsite production,electrolysis,non-energy,aluminium,0.045,0.045,0.045,0.045
H2 wholesale dispensing,forecourt production,electrolysis,production,aluminium,0.045,0.045,0.045,0.045
H2 wholesale dispensing,forecourt production,natural gas steam reforming,production,aluminium,0.0729,0.0729,0.0729,0.0729
H2 central production,solar,electrolysis,solar panels,silicon,2.93,2.93,2.93,2.93
H2 central production,biomass,biomass to H2,non-energy,copper,0.76,0.76,0.76,0.76
