# File: A26.td_technology_vintage.csv
# Title: Electricity transmission and distribution sector vintage assumptions
# Units: Various
# Comments: half.life: number of years at which 50% of the base year cohort is retired; using the s-curve-shutdown-decider retirement function. steepness: shape parameter used by the s-curve-shutdown-decider retirement function. median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability. profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.
# Source: NA
# Column types: ccccnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,lifetime,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
elect_td_bld,elect_td_bld,elect_td_bld,electricity_net_ownuse,40,20,0.2,-0.5,6
elect_td_ind,elect_td_ind,elect_td_ind,electricity_net_ownuse,40,20,0.2,-0.5,6
elect_td_trn,elect_td_trn,elect_td_trn,electricity_net_ownuse,40,20,0.2,-0.5,6
