# File: A26.td_nonenergy_cost_nonmineral.csv
# Title: Electricity transmission and distribution sector non-energy costs (excluding mineral costs)
# Units: $1975/GJ
# Description: Updates non-energy costs for the electricity transmission sectors to have regionally and time varying costs. Costs are total transmission and distribution costs minus mineral costs. Regional variation is based on regional variation in mineral costs which reflects disparities in transmission and distribution intensity (per unit electricity generation).
# Comment:
# Column types: ccccncn
# ----------
region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,1.277506684
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,8.004684729
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,7.085255801
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,1.145173534
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,7.085255801
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,6.107140846
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2035,non-energy,0.9985117
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2035,non-energy,6.107140846
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2040,non-energy,5.241532311
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2040,non-energy,0.880055942
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2040,non-energy,5.241532311
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2045,non-energy,4.261602601
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2045,non-energy,0.733506447
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2045,non-energy,4.261602601
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2050,non-energy,3.275635363
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2050,non-energy,0.585780314
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2050,non-energy,3.275635363
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2055,non-energy,3.193248946
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2055,non-energy,0.564876298
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2055,non-energy,3.193248946
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2060,non-energy,3.110708822
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2060,non-energy,0.543818575
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2060,non-energy,3.110708822
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2065,non-energy,3.028168699
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2065,non-energy,0.522760853
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2065,non-energy,3.028168699
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2070,non-energy,2.945628575
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2070,non-energy,0.50170313
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2070,non-energy,2.945628575
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2075,non-energy,2.863088452
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2075,non-energy,0.480645408
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2075,non-energy,2.863088452
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2080,non-energy,2.780548328
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2080,non-energy,0.459587686
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2080,non-energy,2.780548328
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2085,non-energy,2.698161911
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2085,non-energy,0.438683669
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2085,non-energy,2.698161911
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2090,non-energy,2.615621787
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2090,non-energy,0.417625947
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2090,non-energy,2.615621787
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2095,non-energy,2.533081664
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2095,non-energy,0.396568225
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2095,non-energy,2.533081664
Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,2100,non-energy,2.45054154
Africa_Eastern,elect_td_ind,elect_td_ind,elect_td_ind,2100,non-energy,0.375510502
Africa_Eastern,elect_td_trn,elect_td_trn,elect_td_trn,2100,non-energy,2.45054154
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2015,non-energy,3.296548071
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2015,non-energy,0.504191119
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2015,non-energy,3.296548071
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2020,non-energy,3.192372902
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2020,non-energy,0.499732731
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2020,non-energy,3.192372902
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2025,non-energy,3.059792375
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,0.488327191
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,3.059792375
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,2.884324761
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,0.466186751
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,2.884324761
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,2.694846588
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2035,non-energy,0.440604845
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2035,non-energy,2.694846588
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2040,non-energy,2.574906297
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2040,non-energy,0.432328077
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2040,non-energy,2.574906297
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2045,non-energy,2.434828274
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2045,non-energy,0.419082304
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2045,non-energy,2.434828274
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2050,non-energy,2.35987591
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2050,non-energy,0.422015487
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2050,non-energy,2.35987591
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2055,non-energy,2.300522014
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2055,non-energy,0.406955543
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2055,non-energy,2.300522014
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2060,non-energy,2.241057383
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2060,non-energy,0.391784864
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2060,non-energy,2.241057383
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2065,non-energy,2.181592751
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2065,non-energy,0.376614185
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2065,non-energy,2.181592751
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2070,non-energy,2.12212812
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2070,non-energy,0.361443507
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2070,non-energy,2.12212812
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2075,non-energy,2.062663489
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2075,non-energy,0.346272828
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2075,non-energy,2.062663489
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2080,non-energy,2.003198857
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2080,non-energy,0.331102149
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2080,non-energy,2.003198857
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2085,non-energy,1.943844961
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2085,non-energy,0.316042205
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2085,non-energy,1.943844961
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2090,non-energy,1.88438033
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2090,non-energy,0.300871526
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2090,non-energy,1.88438033
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2095,non-energy,1.824915698
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2095,non-energy,0.285700848
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2095,non-energy,1.824915698
Africa_Northern,elect_td_bld,elect_td_bld,elect_td_bld,2100,non-energy,1.765451067
Africa_Northern,elect_td_ind,elect_td_ind,elect_td_ind,2100,non-energy,0.270530169
Africa_Northern,elect_td_trn,elect_td_trn,elect_td_trn,2100,non-energy,1.765451067
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2015,non-energy,5.375851945
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2015,non-energy,0.822210612
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2015,non-energy,5.375851945
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2020,non-energy,5.205570923
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2020,non-energy,0.814877914
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2020,non-energy,5.205570923
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2025,non-energy,4.988939526
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,0.796209195
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,4.988939526
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,4.702353027
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,0.760030461
