# File: A325.globaltech_shrwt_cwf_H2_scenarios.csv
# Title: chemical CWF shareweights for the hydrogen scenarios
# Units: Unitless
# Column types: cccnnnnnnc
# ----------
supplysector,subsector,technology,1971,2019,2020,2050,2070,2100,scenario
chemical energy use,hydrogen,hydrogen,0,0,0,1,1,1,cwf_low_H2
chemical energy use,hydrogen,hydrogen cogen,0,0,0,0,0,0,cwf_low_H2
chemical energy use,hydrogen,hydrogen,0,0,0,1,1,1,cwf_high_H2
chemical energy use,hydrogen,hydrogen cogen,0,0,0,0,0,0,cwf_high_H2
