# File: A325.subsector_interp_cwf_H2_scenarios.csv
# Title: chemical CWF subsector shareweight interpolation for the hydrogen scenarios
# Units: NA
# Column types: cccccccc
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function,scenario
chemical,chemical,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,refined liquids,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,biomass,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,electricity,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,hydrogen,share-weight,final-calibration-year,end-year,,linear,cwf_med_H2
chemical energy use,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical energy use,heat,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical feedstocks,refined liquids,share-weight,final-calibration-year,end-year,,linear,cwf_med_H2
chemical feedstocks,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical feedstocks,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_med_H2
chemical,chemical,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,refined liquids,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,biomass,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,electricity,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,hydrogen,share-weight,final-calibration-year,end-year,,linear,cwf_low_H2
chemical energy use,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical energy use,heat,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical feedstocks,refined liquids,share-weight,final-calibration-year,end-year,,linear,cwf_low_H2
chemical feedstocks,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical feedstocks,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_low_H2
chemical,chemical,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,refined liquids,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,biomass,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,electricity,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,hydrogen,share-weight,final-calibration-year,end-year,,linear,cwf_high_H2
chemical energy use,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical energy use,heat,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical feedstocks,refined liquids,share-weight,final-calibration-year,end-year,,linear,cwf_high_H2
chemical feedstocks,gas,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
chemical feedstocks,coal,share-weight,final-calibration-year,end-year,,fixed,cwf_high_H2
