# File: A44.USA_TechChange_cwf_adj.csv
# Title: Adjustment to improvement rates of technologies with CWF assumptions
# Units: Unitless (fraction improvement)
# Column types: ccnnnnn
# ----------
supplysector,technology,1971,1990,2020,2025,2100
resid,resid shell,1,1,1,1,1
resid_d1,resid shell,1,1,1,1,1
resid_d10,resid shell,1,1,1,1,1
resid_d2,resid shell,1,1,1,1,1
resid_d3,resid shell,1,1,1,1,1
resid_d4,resid shell,1,1,1,1,1
resid_d5,resid shell,1,1,1,1,1
resid_d6,resid shell,1,1,1,1,1
resid_d7,resid shell,1,1,1,1,1
resid_d8,resid shell,1,1,1,1,1
resid_d9,resid shell,1,1,1,1,1
comm,comm shell,1,1,1,1,1
comm heating,biomass,1,1,1,2,2
comm heating,coal,1,1,1,2,2
comm heating,electricity,1,1,1,2,2
comm heating,gas,1,1,1,2,2
comm heating,refined liquids,1,1,1,2,2
comm heating,district heat,1,1,1,1,1
comm cooling,electricity,1,1,1,2,2
comm cooling,gas,1,1,1,2,2
comm others,biomass,1,1,1,2,2
comm others,coal,1,1,1,2,2
comm others,electricity,1,1,1,2,2
comm others,gas,1,1,1,2,2
comm others,refined liquids,1,1,1,2,2
comm others,district heat,1,1,1,1,1
comm heating,hydrogen,1,1,1,1,1
comm others,hydrogen,1,1,1,1,1
resid cooling modern,electricity,1,1,1,2,2
resid cooling modern,gas,1,1,1,2,2
resid heating TradBio,traditional biomass,1,1,1,2,2
resid heating coal,coal,1,1,1,2,2
resid heating modern,biomass,1,1,1,2,2
resid heating modern,district heat,1,1,1,1,1
resid heating modern,electricity,1,1,1,2,2
resid heating modern,gas,1,1,1,2,2
resid heating modern,hydrogen,1,1,1,1,1
resid heating modern,refined liquids,1,1,1,2,2
resid others TradBio,traditional biomass,1,1,1,2,2
resid others coal,coal,1,1,1,2,2
resid others modern,biomass,1,1,1,2,2
resid others modern,district heat,1,1,1,1,1
resid others modern,electricity,1,1,1,2,2
resid others modern,gas,1,1,1,2,2
resid others modern,hydrogen,1,1,1,1,1
resid others modern,refined liquids,1,1,1,2,2
