# File: A321.subsector_shrwt_cwf_H2_scenarios.csv
# Title: Cement CWF adjustments to subsector shareweights for the hydrogen scenarios
# Units: Unitless
# Column types: ccccnc
# ----------
supplysector,subsector,year.fillout,year,share.weight,scenario
process heat cement,hydrogen,start-year,,0,cwf_low_H2
process heat cement,hydrogen,2025,,0,cwf_low_H2
process heat cement,hydrogen,2050,,0.2,cwf_low_H2
process heat cement,hydrogen,2100,,0.5,cwf_low_H2
process heat cement CCS,hydrogen,start-year,,0,cwf_low_H2
process heat cement CCS,hydrogen,2025,,0,cwf_low_H2
process heat cement CCS,hydrogen,2050,,0.2,cwf_low_H2
process heat cement CCS,hydrogen,2100,,0.5,cwf_low_H2
process heat cement,hydrogen,start-year,,0,cwf_high_H2
process heat cement,hydrogen,2025,,0,cwf_high_H2
process heat cement,hydrogen,2040,,1,cwf_high_H2
process heat cement CCS,hydrogen,start-year,,0,cwf_high_H2
process heat cement CCS,hydrogen,2025,,0,cwf_high_H2
process heat cement CCS,hydrogen,2040,,1,cwf_high_H2
