# File: A44.res_unadj_sat_cwf_adj.csv
# Title: CWF adjustments to residential buildings unadjusted saturation values
# Units: unitless fraction
# Column types: nc
# ----------
adj_frac,scenario
0.75,cwf
0.65,cwf-LED
