# File: A44.bld_materials_subsector_shares_reg.csv
# Title: Building sub-type shares by GCAM region
# Units: unitless
# Description: Building materials sub-type shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 materials sectors: resid materials and comm materials. Within resid materials there are 8 subsectors (4 building sub-types x urban/rural). Within comm materials there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
Africa_Eastern,resid materials,apartments rural,1975,0.046264119
Africa_Eastern,resid materials,apartments urban,1975,0.013366246
Africa_Eastern,resid materials,detached rural,1975,0.759957241
Africa_Eastern,resid materials,detached urban,1975,0.037456887
Africa_Eastern,comm materials,others commercial,1975,0.913579415
Africa_Eastern,resid materials,high-rise rural,1975,0.033010501
Africa_Eastern,resid materials,high-rise urban,1975,0.019209948
Africa_Eastern,comm materials,hotels commercial,1975,0.044879502
Africa_Eastern,comm materials,office commercial,1975,0.024247818
Africa_Eastern,comm materials,retail commercial,1975,0.017293265
Africa_Eastern,resid materials,semi-detached rural,1975,0.068573939
Africa_Eastern,resid materials,semi-detached urban,1975,0.022161119
Africa_Northern,resid materials,apartments rural,1975,0.03316225
Africa_Northern,resid materials,apartments urban,1975,0.050638678
Africa_Northern,resid materials,detached rural,1975,0.54473948
Africa_Northern,resid materials,detached urban,1975,0.141907258
Africa_Northern,comm materials,others commercial,1975,0.897464643
Africa_Northern,resid materials,high-rise rural,1975,0.023662019
Africa_Northern,resid materials,high-rise urban,1975,0.072777832
Africa_Northern,comm materials,hotels commercial,1975,0.048270244
Africa_Northern,comm materials,office commercial,1975,0.031227997
Africa_Northern,comm materials,retail commercial,1975,0.023037116
Africa_Northern,resid materials,semi-detached rural,1975,0.049153992
Africa_Northern,resid materials,semi-detached urban,1975,0.08395849
Africa_Southern,resid materials,apartments rural,1975,0.045754284
Africa_Southern,resid materials,apartments urban,1975,0.014816634
Africa_Southern,resid materials,detached rural,1975,0.751582436
Africa_Southern,resid materials,detached urban,1975,0.041521382
Africa_Southern,comm materials,others commercial,1975,0.909810187
Africa_Southern,resid materials,high-rise rural,1975,0.032646722
Africa_Southern,resid materials,high-rise urban,1975,0.021294444
Africa_Southern,comm materials,hotels commercial,1975,0.045719289
Africa_Southern,comm materials,office commercial,1975,0.025868851
Africa_Southern,comm materials,retail commercial,1975,0.018601674
Africa_Southern,resid materials,semi-detached rural,1975,0.067818248
Africa_Southern,resid materials,semi-detached urban,1975,0.024565851
Africa_Western,resid materials,apartments rural,1975,0.041271897
Africa_Western,resid materials,apartments urban,1975,0.033020496
Africa_Western,resid materials,detached rural,1975,0.677952531
Africa_Western,resid materials,detached urban,1975,0.04884832
Africa_Western,comm materials,others commercial,1975,0.909509184
Africa_Western,resid materials,high-rise rural,1975,0.029448436
Africa_Western,resid materials,high-rise urban,1975,0.05027982
Africa_Western,comm materials,hotels commercial,1975,0.045784938
Africa_Western,comm materials,office commercial,1975,0.025998687
Africa_Western,comm materials,retail commercial,1975,0.018707191
Africa_Western,resid materials,semi-detached rural,1975,0.061174331
Africa_Western,resid materials,semi-detached urban,1975,0.05800417
Argentina,resid materials,apartments rural,1975,0.020786488
Argentina,resid materials,apartments urban,1975,0.104760478
Argentina,resid materials,detached rural,1975,0.341449101
