# File: A44.bld_floorspace_shares_reg.csv
# Title: Building sub-type floorspace shares by GCAM region
# Units: unitless
# Description: Building sub-type floorspace shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
Canada,resid floorspace,apartments urban,1975,0.089142692
Canada,resid floorspace,detached rural,1975,0.244557244
Canada,resid floorspace,detached urban,1975,0.311774014
Canada,comm floorspace,govern commercial,1975,0.66196478
Canada,resid floorspace,high-rise rural,1975,0.01062291
Canada,resid floorspace,high-rise urban,1975,0.15914999
Canada,comm floorspace,hotels commercial,1975,0.074108765
Canada,comm floorspace,office commercial,1975,0.128936945
Canada,comm floorspace,retail commercial,1975,0.134989511
Canada,resid floorspace,semi-detached rural,1975,0.022067365
Canada,resid floorspace,semi-detached urban,1975,0.14779781
Central America and Caribbean,resid floorspace,apartments rural,1975,0.031857693
Central America and Caribbean,resid floorspace,apartments urban,1975,0.054349908
Central America and Caribbean,resid floorspace,detached rural,1975,0.523310172
Central America and Caribbean,resid floorspace,detached urban,1975,0.152307418
Central America and Caribbean,comm floorspace,govern commercial,1975,0.860487869
Central America and Caribbean,resid floorspace,high-rise rural,1975,0.022731188
Central America and Caribbean,resid floorspace,high-rise urban,1975,0.078111605
Central America and Caribbean,comm floorspace,hotels commercial,1975,0.054580004
Central America and Caribbean,comm floorspace,office commercial,1975,0.047475704
Central America and Caribbean,comm floorspace,retail commercial,1975,0.037456423
Central America and Caribbean,resid floorspace,semi-detached rural,1975,0.047220341
Central America and Caribbean,resid floorspace,semi-detached urban,1975,0.090111676
Central Asia,resid floorspace,apartments rural,1975,0.029252969
Central Asia,resid floorspace,apartments urban,1975,0.061837259
Central Asia,resid floorspace,detached rural,1975,0.480947797
Central Asia,resid floorspace,detached urban,1975,0.172701685
Central Asia,comm floorspace,govern commercial,1975,0.89380472
Central Asia,resid floorspace,high-rise rural,1975,0.020872658
Central Asia,resid floorspace,high-rise urban,1975,0.088668118
Central Asia,comm floorspace,hotels commercial,1975,0.048655201
Central Asia,comm floorspace,office commercial,1975,0.032876306
Central Asia,comm floorspace,retail commercial,1975,0.024663772
Central Asia,resid floorspace,semi-detached rural,1975,0.043359549
Central Asia,resid floorspace,semi-detached urban,1975,0.102359965
China,resid floorspace,apartments rural,1975,0.04167081
China,resid floorspace,apartments urban,1975,0.034733063
China,resid floorspace,detached rural,1975,0.72998962
China,resid floorspace,detached urban,1975,0.034281664
China,comm floorspace,govern commercial,1975,0.917095936
China,resid floorspace,high-rise rural,1975,0.02973307
China,resid floorspace,high-rise urban,1975,0.02800752
China,comm floorspace,hotels commercial,1975,0.044068198
China,comm floorspace,office commercial,1975,0.022743435
China,comm floorspace,retail commercial,1975,0.01609243
China,resid floorspace,semi-detached rural,1975,0.06176561
China,resid floorspace,semi-detached urban,1975,0.039818643
Colombia,resid floorspace,apartments rural,1975,0.020782746
Colombia,resid floorspace,apartments urban,1975,0.104773467
Colombia,resid floorspace,detached rural,1975,0.341387644
Colombia,resid floorspace,detached urban,1975,0.191362114
Colombia,comm floorspace,govern commercial,1975,0.862709581
Colombia,resid floorspace,high-rise rural,1975,0.014828962
Colombia,resid floorspace,high-rise urban,1975,0.148534454
Colombia,comm floorspace,hotels commercial,1975,0.054244999
Colombia,comm floorspace,office commercial,1975,0.046497792
Colombia,comm floorspace,retail commercial,1975,0.036547629
Colombia,resid floorspace,semi-detached rural,1975,0.030804754
Colombia,resid floorspace,semi-detached urban,1975,0.147525859
EU-12,resid floorspace,apartments rural,1975,0.019165583
EU-12,resid floorspace,apartments urban,1975,0.046020447
EU-12,resid floorspace,detached rural,1975,0.466672833
EU-12,resid floorspace,detached urban,1975,0.109841113
EU-12,comm floorspace,govern commercial,1975,0.875810554
EU-12,resid floorspace,high-rise rural,1975,0.040205726
EU-12,resid floorspace,high-rise urban,1975,0.24845094
EU-12,comm floorspace,hotels commercial,1975,0.052077365
EU-12,comm floorspace,office commercial,1975,0.040706218
EU-12,comm floorspace,retail commercial,1975,0.031405864
EU-12,resid floorspace,semi-detached rural,1975,0.032552479
EU-12,resid floorspace,semi-detached urban,1975,0.03709088
EU-15,resid floorspace,apartments rural,1975,0.025734877
EU-15,resid floorspace,apartments urban,1975,0.163693079
EU-15,resid floorspace,detached rural,1975,0.24977752
EU-15,resid floorspace,detached urban,1975,0.133678003
EU-15,comm floorspace,govern commercial,1975,0.722796239
EU-15,resid floorspace,high-rise rural,1975,0.013261748
EU-15,resid floorspace,high-rise urban,1975,0.182946851
EU-15,comm floorspace,hotels commercial,1975,0.069500685
EU-15,comm floorspace,office commercial,1975,0.105740791
EU-15,comm floorspace,retail commercial,1975,0.101962285
EU-15,resid floorspace,semi-detached rural,1975,0.064634477
EU-15,resid floorspace,semi-detached urban,1975,0.166273444
Europe_Eastern,resid floorspace,apartments rural,1975,0.026778516
Europe_Eastern,resid floorspace,apartments urban,1975,0.06879924
Europe_Eastern,resid floorspace,detached rural,1975,0.439877118
Europe_Eastern,resid floorspace,detached urban,1975,0.192799492
Europe_Eastern,comm floorspace,govern commercial,1975,0.893301487
Europe_Eastern,resid floorspace,high-rise rural,1975,0.01910708
Europe_Eastern,resid floorspace,high-rise urban,1975,0.098878163
Europe_Eastern,comm floorspace,hotels commercial,1975,0.04907007
Europe_Eastern,comm floorspace,office commercial,1975,0.033047721
Europe_Eastern,comm floorspace,retail commercial,1975,0.024580721
Europe_Eastern,resid floorspace,semi-detached rural,1975,0.039691847
Europe_Eastern,resid floorspace,semi-detached urban,1975,0.114068543
Europe_Non_EU,resid floorspace,apartments rural,1975,0.028864546
Europe_Non_EU,resid floorspace,apartments urban,1975,0.048641299
Europe_Non_EU,resid floorspace,detached rural,1975,0.511320803
Europe_Non_EU,resid floorspace,detached urban,1975,0.112289456
Europe_Non_EU,comm floorspace,govern commercial,1975,0.862135871
Europe_Non_EU,resid floorspace,high-rise rural,1975,0.028490937
Europe_Non_EU,resid floorspace,high-rise urban,1975,0.162159173
Europe_Non_EU,comm floorspace,hotels commercial,1975,0.053402161
Europe_Non_EU,comm floorspace,office commercial,1975,0.046457834
Europe_Non_EU,comm floorspace,retail commercial,1975,0.038004134
Europe_Non_EU,resid floorspace,semi-detached rural,1975,0.045538034
Europe_Non_EU,resid floorspace,semi-detached urban,1975,0.062695752
European Free Trade Association,resid floorspace,apartments rural,1975,0.0257345
European Free Trade Association,resid floorspace,apartments urban,1975,0.16369439
European Free Trade Association,resid floorspace,detached rural,1975,0.24977386
European Free Trade Association,resid floorspace,detached urban,1975,0.133679074
European Free Trade Association,comm floorspace,govern commercial,1975,0.722780265
European Free Trade Association,resid floorspace,high-rise rural,1975,0.013261553
European Free Trade Association,resid floorspace,high-rise urban,1975,0.182948317
European Free Trade Association,comm floorspace,hotels commercial,1975,0.069502009
European Free Trade Association,comm floorspace,office commercial,1975,0.105747174
European Free Trade Association,comm floorspace,retail commercial,1975,0.101970552
European Free Trade Association,resid floorspace,semi-detached rural,1975,0.064633529
European Free Trade Association,resid floorspace,semi-detached urban,1975,0.166274776
India,resid floorspace,apartments rural,1975,0.043172896
India,resid floorspace,apartments urban,1975,0.012865778
India,resid floorspace,detached rural,1975,0.701056695
India,resid floorspace,detached urban,1975,0.039848746
India,comm floorspace,govern commercial,1975,0.914705882
India,resid floorspace,high-rise rural,1975,0.030804843
India,resid floorspace,high-rise urban,1975,0.047238543
India,comm floorspace,hotels commercial,1975,0.044623143
India,comm floorspace,office commercial,1975,0.023764875
India,comm floorspace,retail commercial,1975,0.0169061
India,resid floorspace,semi-detached rural,1975,0.063992044
India,resid floorspace,semi-detached urban,1975,0.061020456
Indonesia,resid floorspace,apartments rural,1975,0.043792805
Indonesia,resid floorspace,apartments urban,1975,0.02346251
Indonesia,resid floorspace,detached rural,1975,0.719362216
Indonesia,resid floorspace,detached urban,1975,0.055499889
Indonesia,comm floorspace,govern commercial,1975,0.913951972
Indonesia,resid floorspace,high-rise rural,1975,0.031247162
Indonesia,resid floorspace,high-rise urban,1975,0.02282389
Indonesia,comm floorspace,hotels commercial,1975,0.044795328
Indonesia,comm floorspace,office commercial,1975,0.024087921
Indonesia,comm floorspace,retail commercial,1975,0.017164779
Indonesia,resid floorspace,semi-detached rural,1975,0.06491089
Indonesia,resid floorspace,semi-detached urban,1975,0.038900638
Japan,resid floorspace,apartments rural,1975,0.031795537
Japan,resid floorspace,apartments urban,1975,0.116956138
Japan,resid floorspace,detached rural,1975,0.468458982
Japan,resid floorspace,detached urban,1975,0.26860924
Japan,comm floorspace,govern commercial,1975,0.755097212
Japan,resid floorspace,high-rise rural,1975,0.004861465
Japan,resid floorspace,high-rise urban,1975,0.089634376
Japan,comm floorspace,hotels commercial,1975,0.066712945
Japan,comm floorspace,office commercial,1975,0.092662298
Japan,comm floorspace,retail commercial,1975,0.085527545
Japan,resid floorspace,semi-detached rural,1975,0.008415752
Japan,resid floorspace,semi-detached urban,1975,0.011268509
Mexico,resid floorspace,apartments rural,1975,0.023003616
Mexico,resid floorspace,apartments urban,1975,0.079538143
Mexico,resid floorspace,detached rural,1975,0.377868749
Mexico,resid floorspace,detached urban,1975,0.222893649
Mexico,comm floorspace,govern commercial,1975,0.834049053
Mexico,resid floorspace,high-rise rural,1975,0.016413603
Mexico,resid floorspace,high-rise urban,1975,0.1143121
Mexico,comm floorspace,hotels commercial,1975,0.058240744
Mexico,comm floorspace,office commercial,1975,0.059072182
Mexico,comm floorspace,retail commercial,1975,0.048638021
Mexico,resid floorspace,semi-detached rural,1975,0.034096588
Mexico,resid floorspace,semi-detached urban,1975,0.131873552
Middle East,resid floorspace,apartments rural,1975,0.029733209
Middle East,resid floorspace,apartments urban,1975,0.04688337
Middle East,resid floorspace,detached rural,1975,0.488412361
Middle East,resid floorspace,detached urban,1975,0.222742754
Middle East,comm floorspace,govern commercial,1975,0.874272729
Middle East,resid floorspace,high-rise rural,1975,0.021215321
Middle East,resid floorspace,high-rise urban,1975,0.068229825
Middle East,comm floorspace,hotels commercial,1975,0.052398007
Middle East,comm floorspace,office commercial,1975,0.041407381
Middle East,comm floorspace,retail commercial,1975,0.031921883
Middle East,resid floorspace,semi-detached rural,1975,0.044071374
Middle East,resid floorspace,semi-detached urban,1975,0.078711785
Pakistan,resid floorspace,apartments rural,1975,0.124989978
Pakistan,resid floorspace,apartments urban,1975,0.017900258
Pakistan,resid floorspace,detached rural,1975,0.477095553
Pakistan,resid floorspace,detached urban,1975,0.050162772
Pakistan,comm floorspace,govern commercial,1975,0.913873397
Pakistan,resid floorspace,high-rise rural,1975,0.08918319
Pakistan,resid floorspace,high-rise urban,1975,0.025726223
