# File: A44.bld_floorspace_material_intensity_reg.csv
# Title: Building sub-type floorspace material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type floorspace material intensities based on data from Deetman et al. 2020. There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
Pakistan,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
Russia,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
South Africa,resid floorspace,apartments urban,copper,1990,kg/m2,0.39
South America_Northern,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
South America_Southern,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
South Asia,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
South Korea,resid floorspace,apartments urban,copper,1990,kg/m2,0.73
Southeast Asia,resid floorspace,apartments urban,copper,1990,kg/m2,0.374016556
Taiwan,resid floorspace,apartments urban,copper,1990,kg/m2,0.25
Argentina,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
Colombia,resid floorspace,apartments urban,copper,1990,kg/m2,0.31
USA,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Africa_Northern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Africa_Southern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Africa_Western,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Australia_NZ,resid floorspace,apartments urban,copper,2005,kg/m2,0.01
Brazil,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Canada,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Central Asia,resid floorspace,apartments urban,copper,2005,kg/m2,0.305608838
China,resid floorspace,apartments urban,copper,2005,kg/m2,0.25
EU-12,resid floorspace,apartments urban,copper,2005,kg/m2,0.308050436
EU-15,resid floorspace,apartments urban,copper,2005,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments urban,copper,2005,kg/m2,0.291503026
European Free Trade Association,resid floorspace,apartments urban,copper,2005,kg/m2,0.15
India,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Indonesia,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Japan,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Mexico,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Middle East,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Pakistan,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Russia,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
South Africa,resid floorspace,apartments urban,copper,2005,kg/m2,0.39
South America_Northern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
South America_Southern,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
South Asia,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
South Korea,resid floorspace,apartments urban,copper,2005,kg/m2,0.73
Southeast Asia,resid floorspace,apartments urban,copper,2005,kg/m2,0.371871838
Taiwan,resid floorspace,apartments urban,copper,2005,kg/m2,0.25
Argentina,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
Colombia,resid floorspace,apartments urban,copper,2005,kg/m2,0.31
USA,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Africa_Northern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Africa_Southern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Africa_Western,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Australia_NZ,resid floorspace,apartments urban,copper,2010,kg/m2,0.01
Brazil,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Canada,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Central Asia,resid floorspace,apartments urban,copper,2010,kg/m2,0.303715893
China,resid floorspace,apartments urban,copper,2010,kg/m2,0.25
EU-12,resid floorspace,apartments urban,copper,2010,kg/m2,0.308083745
EU-15,resid floorspace,apartments urban,copper,2010,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments urban,copper,2010,kg/m2,0.293632029
European Free Trade Association,resid floorspace,apartments urban,copper,2010,kg/m2,0.15
India,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Indonesia,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Japan,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Mexico,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Middle East,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Pakistan,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Russia,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
South Africa,resid floorspace,apartments urban,copper,2010,kg/m2,0.39
South America_Northern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
South America_Southern,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
South Asia,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
South Korea,resid floorspace,apartments urban,copper,2010,kg/m2,0.73
Southeast Asia,resid floorspace,apartments urban,copper,2010,kg/m2,0.366544461
Taiwan,resid floorspace,apartments urban,copper,2010,kg/m2,0.25
Argentina,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
Colombia,resid floorspace,apartments urban,copper,2010,kg/m2,0.31
USA,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Africa_Northern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Africa_Southern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Africa_Western,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Australia_NZ,resid floorspace,apartments urban,copper,2015,kg/m2,0.01
Brazil,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Canada,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Central Asia,resid floorspace,apartments urban,copper,2015,kg/m2,0.302665316
China,resid floorspace,apartments urban,copper,2015,kg/m2,0.25
EU-12,resid floorspace,apartments urban,copper,2015,kg/m2,0.308107614
EU-15,resid floorspace,apartments urban,copper,2015,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments urban,copper,2015,kg/m2,0.295798409
European Free Trade Association,resid floorspace,apartments urban,copper,2015,kg/m2,0.15
India,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Indonesia,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Japan,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Mexico,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Middle East,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Pakistan,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Russia,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
South Africa,resid floorspace,apartments urban,copper,2015,kg/m2,0.39
South America_Northern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
South America_Southern,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
South Asia,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
South Korea,resid floorspace,apartments urban,copper,2015,kg/m2,0.73
Southeast Asia,resid floorspace,apartments urban,copper,2015,kg/m2,0.361216078
Taiwan,resid floorspace,apartments urban,copper,2015,kg/m2,0.25
Argentina,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
Colombia,resid floorspace,apartments urban,copper,2015,kg/m2,0.31
USA,resid floorspace,apartments urban,steel,1975,kg/m2,2.179726287
Africa_Eastern,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
Africa_Northern,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
Africa_Southern,resid floorspace,apartments urban,steel,1975,kg/m2,97.36000001
Africa_Western,resid floorspace,apartments urban,steel,1975,kg/m2,26.73
Australia_NZ,resid floorspace,apartments urban,steel,1975,kg/m2,49.41
Brazil,resid floorspace,apartments urban,steel,1975,kg/m2,97.35999996
Canada,resid floorspace,apartments urban,steel,1975,kg/m2,97.35999999
Central America and Caribbean,resid floorspace,apartments urban,steel,1975,kg/m2,97.35999998
Central Asia,resid floorspace,apartments urban,steel,1975,kg/m2,98.811089
China,resid floorspace,apartments urban,steel,1975,kg/m2,374.2999999
EU-12,resid floorspace,apartments urban,steel,1975,kg/m2,97.14238268
EU-15,resid floorspace,apartments urban,steel,1975,kg/m2,76.23999999
Europe_Eastern,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
Europe_Non_EU,resid floorspace,apartments urban,steel,1975,kg/m2,81.84894044
European Free Trade Association,resid floorspace,apartments urban,steel,1975,kg/m2,76.23999999
India,resid floorspace,apartments urban,steel,1975,kg/m2,21.16000001
Indonesia,resid floorspace,apartments urban,steel,1975,kg/m2,97.35999998
Japan,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
Mexico,resid floorspace,apartments urban,steel,1975,kg/m2,97.36000001
Middle East,resid floorspace,apartments urban,steel,1975,kg/m2,335.19
Pakistan,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
Russia,resid floorspace,apartments urban,steel,1975,kg/m2,97.35999998
South Africa,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
South America_Northern,resid floorspace,apartments urban,steel,1975,kg/m2,37.5
South America_Southern,resid floorspace,apartments urban,steel,1975,kg/m2,37.5
South Asia,resid floorspace,apartments urban,steel,1975,kg/m2,97.36
South Korea,resid floorspace,apartments urban,steel,1975,kg/m2,106.51
Southeast Asia,resid floorspace,apartments urban,steel,1975,kg/m2,45.45335827
Taiwan,resid floorspace,apartments urban,steel,1975,kg/m2,374.2999999
Argentina,resid floorspace,apartments urban,steel,1975,kg/m2,37.5
Colombia,resid floorspace,apartments urban,steel,1975,kg/m2,37.5
USA,resid floorspace,apartments urban,steel,1990,kg/m2,1.987748141
Africa_Eastern,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Africa_Northern,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Africa_Southern,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Africa_Western,resid floorspace,apartments urban,steel,1990,kg/m2,26.73
Australia_NZ,resid floorspace,apartments urban,steel,1990,kg/m2,49.41
Brazil,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Canada,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Central America and Caribbean,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Central Asia,resid floorspace,apartments urban,steel,1990,kg/m2,102.3073479
China,resid floorspace,apartments urban,steel,1990,kg/m2,374.3000001
EU-12,resid floorspace,apartments urban,steel,1990,kg/m2,97.12475393
EU-15,resid floorspace,apartments urban,steel,1990,kg/m2,76.24
Europe_Eastern,resid floorspace,apartments urban,steel,1990,kg/m2,97.36000002
Europe_Non_EU,resid floorspace,apartments urban,steel,1990,kg/m2,79.83532799
European Free Trade Association,resid floorspace,apartments urban,steel,1990,kg/m2,76.24
India,resid floorspace,apartments urban,steel,1990,kg/m2,21.16
Indonesia,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Japan,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Mexico,resid floorspace,apartments urban,steel,1990,kg/m2,97.36
Middle East,resid floorspace,apartments urban,steel,1990,kg/m2,335.1900001
Pakistan,resid floorspace,apartments urban,steel,1990,kg/m2,97.35999997
Russia,resid floorspace,apartments urban,steel,1990,kg/m2,97.36000001
South Africa,resid floorspace,apartments urban,steel,1990,kg/m2,97.35999995
South America_Northern,resid floorspace,apartments urban,steel,1990,kg/m2,37.5
South America_Southern,resid floorspace,apartments urban,steel,1990,kg/m2,37.5
South Asia,resid floorspace,apartments urban,steel,1990,kg/m2,97.35999997
South Korea,resid floorspace,apartments urban,steel,1990,kg/m2,106.51
Southeast Asia,resid floorspace,apartments urban,steel,1990,kg/m2,47.86274043
Taiwan,resid floorspace,apartments urban,steel,1990,kg/m2,374.3000001
Argentina,resid floorspace,apartments urban,steel,1990,kg/m2,37.5
Colombia,resid floorspace,apartments urban,steel,1990,kg/m2,37.5
USA,resid floorspace,apartments urban,steel,2005,kg/m2,1.961147947
Africa_Eastern,resid floorspace,apartments urban,steel,2005,kg/m2,97.36000001
Africa_Northern,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999998
Africa_Southern,resid floorspace,apartments urban,steel,2005,kg/m2,97.36
Africa_Western,resid floorspace,apartments urban,steel,2005,kg/m2,26.73000001
Australia_NZ,resid floorspace,apartments urban,steel,2005,kg/m2,49.41
Brazil,resid floorspace,apartments urban,steel,2005,kg/m2,97.36
Canada,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999996
Central America and Caribbean,resid floorspace,apartments urban,steel,2005,kg/m2,97.36000007
Central Asia,resid floorspace,apartments urban,steel,2005,kg/m2,117.6281423
China,resid floorspace,apartments urban,steel,2005,kg/m2,374.2999999
EU-12,resid floorspace,apartments urban,steel,2005,kg/m2,97.10265759
EU-15,resid floorspace,apartments urban,steel,2005,kg/m2,76.24
Europe_Eastern,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999998
Europe_Non_EU,resid floorspace,apartments urban,steel,2005,kg/m2,78.79571144
European Free Trade Association,resid floorspace,apartments urban,steel,2005,kg/m2,76.24
India,resid floorspace,apartments urban,steel,2005,kg/m2,21.16
Indonesia,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999995
Japan,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999999
Mexico,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999999
Middle East,resid floorspace,apartments urban,steel,2005,kg/m2,335.1900001
Pakistan,resid floorspace,apartments urban,steel,2005,kg/m2,97.36
Russia,resid floorspace,apartments urban,steel,2005,kg/m2,97.36
South Africa,resid floorspace,apartments urban,steel,2005,kg/m2,97.35999998
South America_Northern,resid floorspace,apartments urban,steel,2005,kg/m2,37.5
South America_Southern,resid floorspace,apartments urban,steel,2005,kg/m2,37.5
South Asia,resid floorspace,apartments urban,steel,2005,kg/m2,97.36
South Korea,resid floorspace,apartments urban,steel,2005,kg/m2,106.51
Southeast Asia,resid floorspace,apartments urban,steel,2005,kg/m2,47.40515724
Taiwan,resid floorspace,apartments urban,steel,2005,kg/m2,374.2999999
Argentina,resid floorspace,apartments urban,steel,2005,kg/m2,37.5
Colombia,resid floorspace,apartments urban,steel,2005,kg/m2,37.5
USA,resid floorspace,apartments urban,steel,2010,kg/m2,1.956942346
Africa_Eastern,resid floorspace,apartments urban,steel,2010,kg/m2,97.35999999
Africa_Northern,resid floorspace,apartments urban,steel,2010,kg/m2,97.35999997
Africa_Southern,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000001
Africa_Western,resid floorspace,apartments urban,steel,2010,kg/m2,26.73000001
Australia_NZ,resid floorspace,apartments urban,steel,2010,kg/m2,49.41000001
Brazil,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000001
Canada,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000001
Central America and Caribbean,resid floorspace,apartments urban,steel,2010,kg/m2,97.35999998
Central Asia,resid floorspace,apartments urban,steel,2010,kg/m2,126.3653432
China,resid floorspace,apartments urban,steel,2010,kg/m2,374.3
EU-12,resid floorspace,apartments urban,steel,2010,kg/m2,97.10705434
EU-15,resid floorspace,apartments urban,steel,2010,kg/m2,76.24000002
Europe_Eastern,resid floorspace,apartments urban,steel,2010,kg/m2,97.35999999
Europe_Non_EU,resid floorspace,apartments urban,steel,2010,kg/m2,78.70732095
European Free Trade Association,resid floorspace,apartments urban,steel,2010,kg/m2,76.24000002
India,resid floorspace,apartments urban,steel,2010,kg/m2,21.16
Indonesia,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000003
Japan,resid floorspace,apartments urban,steel,2010,kg/m2,97.36
Mexico,resid floorspace,apartments urban,steel,2010,kg/m2,97.36
Middle East,resid floorspace,apartments urban,steel,2010,kg/m2,335.19
Pakistan,resid floorspace,apartments urban,steel,2010,kg/m2,97.36
Russia,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000001
South Africa,resid floorspace,apartments urban,steel,2010,kg/m2,97.36000001
South America_Northern,resid floorspace,apartments urban,steel,2010,kg/m2,37.49999999
South America_Southern,resid floorspace,apartments urban,steel,2010,kg/m2,37.49999999
South Asia,resid floorspace,apartments urban,steel,2010,kg/m2,97.36
South Korea,resid floorspace,apartments urban,steel,2010,kg/m2,106.51
Southeast Asia,resid floorspace,apartments urban,steel,2010,kg/m2,46.29410413
Taiwan,resid floorspace,apartments urban,steel,2010,kg/m2,374.3
Argentina,resid floorspace,apartments urban,steel,2010,kg/m2,37.49999999
Colombia,resid floorspace,apartments urban,steel,2010,kg/m2,37.49999999
USA,resid floorspace,apartments urban,steel,2015,kg/m2,1.909845698
Africa_Eastern,resid floorspace,apartments urban,steel,2015,kg/m2,97.35999999
Africa_Northern,resid floorspace,apartments urban,steel,2015,kg/m2,97.36000003
Africa_Southern,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
Africa_Western,resid floorspace,apartments urban,steel,2015,kg/m2,26.73
Australia_NZ,resid floorspace,apartments urban,steel,2015,kg/m2,49.41000002
Brazil,resid floorspace,apartments urban,steel,2015,kg/m2,97.35999999
Canada,resid floorspace,apartments urban,steel,2015,kg/m2,97.36000002
Central America and Caribbean,resid floorspace,apartments urban,steel,2015,kg/m2,97.35999998
Central Asia,resid floorspace,apartments urban,steel,2015,kg/m2,131.2144554
China,resid floorspace,apartments urban,steel,2015,kg/m2,374.3
EU-12,resid floorspace,apartments urban,steel,2015,kg/m2,97.11020498
EU-15,resid floorspace,apartments urban,steel,2015,kg/m2,76.24000001
Europe_Eastern,resid floorspace,apartments urban,steel,2015,kg/m2,97.36000005
Europe_Non_EU,resid floorspace,apartments urban,steel,2015,kg/m2,78.48629296
European Free Trade Association,resid floorspace,apartments urban,steel,2015,kg/m2,76.24000001
India,resid floorspace,apartments urban,steel,2015,kg/m2,21.16
Indonesia,resid floorspace,apartments urban,steel,2015,kg/m2,97.36000001
Japan,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
Mexico,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
Middle East,resid floorspace,apartments urban,steel,2015,kg/m2,335.1900001
Pakistan,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
Russia,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
South Africa,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
South America_Northern,resid floorspace,apartments urban,steel,2015,kg/m2,37.5
South America_Southern,resid floorspace,apartments urban,steel,2015,kg/m2,37.5
South Asia,resid floorspace,apartments urban,steel,2015,kg/m2,97.36
South Korea,resid floorspace,apartments urban,steel,2015,kg/m2,106.51
Southeast Asia,resid floorspace,apartments urban,steel,2015,kg/m2,45.11343215
Taiwan,resid floorspace,apartments urban,steel,2015,kg/m2,374.3
Argentina,resid floorspace,apartments urban,steel,2015,kg/m2,37.5
Colombia,resid floorspace,apartments urban,steel,2015,kg/m2,37.5
USA,resid floorspace,detached rural,aluminium,1975,kg/m2,1.858893468
Africa_Eastern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Africa_Northern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Africa_Southern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.560000001
Africa_Western,resid floorspace,detached rural,aluminium,1975,kg/m2,2.890000002
Australia_NZ,resid floorspace,detached rural,aluminium,1975,kg/m2,1.899999999
Brazil,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Canada,resid floorspace,detached rural,aluminium,1975,kg/m2,9.270000005
Central America and Caribbean,resid floorspace,detached rural,aluminium,1975,kg/m2,3.559999999
Central Asia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.65730475
China,resid floorspace,detached rural,aluminium,1975,kg/m2,10.21
EU-12,resid floorspace,detached rural,aluminium,1975,kg/m2,3.555808522
EU-15,resid floorspace,detached rural,aluminium,1975,kg/m2,0.93
Europe_Eastern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Europe_Non_EU,resid floorspace,detached rural,aluminium,1975,kg/m2,3.486514065
European Free Trade Association,resid floorspace,detached rural,aluminium,1975,kg/m2,0.93
India,resid floorspace,detached rural,aluminium,1975,kg/m2,3.559999999
Indonesia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Japan,resid floorspace,detached rural,aluminium,1975,kg/m2,1.5
Mexico,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Middle East,resid floorspace,detached rural,aluminium,1975,kg/m2,0.73
Pakistan,resid floorspace,detached rural,aluminium,1975,kg/m2,3.559999999
Russia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
South Africa,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
South America_Northern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
South America_Southern,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
South Asia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.559999999
South Korea,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Southeast Asia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.553380787
Taiwan,resid floorspace,detached rural,aluminium,1975,kg/m2,10.21
Argentina,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
Colombia,resid floorspace,detached rural,aluminium,1975,kg/m2,3.56
USA,resid floorspace,detached rural,aluminium,1990,kg/m2,1.852770551
Africa_Eastern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Africa_Northern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Africa_Southern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Africa_Western,resid floorspace,detached rural,aluminium,1990,kg/m2,2.89
Australia_NZ,resid floorspace,detached rural,aluminium,1990,kg/m2,1.9
Brazil,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Canada,resid floorspace,detached rural,aluminium,1990,kg/m2,9.269999997
Central America and Caribbean,resid floorspace,detached rural,aluminium,1990,kg/m2,3.560000001
Central Asia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.768082678
China,resid floorspace,detached rural,aluminium,1990,kg/m2,10.21
EU-12,resid floorspace,detached rural,aluminium,1990,kg/m2,3.554547856
EU-15,resid floorspace,detached rural,aluminium,1990,kg/m2,0.93
Europe_Eastern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Europe_Non_EU,resid floorspace,detached rural,aluminium,1990,kg/m2,3.459245062
European Free Trade Association,resid floorspace,detached rural,aluminium,1990,kg/m2,0.93
India,resid floorspace,detached rural,aluminium,1990,kg/m2,3.560000001
Indonesia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.559999999
Japan,resid floorspace,detached rural,aluminium,1990,kg/m2,1.5
Mexico,resid floorspace,detached rural,aluminium,1990,kg/m2,3.559999999
Middle East,resid floorspace,detached rural,aluminium,1990,kg/m2,0.73
Pakistan,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Russia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
South Africa,resid floorspace,detached rural,aluminium,1990,kg/m2,3.560000001
South America_Northern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
South America_Southern,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
South Asia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
South Korea,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Southeast Asia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.551790576
Taiwan,resid floorspace,detached rural,aluminium,1990,kg/m2,10.21
Argentina,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
Colombia,resid floorspace,detached rural,aluminium,1990,kg/m2,3.56
USA,resid floorspace,detached rural,aluminium,2005,kg/m2,1.852287708
Africa_Eastern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Africa_Northern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.560000001
Africa_Southern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.559999999
Africa_Western,resid floorspace,detached rural,aluminium,2005,kg/m2,2.89
Australia_NZ,resid floorspace,detached rural,aluminium,2005,kg/m2,1.9
Brazil,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Canada,resid floorspace,detached rural,aluminium,2005,kg/m2,9.269999998
Central America and Caribbean,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Central Asia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.933758119
China,resid floorspace,detached rural,aluminium,2005,kg/m2,10.21
EU-12,resid floorspace,detached rural,aluminium,2005,kg/m2,3.554531033
EU-15,resid floorspace,detached rural,aluminium,2005,kg/m2,0.93
Europe_Eastern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Europe_Non_EU,resid floorspace,detached rural,aluminium,2005,kg/m2,3.480178744
European Free Trade Association,resid floorspace,detached rural,aluminium,2005,kg/m2,0.93
India,resid floorspace,detached rural,aluminium,2005,kg/m2,3.559999999
Indonesia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.560000001
Japan,resid floorspace,detached rural,aluminium,2005,kg/m2,1.5
Mexico,resid floorspace,detached rural,aluminium,2005,kg/m2,3.559999999
Middle East,resid floorspace,detached rural,aluminium,2005,kg/m2,0.73
Pakistan,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Russia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
South Africa,resid floorspace,detached rural,aluminium,2005,kg/m2,3.560000001
South America_Northern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
South America_Southern,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
South Asia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
South Korea,resid floorspace,detached rural,aluminium,2005,kg/m2,3.560000001
Southeast Asia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.551412844
Taiwan,resid floorspace,detached rural,aluminium,2005,kg/m2,10.21
Argentina,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
Colombia,resid floorspace,detached rural,aluminium,2005,kg/m2,3.56
USA,resid floorspace,detached rural,aluminium,2010,kg/m2,1.852317547
Africa_Eastern,resid floorspace,detached rural,aluminium,2010,kg/m2,3.56
Africa_Northern,resid floorspace,detached rural,aluminium,2010,kg/m2,3.560000002
Africa_Southern,resid floorspace,detached rural,aluminium,2010,kg/m2,3.56
Africa_Western,resid floorspace,detached rural,aluminium,2010,kg/m2,2.89
Australia_NZ,resid floorspace,detached rural,aluminium,2010,kg/m2,1.9
Brazil,resid floorspace,detached rural,aluminium,2010,kg/m2,3.56
Canada,resid floorspace,detached rural,aluminium,2010,kg/m2,9.27
Central America and Caribbean,resid floorspace,detached rural,aluminium,2010,kg/m2,3.560000001
Central Asia,resid floorspace,detached rural,aluminium,2010,kg/m2,4.02348686
China,resid floorspace,detached rural,aluminium,2010,kg/m2,10.21
EU-12,resid floorspace,detached rural,aluminium,2010,kg/m2,3.554801774
EU-15,resid floorspace,detached rural,aluminium,2010,kg/m2,0.93
Europe_Eastern,resid floorspace,detached rural,aluminium,2010,kg/m2,3.56
Europe_Non_EU,resid floorspace,detached rural,aluminium,2010,kg/m2,3.488391912
European Free Trade Association,resid floorspace,detached rural,aluminium,2010,kg/m2,0.93
India,resid floorspace,detached rural,aluminium,2010,kg/m2,3.560000001
