# File: A44.bld_materials_intensity_reg.csv
# Title: Building sub-type material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type material intensities based on data from Deetman et al. 2020. There are 2 materials sectors: resid materials and comm materials. Within resid materials there are 8 subsectors (4 building sub-types x urban/rural). Within comm materials there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
Africa_Western,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
Australia_NZ,resid materials,apartments rural,aluminium,2005,kg/m2,60.2840513
Brazil,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739677
Canada,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739677
Central America and Caribbean,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
Central Asia,resid materials,apartments rural,aluminium,2005,kg/m2,31.98289042
China,resid materials,apartments rural,aluminium,2005,kg/m2,33.98493763
EU-12,resid materials,apartments rural,aluminium,2005,kg/m2,47.1684489
EU-15,resid materials,apartments rural,aluminium,2005,kg/m2,4.464667071
Ukraine,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739677
Europe_Non_EU,resid materials,apartments rural,aluminium,2005,kg/m2,32.72744924
European Free Trade Association,resid materials,apartments rural,aluminium,2005,kg/m2,4.464667071
India,resid materials,apartments rural,aluminium,2005,kg/m2,31.5024034
Indonesia,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739677
Japan,resid materials,apartments rural,aluminium,2005,kg/m2,28.58295535
Mexico,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
Middle East,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
Pakistan,resid materials,apartments rural,aluminium,2005,kg/m2,7.405116682
Russia,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
South Africa,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
South America_Northern,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
South America_Southern,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
South Asia,resid materials,apartments rural,aluminium,2005,kg/m2,7.405116682
South Korea,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739677
Southeast Asia,resid materials,apartments rural,aluminium,2005,kg/m2,9.037874071
Taiwan,resid materials,apartments rural,aluminium,2005,kg/m2,33.98493763
Argentina,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
Colombia,resid materials,apartments rural,aluminium,2005,kg/m2,31.86739678
USA,resid materials,apartments rural,aluminium,2010,kg/m2,285.4241329
Africa_Eastern,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Northern,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Southern,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Western,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739676
Australia_NZ,resid materials,apartments rural,aluminium,2010,kg/m2,60.2840513
Brazil,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739676
Canada,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739676
Central America and Caribbean,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Central Asia,resid materials,apartments rural,aluminium,2010,kg/m2,32.00744119
China,resid materials,apartments rural,aluminium,2010,kg/m2,33.98493763
EU-12,resid materials,apartments rural,aluminium,2010,kg/m2,47.181539
EU-15,resid materials,apartments rural,aluminium,2010,kg/m2,4.464667072
Ukraine,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Europe_Non_EU,resid materials,apartments rural,aluminium,2010,kg/m2,32.88035994
European Free Trade Association,resid materials,apartments rural,aluminium,2010,kg/m2,4.464667072
India,resid materials,apartments rural,aluminium,2010,kg/m2,31.50240342
Indonesia,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Japan,resid materials,apartments rural,aluminium,2010,kg/m2,28.58295535
Mexico,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739678
Middle East,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Pakistan,resid materials,apartments rural,aluminium,2010,kg/m2,7.405116681
Russia,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739678
South Africa,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739678
South America_Northern,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
South America_Southern,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
South Asia,resid materials,apartments rural,aluminium,2010,kg/m2,7.405116681
South Korea,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739678
Southeast Asia,resid materials,apartments rural,aluminium,2010,kg/m2,8.92948297
Taiwan,resid materials,apartments rural,aluminium,2010,kg/m2,33.98493763
Argentina,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
Colombia,resid materials,apartments rural,aluminium,2010,kg/m2,31.86739677
USA,resid materials,apartments rural,aluminium,2015,kg/m2,285.8918488
Africa_Eastern,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739678
Africa_Northern,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Southern,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Western,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739678
Australia_NZ,resid materials,apartments rural,aluminium,2015,kg/m2,60.2840513
Brazil,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739678
Canada,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Central America and Caribbean,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Central Asia,resid materials,apartments rural,aluminium,2015,kg/m2,32.02381002
China,resid materials,apartments rural,aluminium,2015,kg/m2,33.98493764
EU-12,resid materials,apartments rural,aluminium,2015,kg/m2,47.17248307
EU-15,resid materials,apartments rural,aluminium,2015,kg/m2,4.464667072
Ukraine,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Europe_Non_EU,resid materials,apartments rural,aluminium,2015,kg/m2,32.82510226
European Free Trade Association,resid materials,apartments rural,aluminium,2015,kg/m2,4.464667072
India,resid materials,apartments rural,aluminium,2015,kg/m2,31.50240341
Indonesia,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739676
Japan,resid materials,apartments rural,aluminium,2015,kg/m2,28.58295535
Mexico,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Middle East,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Pakistan,resid materials,apartments rural,aluminium,2015,kg/m2,7.405116682
Russia,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
South Africa,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739678
South America_Northern,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739676
South America_Southern,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739676
South Asia,resid materials,apartments rural,aluminium,2015,kg/m2,7.405116682
South Korea,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739677
Southeast Asia,resid materials,apartments rural,aluminium,2015,kg/m2,8.763092648
Taiwan,resid materials,apartments rural,aluminium,2015,kg/m2,33.98493764
Argentina,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739676
Colombia,resid materials,apartments rural,aluminium,2015,kg/m2,31.86739676
USA,resid materials,apartments rural,aluminium,2021,kg/m2,286.0959044
Africa_Eastern,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
Africa_Northern,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
Africa_Southern,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
Africa_Western,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Australia_NZ,resid materials,apartments rural,aluminium,2021,kg/m2,60.28405129
Brazil,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739676
Canada,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
Central America and Caribbean,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
Central Asia,resid materials,apartments rural,aluminium,2021,kg/m2,32.02745983
China,resid materials,apartments rural,aluminium,2021,kg/m2,33.98493764
EU-12,resid materials,apartments rural,aluminium,2021,kg/m2,47.15047449
EU-15,resid materials,apartments rural,aluminium,2021,kg/m2,4.464667069
Ukraine,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Europe_Non_EU,resid materials,apartments rural,aluminium,2021,kg/m2,32.78642568
European Free Trade Association,resid materials,apartments rural,aluminium,2021,kg/m2,4.464667069
India,resid materials,apartments rural,aluminium,2021,kg/m2,31.50240342
Indonesia,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Japan,resid materials,apartments rural,aluminium,2021,kg/m2,28.58295536
Mexico,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Middle East,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Pakistan,resid materials,apartments rural,aluminium,2021,kg/m2,7.405116682
Russia,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739677
South Africa,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
South America_Northern,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
South America_Southern,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
South Asia,resid materials,apartments rural,aluminium,2021,kg/m2,7.405116682
South Korea,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Southeast Asia,resid materials,apartments rural,aluminium,2021,kg/m2,8.627765808
Taiwan,resid materials,apartments rural,aluminium,2021,kg/m2,33.98493764
Argentina,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
Colombia,resid materials,apartments rural,aluminium,2021,kg/m2,31.86739678
USA,resid materials,apartments rural,copper,1975,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,1975,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,1975,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,1975,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,1975,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,1975,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,1975,kg/m2,0.31
Canada,resid materials,apartments rural,copper,1975,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,1975,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,1975,kg/m2,0.30916724
China,resid materials,apartments rural,copper,1975,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,1975,kg/m2,0.309364701
EU-15,resid materials,apartments rural,copper,1975,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,1975,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,1975,kg/m2,0.302368802
European Free Trade Association,resid materials,apartments rural,copper,1975,kg/m2,0.15
India,resid materials,apartments rural,copper,1975,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,1975,kg/m2,0.31
Japan,resid materials,apartments rural,copper,1975,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,1975,kg/m2,0.31
Middle East,resid materials,apartments rural,copper,1975,kg/m2,0.31
Pakistan,resid materials,apartments rural,copper,1975,kg/m2,0.31
Russia,resid materials,apartments rural,copper,1975,kg/m2,0.31
South Africa,resid materials,apartments rural,copper,1975,kg/m2,0.39
South America_Northern,resid materials,apartments rural,copper,1975,kg/m2,0.31
South America_Southern,resid materials,apartments rural,copper,1975,kg/m2,0.31
South Asia,resid materials,apartments rural,copper,1975,kg/m2,0.31
South Korea,resid materials,apartments rural,copper,1975,kg/m2,0.73
Southeast Asia,resid materials,apartments rural,copper,1975,kg/m2,0.345624905
Taiwan,resid materials,apartments rural,copper,1975,kg/m2,0.25
Argentina,resid materials,apartments rural,copper,1975,kg/m2,0.31
Colombia,resid materials,apartments rural,copper,1975,kg/m2,0.31
USA,resid materials,apartments rural,copper,1990,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,1990,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,1990,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,1990,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,1990,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,1990,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,1990,kg/m2,0.31
Canada,resid materials,apartments rural,copper,1990,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,1990,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,1990,kg/m2,0.308223083
China,resid materials,apartments rural,copper,1990,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,1990,kg/m2,0.309161429
EU-15,resid materials,apartments rural,copper,1990,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,1990,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,1990,kg/m2,0.300411283
European Free Trade Association,resid materials,apartments rural,copper,1990,kg/m2,0.15
India,resid materials,apartments rural,copper,1990,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,1990,kg/m2,0.31
