# File: A54.trn_globaltech_passthru_mineral.csv
# Title: Transportation technology defaults (all parameters; subtype pass-through technologies only; for critical mineral modeling)
# Units: Unitless
# Column types: ccccii
# ----------
supplysector,tranSubsector,technology,minicam.energy.input,coefficient,share.weight
trn_aviation_intl,aviation_intl,aviation_intl_pass,trn_aviation_intl_pass,1,1
trn_shipping_intl,shipping_intl,ship_intl_pass,trn_ship_intl_pass,1,1
trn_freight,fret_dom_ship,fret_dom_ship_pass,trn_dom_ship_pass,1,1
trn_freight,fret_rail,fret_rail_pass,trn_fret_rail_pass,1,1
trn_freight,fret_road,fret_road_pass,trn_fret_road_pass,1,1
trn_fret_road_pass,Light truck,light_truck_bev_pass,trn_fret_road_lt_bev_pass,1,1
trn_fret_road_pass,Medium truck,medium_truck_bev_pass,trn_fret_road_mt_bev_pass,1,1
trn_fret_road_pass,Heavy truck,heavy_truck_bev_pass,trn_fret_road_ht_bev_pass,1,1
trn_passenger,pasg_cycle,pasg_cycle_pass,trn_pasg_cycle_pass,1,1
trn_passenger,pasg_aviation_dom,pasg_aviation_dom_pass,trn_pasg_aviation_dom_pass,1,1
trn_passenger,pasg_hsr,pasg_hsr_pass,trn_pasg_hsr_pass,1,1
trn_passenger,pasg_rail,pasg_rail_pass,trn_pasg_rail_pass,1,1
trn_passenger,pasg_road,pasg_road_pass,trn_pasg_road_pass,1,1
trn_pasg_road_pass,pasg_road_ldv,pasg_road_ldv_pass,trn_pasg_road_ldv_pass,1,1
trn_pasg_road_pass,pasg_road_bus,pasg_road_bus_pass,trn_pasg_road_bus_pass,1,1
trn_pasg_road_bus_pass,Bus,bus_bev_pass,trn_bus_bev_pass,1,1
trn_pasg_road_ldv_pass,pasg_road_ldv_4w,pasg_road_ldv_4w_pass,trn_pasg_road_ldv_4w_pass,1,1
trn_pasg_road_ldv_pass,pasg_road_ldv_2_3W,pasg_road_ldv_2_3W_pass,trn_pasg_road_ldv_2_3W_pass,1,1
trn_pasg_road_ldv_4w_pass,Car,car_bev_pass,trn_pasg_road_ldv_4W_mc_bev_pass,1,1
trn_pasg_road_ldv_4w_pass,Large Car and Truck,large_car_bev_pass,trn_pasg_road_ldv_4W_hc_bev_pass,1,1
trn_pasg_road_ldv_4w_pass,Mini Car,mini_car_bev_pass,trn_pasg_road_ldv_4W_lc_bev_pass,1,1
