# File: A54.trn_globaltranTech_shrwt_mineral.csv
# Title: Transportation technology default shareweights
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro
# Units: Unitless
# Column types: cccnnnnnnnnnc
# ----------
supplysector,tranSubsector,tranTechnology,1971,2010,2015,2020,2025,2030,2050,2075,2100,sce
trn_aviation_intl_pass,International Aviation,Liquids,1,1,1,1,1,1,1,1,1,CORE
trn_aviation_intl_pass,International Aviation,BEV,0,0,0,0,0,0,0,0,0.1,CORE
trn_aviation_intl_pass,International Aviation,Hydrogen,0,0,0,0,0,0,0,0,1,CORE
trn_dom_ship_pass,Domestic Ship,Liquids,1,1,1,1,1,1,1,1,1,CORE
trn_dom_ship_pass,Domestic Ship,BEV,0,0,0,0,0,0,0,1,1,CORE
trn_dom_ship_pass,Domestic Ship,FCEV,0,0,0,0,0,0,0,1,1,CORE
trn_dom_ship_pass,Domestic Ship,Hybrid Liquids,0,0,0,0,0,0,1,1,1,CORE
trn_fret_rail_pass,Freight Rail,Coal,1,1,0,0,0,0,0,0,0,CORE
trn_fret_rail_pass,Freight Rail,Electric,1,1,1,1,1,1,1,1,1,CORE
trn_fret_rail_pass,Freight Rail,Liquids,1,1,1,1,1,1,1,1,1,CORE
trn_fret_rail_pass,Freight Rail,BEV,0,0,0,0,0,0,1,1,1,CORE
trn_fret_rail_pass,Freight Rail,FCEV,0,0,0,0,0,0,1,1,1,CORE
trn_fret_rail_pass,Freight Rail,Hybrid Liquids,0,0,0,0,0,0,1,1,1,CORE
trn_fret_road_pass,Heavy truck,Liquids,1,1,1,1,1,1,1,1,1,CORE
trn_fret_road_pass,Heavy truck,NG,0,0,1,1,1,1,1,1,1,CORE
trn_fret_road_pass,Heavy truck,FCEV,0,0,0,0,0,0,1,1,1,CORE
trn_fret_road_pass,Heavy truck,Hybrid Liquids,0,0,0,0,0,1,1,1,1,CORE
trn_fret_road_pass,Light truck,Liquids,1,1,1,1,1,1,1,1,1,CORE
trn_fret_road_pass,Light truck,NG,0,0,1,1,1,1,1,1,1,CORE
