# File: A54.demand_mineral.csv
# Title: Transportation final demand perCapitaBased / price elasticity / income elasticity
# Units: Unitless
# Column types: cinn 
# ----------
energy.final.demand,perCapitaBased,price.elasticity,income.elasticity
trn_passenger,1,-1.25,1
trn_freight,0,-0.65,0.75
trn_aviation_intl,1,-1,1
trn_shipping_intl,0,-0.65,0.4
