# File: A54.tranSubsector_VOTT_ssp1_mineral.csv
# Title: Transportation default subsector value of time in transit multipliers (VOTT = wage rate * this factor)
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Units: Unitless
# Column types: ccnnnnicn
# ----------
supplysector,tranSubsector,in.vehicle.VOTT,wait.walk.vott,wait.walk.share,time.value.multiplier,addTimeValue,speed.source,fuelprefElasticity
trn_aviation_intl_pass,International Aviation,1.45,0.5,0.415,1.056,1,,0
trn_pasg_cycle_pass,Cycle,0.5,0.5,0,0.5,1,,0
trn_pasg_aviation_dom_pass,Domestic Aviation,1.45,0.5,0.537,0.94,1,,0
trn_pasg_hsr_pass,HSR,0.77,0.5,0.102,0.743,1,,0
trn_pasg_rail_pass,Passenger Rail,0.77,0.5,0.102,0.743,1,,0
trn_passenger,Walk,0.5,0.5,0,0.5,1,,0
trn_pasg_road_bus_pass,Bus,0.77,0.5,0.128,0.736,1,,0
trn_pasg_road_ldv_2_3W_pass,2W and 3W,0.82,0.5,0,0.82,1,,0
trn_pasg_road_ldv_4w_pass,Car,0.82,0.5,0,0.82,0,,0
trn_pasg_road_ldv_4w_pass,Large Car and Truck,0.82,0.5,0,0.82,0,,0.1
trn_pasg_road_ldv_4w_pass,Large Car and Truck,0.82,0.5,0,0.82,0,,0.2
trn_pasg_road_ldv_4w_pass,Mini Car,0.82,0.5,0,0.82,0,,-0.2
trn_pasg_road_ldv_4w_pass,Car,0.82,0.5,0,0.82,0,,-0.1
trn_pasg_road_ldv_4w_pass,Large Car and Truck,0.82,0.5,0,0.82,0,,0
# Pass-through tranSubsectors
trn_passenger,pasg_road,,,,1,0,,0
trn_pasg_road_pass,pasg_road_ldv,,,,1,0,,0
trn_pasg_road_pass,pasg_road_bus,0.77,0.5,0.128,0.736,0,,0
trn_pasg_road_ldv_pass,pasg_road_ldv_4w,0.82,0.5,0,0.82,1,trn_pasg_road_ldv_4w_pass,0
trn_pasg_road_ldv_pass,pasg_road_ldv_2_3W,,,,1,0,,0
