# File: A54.trn_globaltech_mineral_coef_ev_battery.csv
# Title: EV batteryy sector technology mineral use intensity (only the battery part)
# Units: kg/veh for different technologies
# Description: this dataset defines the mineral use intensity for battery of different EV technology (used for battery replacement assumption)
# Comment:
# Column types: ccccnnnnnnnnnnnnn
# ----------
supplysector,subsector,technology,unit,steel,aluminium,copper,silicon,graphite,lithium,cobalt,nickel,manganese,neodymium,tellurium,vanadium,platinum
trn_aviation_intl_pass,International Aviation,Liquids,kg/seat-km travel,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_aviation_intl_pass,International Aviation,BEV,kg/seat-km travel,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_aviation_intl_pass,International Aviation,Hydrogen,kg/seat-km travel,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,BEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,FCEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,Hybrid Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,BEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,FCEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,Hybrid Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,BEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Coal,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Electric,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,FCEV,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Hybrid Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Liquids,kg/ton-km,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Heavy truck,Liquids,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Heavy truck,NG,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Heavy truck,FCEV,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Heavy truck,Hybrid Liquids,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC111),kg/vehicle,0.00E+00,1.01E+03,6.24E+02,0.00E+00,8.00E+02,1.04E+02,3.12E+02,3.12E+02,2.96E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC622),kg/vehicle,0.00E+00,1.01E+03,6.24E+02,0.00E+00,7.84E+02,9.60E+01,1.68E+02,5.12E+02,1.60E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC811),kg/vehicle,0.00E+00,1.01E+03,6.24E+02,0.00E+00,7.76E+02,1.12E+02,8.00E+01,6.24E+02,7.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NCA),kg/vehicle,0.00E+00,1.01E+03,6.17E+02,0.00E+00,7.76E+02,8.00E+01,1.04E+02,5.44E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (LFP),kg/vehicle,6.48E+02,1.25E+03,7.24E+02,0.00E+00,8.72E+02,8.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (Na_ion),kg/vehicle,0.00E+00,1.91E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+02,4.80E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (LFP_si),kg/vehicle,6.48E+02,1.25E+03,7.24E+02,4.00E+01,3.84E+02,8.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC811_si),kg/vehicle,0.00E+00,1.01E+03,6.24E+02,4.00E+01,3.43E+02,1.16E+02,8.00E+01,6.24E+02,7.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (LFP_ssb),kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC811_ssb),kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Medium truck,Liquids,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Medium truck,NG,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Medium truck,FCEV,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Medium truck,Hybrid Liquids,kg/vehicle,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC111),kg/vehicle,0.00E+00,5.67E+02,3.51E+02,0.00E+00,4.50E+02,5.85E+01,1.76E+02,1.76E+02,1.67E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC622),kg/vehicle,0.00E+00,5.67E+02,3.51E+02,0.00E+00,4.41E+02,5.40E+01,9.45E+01,2.88E+02,9.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811),kg/vehicle,0.00E+00,5.67E+02,3.51E+02,0.00E+00,4.37E+02,6.30E+01,4.50E+01,3.51E+02,4.05E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NCA),kg/vehicle,0.00E+00,5.69E+02,3.47E+02,0.00E+00,4.37E+02,4.50E+01,5.85E+01,3.06E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP),kg/vehicle,3.65E+02,7.04E+02,4.07E+02,0.00E+00,4.91E+02,4.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (Na_ion),kg/vehicle,0.00E+00,1.07E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+02,2.70E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP_si),kg/vehicle,3.65E+02,7.04E+02,4.07E+02,2.25E+01,2.16E+02,4.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811_si),kg/vehicle,0.00E+00,5.67E+02,3.51E+02,2.25E+01,1.93E+02,6.50E+01,4.50E+01,3.51E+02,4.05E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
