# File: liquids_mapping.csv
# Title: Mapping from products in IEA energy balances to disaggregated sectors
# Units: NA
# Source: N/A
# Description: The conversion factors convert from the units in IEA Energy Balances (kilotonnes of oil equivalent,Maps IEA sectors to GCAM sector,
# Column types: ccc 
# ----------
sector,gcam_sector_name_old,type
in_bld_comm,refined liquids enduse,refined liquids enduse
in_bld_resid,refined liquids enduse,refined liquids enduse
in_trn_domestic air,refined liquids enduse,refined liquids enduse
in_trn_domestic ship,refined liquids enduse,refined liquids enduse
in_trn_international air,refined liquids enduse,refined liquids enduse
in_trn_international ship,refined liquids enduse,refined liquids enduse
in_trn_rail,refined liquids enduse,refined liquids enduse
in_trn_road,refined liquids enduse,refined liquids enduse
in_trn_unspecified,refined liquids enduse,refined liquids enduse
in_industry_agriculture,refined liquids industrial,refined liquids industrial
in_electricity generation,refined liquids industrial,refined liquids industrial
in_industry_chp,refined liquids industrial,refined liquids industrial
in_industry_energy distribution,refined liquids industrial,refined liquids industrial
in_industry_feedstocks,refined liquids industrial,refined liquids industrial
in_industry_general,refined liquids industrial,refined liquids industrial
in_industry_ownuse,refined liquids industrial,refined liquids industrial
in_industry_pipeline,refined liquids industrial,refined liquids industrial
net_industry_energy_iron and steel,refined liquids industrial,refined liquids industrial
net_industry_energy transformation,refined liquids industrial,refined liquids industrial
net_gas works,refined liquids industrial,refined liquids industrial
in_heat,refined liquids industrial,refined liquids industrial
in_desalination,refined liquids industrial,refined liquids industrial
