# File: A26.subsector_shrwt_cwf_H2_scenarios.csv
# Title: Final energy delivery subsector shareweights for CWF hydrogen scenarios
# Units: N/A
# Description: Shareweights of the distribution of final energy delivery to energy distribution subsectors
# Source: N/A
# Column types: ccccnc
# ----------
supplysector,subsector,year.fillout,year,share.weight,scenario
backup_electricity,gas,start-year,,1,cwf_med_H2
csp_backup,gas,start-year,,1,cwf_med_H2
delivered biomass,delivered biomass,start-year,,1,cwf_med_H2
delivered coal,delivered coal,start-year,,1,cwf_med_H2
electricity_net_ownuse,electricity_net_ownuse,start-year,,1,cwf_med_H2
elect_td_bld,elect_td_bld,start-year,,1,cwf_med_H2
elect_td_ind,elect_td_ind,start-year,,1,cwf_med_H2
elect_td_trn,elect_td_trn,start-year,,1,cwf_med_H2
gas pipeline,gas pipeline,start-year,,1,cwf_med_H2
wholesale gas,wholesale gas,start-year,,1,cwf_med_H2
delivered gas,delivered gas,start-year,,1,cwf_med_H2
refined liquids enduse,refined liquids enduse,start-year,,1,cwf_med_H2
refined liquids industrial,refined liquids industrial,start-year,,1,cwf_med_H2
backup_electricity,hydrogen,start-year,,1,cwf_med_H2
backup_electricity,gas,start-year,,1,cwf_low_H2
csp_backup,gas,start-year,,1,cwf_low_H2
delivered biomass,delivered biomass,start-year,,1,cwf_low_H2
delivered coal,delivered coal,start-year,,1,cwf_low_H2
electricity_net_ownuse,electricity_net_ownuse,start-year,,1,cwf_low_H2
elect_td_bld,elect_td_bld,start-year,,1,cwf_low_H2
elect_td_ind,elect_td_ind,start-year,,1,cwf_low_H2
elect_td_trn,elect_td_trn,start-year,,1,cwf_low_H2
gas pipeline,gas pipeline,start-year,,1,cwf_low_H2
wholesale gas,wholesale gas,start-year,,1,cwf_low_H2
delivered gas,delivered gas,start-year,,1,cwf_low_H2
refined liquids enduse,refined liquids enduse,start-year,,1,cwf_low_H2
refined liquids industrial,refined liquids industrial,start-year,,1,cwf_low_H2
backup_electricity,hydrogen,start-year,,0.5,cwf_low_H2
backup_electricity,gas,start-year,,1,cwf_high_H2
csp_backup,gas,start-year,,1,cwf_high_H2
delivered biomass,delivered biomass,start-year,,1,cwf_high_H2
delivered coal,delivered coal,start-year,,1,cwf_high_H2
electricity_net_ownuse,electricity_net_ownuse,start-year,,1,cwf_high_H2
elect_td_bld,elect_td_bld,start-year,,1,cwf_high_H2
elect_td_ind,elect_td_ind,start-year,,1,cwf_high_H2
elect_td_trn,elect_td_trn,start-year,,1,cwf_high_H2
gas pipeline,gas pipeline,start-year,,1,cwf_high_H2
wholesale gas,wholesale gas,start-year,,1,cwf_high_H2
delivered gas,delivered gas,start-year,,1,cwf_high_H2
refined liquids enduse,refined liquids enduse,start-year,,1,cwf_high_H2
refined liquids industrial,refined liquids industrial,start-year,,1,cwf_high_H2
backup_electricity,hydrogen,start-year,,2,cwf_high_H2
