# File: cement_prod.csv
# Title: Cement production by region and tech
# Units: Thousand tonnes
# Description: Regional cement production
"# Source: R. M. Andrew, ESSD 2019"
# Column types: iinnnc
# ----------
region,year,SCM_LS,SCM_FA,SCM_GBFS,unit_prod
1,1971,0,0,0,tons
2,1971,0,0,0,tons
3,1971,0,0,0,tons
4,1971,0,0,0,tons
5,1971,0,0,0,tons
6,1971,0,0,0,tons
7,1971,0,0,0,tons
8,1971,0,0,0,tons
9,1971,0,0,0,tons
10,1971,0,0,0,tons
11,1971,0,0,0,tons
12,1971,0,0,0,tons
13,1971,0,0,0,tons
14,1971,0,0,0,tons
15,1971,0,0,0,tons
16,1971,0,0,0,tons
17,1971,0,0,0,tons
18,1971,0,0,0,tons
19,1971,0,0,0,tons
20,1971,0,0,0,tons
21,1971,0,0,0,tons
22,1971,0,0,0,tons
23,1971,0,0,0,tons
24,1971,0,0,0,tons
25,1971,0,0,0,tons
26,1971,0,0,0,tons
27,1971,0,0,0,tons
28,1971,0,0,0,tons
29,1971,0,0,0,tons
30,1971,0,0,0,tons
31,1971,0,0,0,tons
32,1971,0,0,0,tons
1,1972,1279.112642,616.2997276,861.656789,tons
2,1972,0,0,0,tons
3,1972,0,0,0,tons
4,1972,0,0,0,tons
5,1972,0,0,0,tons
6,1972,0,0,0,tons
7,1972,0,0,0,tons
8,1972,0,0,0,tons
9,1972,0,0,0,tons
10,1972,0,0,0,tons
11,1972,0,0,0,tons
12,1972,0,0,0,tons
13,1972,0,0,0,tons
14,1972,0,0,0,tons
15,1972,0,0,0,tons
16,1972,0,0,0,tons
17,1972,0,0,0,tons
18,1972,0,0,0,tons
19,1972,0,0,0,tons
20,1972,0,0,0,tons
21,1972,0,0,0,tons
22,1972,0,0,0,tons
23,1972,0,0,0,tons
24,1972,0,0,0,tons
25,1972,0,0,0,tons
26,1972,0,0,0,tons
27,1972,0,0,0,tons
28,1972,0,0,0,tons
29,1972,0,0,0,tons
30,1972,0,0,0,tons
31,1972,0,0,0,tons
32,1972,0,0,0,tons
1,1973,5297.056884,2552.218317,3568.290137,tons
2,1973,0,0,0,tons
3,1973,0,0,0,tons
4,1973,0,0,0,tons
5,1973,0,0,0,tons
6,1973,0,0,0,tons
7,1973,0,0,0,tons
8,1973,0,0,0,tons
9,1973,0,0,0,tons
10,1973,0,0,0,tons
11,1973,0,0,0,tons
12,1973,0,0,0,tons
13,1973,0,0,0,tons
14,1973,0,0,0,tons
15,1973,0,0,0,tons
16,1973,0,0,0,tons
17,1973,0,0,0,tons
18,1973,0,0,0,tons
19,1973,0,0,0,tons
20,1973,0,0,0,tons
21,1973,0,0,0,tons
22,1973,0,0,0,tons
23,1973,0,0,0,tons
24,1973,0,0,0,tons
25,1973,0,0,0,tons
26,1973,0,0,0,tons
