# File: A321.sector.csv
# Title: Cement default supplysector information (units and logit exponents)
# Units: Units-in-table
# Column types: ccccicc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
clinker,Mt,Mt,1975$/kg,-3,industry,
cement,Mt,Mt,1975$/kg,-3,industry,
process heat cement,EJ,EJ,1975$/GJ,-3,industry,
process heat cement ccs,EJ,EJ,1975$/GJ,-3,industry,
calcined clay,Mt,Mt,1975$/kg,-3,industry,
