# File: MMRV_cost_regionalised_low.csv
# Title: MMRV Costs for ERW and Biochar (regional)
# Units: 1975$/kgC
# Source: ILOSAT Labour Wage data, WorldBank Data Logistics Performance Index,ITU data, OECD data
# Comments: Costs are scaled from the UK source value corresponding to the regional labour wage, logistics performance index, price level index, ICT development index, Environmental Regulation Stringency index, and weighted appropriately for ERW and biochar, Regions are aggregated as per R10 grouping.
# Column types: cccccn
# ----------
region,supplysector,subsector,stub.technology,minicam.non.energy.input,input.cost,
Africa_Eastern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005616427,
Africa_Northern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005616427,
Africa_Southern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005616427,
Africa_Western,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005616427,
South Africa,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005616427,
China,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003962914,
Taiwan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003962914,
EU-12,CO2 removal,rock weathering,rock weathering,MMRV cost,0.014366439,
EU-15,CO2 removal,rock weathering,rock weathering,MMRV cost,0.014366439,
Europe_Non_EU,CO2 removal,rock weathering,rock weathering,MMRV cost,0.014366439,
European Free Trade Association,CO2 removal,rock weathering,rock weathering,MMRV cost,0.014366439,
India,CO2 removal,rock weathering,rock weathering,MMRV cost,0.004127864,
Argentina,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
Brazil,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
Central America and Caribbean,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
Colombia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
Mexico,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
South America_Northern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
South America_Southern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.005973149,
Middle East,CO2 removal,rock weathering,rock weathering,MMRV cost,0.012932247,
Canada,CO2 removal,rock weathering,rock weathering,MMRV cost,0.018615954,
USA,CO2 removal,rock weathering,rock weathering,MMRV cost,0.018615954,
Australia_NZ,CO2 removal,rock weathering,rock weathering,MMRV cost,0.017417643,
Japan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.017417643,
South Korea,CO2 removal,rock weathering,rock weathering,MMRV cost,0.017417643,
Europe_Eastern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.007274504,
Russia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.007274504,
Central Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003790461,
Indonesia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003790461,
Pakistan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003790461,
South Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003790461,
Southeast Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.003790461,
Africa_Eastern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001958103,
Africa_Northern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001958103,
Africa_Southern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001958103,
Africa_Western,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001958103,
South Africa,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001958103,
China,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001603705,
Taiwan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001603705,
EU-12,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.0037949,
EU-15,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.0037949,
Europe_Non_EU,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.0037949,
European Free Trade Association,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.0037949,
India,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001649527,
Argentina,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
Brazil,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
Central America and Caribbean,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
Colombia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
Mexico,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
South America_Northern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
South America_Southern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002110131,
Middle East,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.003555878,
Canada,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.004111051,
USA,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.004111051,
Australia_NZ,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.003991431,
Japan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.003991431,
South Korea,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.003991431,
Europe_Eastern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002381103,
Russia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.002381103,
Central Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001599625,
Indonesia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001599625,
Pakistan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001599625,
South Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001599625,
Southeast Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.001599625,
