# File: A26.globaltech_shrwt.csv
# Title: Final energy transformation default technology shareweights
# Units: NA
# Description: Default shareweights for final energy transformation technologies, used to interpolate shareweights for all model years.
# Source: NA
# Column types: ccciiii 
# ----------
supplysector,subsector,technology,1971,final-calibration-year,initial-future-year,2100
backup_electricity,gas,gas (steam/CT),1,1,1,1
csp_backup,gas,CSP gas hybrid mode,1,1,1,1
delivered biomass,delivered biomass,delivered biomass,1,1,1,1
delivered coal,delivered coal,delivered coal,1,1,1,1
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1,1,1,1
elect_td_bld,elect_td_bld,elect_td_bld,1,1,1,1
elect_td_ind,elect_td_ind,elect_td_ind,1,1,1,1
elect_td_trn,elect_td_trn,elect_td_trn,1,1,1,1
gas pipeline,gas pipeline,gas pipeline,1,1,1,1
wholesale gas,wholesale gas,wholesale gas,1,1,1,1
delivered gas,delivered gas,delivered gas,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids gasoline,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids distillate_fueloil,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids residual_fueloil,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids lpg,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids petcoke,1,1,0,0
refined liquids enduse,refined liquids enduse,refined liquids jet_kerosene,1,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids other,1,1,0,0
refined liquids enduse,refined liquids enduse,refined liquids feedstock,1,1,0,0
refined liquids industrial,refined liquids industrial,refined liquids gasoline,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids distillate_fueloil,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids residual_fueloil,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids lpg,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids petcoke,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids jet_kerosene,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids other,1,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids feedstock,1,1,1,1
backup_electricity,hydrogen,hydrogen combustion turbine,0,0,1,1
refined liquids aviation,refined liquids aviation,refined liquids gasoline,1,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids distillate_fueloil,1,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids residual_fueloil,1,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids lpg,1,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids petcoke,1,1,0,0
refined liquids aviation,refined liquids aviation,refined liquids jet_kerosene,1,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids other,1,1,0,0
refined liquids aviation,refined liquids aviation,refined liquids feedstock,1,1,0,0
refined liquids shipping,refined liquids shipping,refined liquids gasoline,1,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids distillate_fueloil,1,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids residual_fueloil,1,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids lpg,1,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids petcoke,1,1,0,0
refined liquids shipping,refined liquids shipping,refined liquids jet_kerosene,1,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids other,1,1,0,0
refined liquids shipping,refined liquids shipping,refined liquids feedstock,1,1,0,0
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids gasoline,1,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids distillate_fueloil,1,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids residual_fueloil,1,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids lpg,1,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids petcoke,1,1,0,0
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids jet_kerosene,1,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids other,1,1,0,0
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids feedstock,1,1,0,0
refined liquids buildings,refined liquids buildings,refined liquids gasoline,1,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids distillate_fueloil,1,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids residual_fueloil,1,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids lpg,1,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids petcoke,1,1,0,0
refined liquids buildings,refined liquids buildings,refined liquids jet_kerosene,1,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids other,1,1,0,0
refined liquids buildings,refined liquids buildings,refined liquids feedstock,1,1,0,0
