# File: A23.globaltech_capital.csv
# Title: Electricity technology capital costs
# Units: 1975$/kW
# Source: ATB temp update
# Future improvement is based on the maximum % reduction that the literature deems likely and a rate corresponding to the maturity level of the technology
# Note that some technologies are the same as another with additional equipment (i.e. CCS) for those technologies the improvement is on the additional equipment
# Capital cost of gas CT is derived from AEO report Table 3 (https://www.eia.gov/outlooks/aeo/assumptions/pdf/electricity.pdf)
# Column types: ccccnnnnnnnnc
# ----------
supplysector,subsector,technology,input.capital,fixed.charge.rate,1971,1990,2005,2010,2015,improvement.max,improvement.rate,improvement.shadow.technology
electricity,biomass,biomass (conv CCS),capital,0.13,2050.968288,2050.968288,2050.968288,2050.968288,2050.968288,0.55,0.02,
electricity,biomass,biomass (conv),capital,0.13,1065.438072,1065.438072,1065.438072,1065.438072,1065.438072,0.77,0.02,
electricity,biomass,biomass (IGCC CCS),capital,0.13,2357.281733,2357.281733,2357.281733,2357.281733,2357.281733,0.46,0.02,
electricity,biomass,biomass (IGCC),capital,0.13,1598.157107,1598.157107,1598.157107,1598.157107,1598.157107,0.58,0.02,
electricity,coal,coal (conv pul CCS),capital,0.13,1553.253041,1553.253041,1553.253041,1553.253041,1553.253041,0.7,0.01,
electricity,coal,coal (conv pul),capital,0.13,1014.689349,1014.689349,1014.689349,1014.689349,1014.689349,0.84,0.02,
electricity,coal,coal (IGCC CCS),capital,0.13,1796.547549,1796.547549,1796.547549,1796.547549,1796.547549,0.64,0.03,
electricity,coal,coal (IGCC),capital,0.13,1088.816697,1088.816697,1088.816697,1088.816697,1088.816697,0.76,0.03,
electricity,solar,CSP,capital,0.13,1362.175547,1362.175547,1362.175547,1362.175547,1362.175547,0.37,0.08,
electricity,solar,CSP_storage,capital,0.13,2270.292578,2270.292578,2270.292578,2270.292578,2270.292578,0.37,0.07,
electricity,gas,gas (CC CCS),capital,0.13,601.2868325,601.2868325,601.2868325,601.2868325,601.2868325,0.71,0.03,
electricity,gas,gas (CC),capital,0.13,287.9562356,287.9562356,287.9562356,287.9562356,287.9562356,0.74,0.08,
electricity,gas,gas (steam/CT),capital,0.13,246.33,246.33,246.33,246.33,246.33,0.86,0.05,
electricity,nuclear,Gen_II_LWR,capital,0.13,1650,1650,1650,1650,1704.048567,1,0,
electricity,nuclear,Gen_III,capital,0.13,1704.643894,1704.643894,1704.643894,1704.643894,1704.643894,0.64,0.01,
electricity,geothermal,geothermal,capital,0.13,1335.147575,1335.147575,1335.147575,1335.147575,1335.147575,0.66,0.04,
electricity,solar,PV,capital,0.13,666.5439878,666.5439878,666.5439878,666.5439878,666.5439878,0.31,0.1,
electricity,solar,PV_storage,capital,0.13,2306.060444,2306.060444,2306.060444,2306.060444,2306.060444,0.25,0.06,
electricity,refined liquids,refined liquids (CC CCS),capital,0.13,715.6160189,715.6160189,715.6160189,715.6160189,715.6160189,0.68,0.03,
electricity,refined liquids,refined liquids (CC),capital,0.13,287.9562356,287.9562356,287.9562356,287.9562356,287.9562356,0.74,0.08,
electricity,refined liquids,refined liquids (steam/CT),capital,0.13,246.33,246.33,246.33,246.33,246.33,0.86,0.05,
elect_td_bld,rooftop_pv,rooftop_pv,capital,0.1,1082.631055,1082.631055,1082.631055,1082.631055,1082.631055,0.28,0.1,
electricity,wind,wind,capital,0.13,451.0364007,451.0364007,451.0364007,451.0364007,451.0364007,0.56,0.05,
electricity,wind,wind_offshore,capital,0.13,1117.61232,1117.61232,1117.61232,1117.61232,1117.61232,0.19,0.05,wind
electricity,wind,wind_storage,capital,0.13,2090.552857,2090.552857,2090.552857,2090.552857,2090.552857,0.29,0.05,
