# File: GiddenEtAl_2025_PrudentStorage_SI.csv
# Title: Carbon storage reservoirs by country ISO code for onshore and offshore
# Source: Gidden et al 2025
# Units: Mt CO2
# Column types: ccnnn
# ----------
iso,storage_type,technical_potential,prudent_potential,current_oil_and_gas_potential
afg,Offshore,0.0,0.0,0.0
afg,Onshore,10124.38068,145.484074,114.947371184826
bgd,Offshore,54579.05343,2801.692214,101.852372288704
bgd,Onshore,32287.835549999996,7.887877999999999,0.0
brn,Offshore,5176.487764,387.121383,305.65488897264
brn,Onshore,1025.82581,92.025761,91.722324490547
btn,Offshore,0.0,0.0,0.0
btn,Onshore,100.628603,0.0,0.0
chn,Offshore,72734.19731,20020.426069999998,2907.23493695259
chn,Onshore,283175.8896,37040.5631,3534.74044054746
fji,Offshore,99.55059,0.0,0.0
fji,Onshore,38.01457,0.0,0.0
fsm,Offshore,0.0,0.0,0.0
fsm,Onshore,0.0,0.0,0.0
hkg,Offshore,0.0,0.0,0.0
hkg,Onshore,0.0,0.0,0.0
idn,Offshore,218392.7092,31381.16646,8213.85520498734
idn,Onshore,65129.11708999999,6921.878728000001,604.889184236526
ind,Offshore,264850.89269999997,9381.733656,1654.47772294282
ind,Onshore,60649.834409999996,1272.007901,0.0
khm,Offshore,3779.982843,1899.4176679999998,608.784452080727
khm,Onshore,983.718385,8.969077,0.0
kor,Offshore,19962.90718,2305.1154579999998,0.0
kor,Onshore,53.12545,0.0,0.0
lao,Offshore,0.0,0.0,0.0
lao,Onshore,1649.4880970000002,111.48299300000001,0.0
lka,Offshore,62877.34436,498.446468,0.0
lka,Onshore,269.026725,45.676135,0.0
mac,Offshore,0.0,0.0,0.0
mac,Onshore,0.0,0.0,0.0
mdv,Offshore,0.0,0.0,0.0
mdv,Onshore,0.0,0.0,0.0
mmr,Offshore,77162.34068,7101.774583,1358.51340740919
mmr,Onshore,40537.700379999995,12.944584,0.0
mng,Offshore,0.0,0.0,0.0
mng,Onshore,3231.183151,138.487116,0.0
mys,Offshore,55288.913819999994,11210.63075,7725.04335164558
mys,Onshore,4088.4005180000004,614.3304539999999,43.925598263740994
ncl,Offshore,0.0,0.0,0.0
ncl,Onshore,101.68295400000001,7.014266,0.0
npl,Offshore,0.0,0.0,0.0
npl,Onshore,4896.389105,0.0,0.0
pak,Offshore,19311.07492,1954.750559,0.0
pak,Onshore,51853.12798,120.969222,0.0
