# File: A221.stubtech_margin.csv
# Title: Regional cost adjustments for refining subsectors in history
# Units: 1975$/GJ
# Description: Cost adjustments by refining subsector in history for each GCAM region. Global costs are based on USA 
# NEMS assumptions and will not be reflective of every region. These adjustments allow each region's refining sector to
# have a profit rate of 1 in history based on price estimates from A221.rsrc_info.csv.
# Source: NEMS costs, SEDS prices, and GCAM version 8 baseline commodity prices.
# Column types: ciccn
# ----------
region,year,subsector,technology,cost.adj
EU-15,1990,biorefining,biodiesel,7.68487
South America_Southern,1990,biorefining,corn ethanol,8.488801
Brazil,1990,biorefining,sugar cane ethanol,14.03847
Central America and Caribbean,1990,biorefining,sugar cane ethanol,9.02921
China,2005,biorefining,biodiesel,-2.049487
EU-12,2005,biorefining,biodiesel,0.913941
EU-15,2005,biorefining,biodiesel,-0.617825
European Free Trade Association,2005,biorefining,biodiesel,-0.051876
South Korea,2005,biorefining,biodiesel,-4.390065
USA,2005,biorefining,biodiesel,0.992624
Australia_NZ,2005,biorefining,corn ethanol,-0.972628
Canada,2005,biorefining,corn ethanol,1.060701
China,2005,biorefining,corn ethanol,-2.049487
EU-12,2005,biorefining,corn ethanol,0.913941
EU-15,2005,biorefining,corn ethanol,-0.617825
European Free Trade Association,2005,biorefining,corn ethanol,-0.051876
India,2005,biorefining,corn ethanol,2.755171
South America_Southern,2005,biorefining,corn ethanol,0.085158
USA,2005,biorefining,corn ethanol,0.992624
Brazil,2005,biorefining,sugar cane ethanol,2.68833
Central America and Caribbean,2005,biorefining,sugar cane ethanol,-2.30518
Colombia,2005,biorefining,sugar cane ethanol,-8.5921
EU-12,2005,biorefining,sugar cane ethanol,0.913941
EU-15,2005,biorefining,sugar cane ethanol,-0.617825
Southeast Asia,2005,biorefining,sugar cane ethanol,-0.00054
Argentina,2010,biorefining,biodiesel,-2.403101
Australia_NZ,2010,biorefining,biodiesel,0.463578
Brazil,2010,biorefining,biodiesel,2.834119
Canada,2010,biorefining,biodiesel,1.459722
Central America and Caribbean,2010,biorefining,biodiesel,-1.170566
China,2010,biorefining,biodiesel,-1.570043
Colombia,2010,biorefining,biodiesel,-1.576257
EU-12,2010,biorefining,biodiesel,1.171827
EU-15,2010,biorefining,biodiesel,-0.528731
Europe_Non_EU,2010,biorefining,biodiesel,0.707603
European Free Trade Association,2010,biorefining,biodiesel,1.526723
India,2010,biorefining,biodiesel,3.189166
Indonesia,2010,biorefining,biodiesel,4.171952
Japan,2010,biorefining,biodiesel,1.033776
South America_Southern,2010,biorefining,biodiesel,1.033457
South Korea,2010,biorefining,biodiesel,-4.632677
Southeast Asia,2010,biorefining,biodiesel,1.45085
USA,2010,biorefining,biodiesel,1.406763
Africa_Eastern,2010,biorefining,corn ethanol,-0.697439
Argentina,2010,biorefining,corn ethanol,-2.403101
Australia_NZ,2010,biorefining,corn ethanol,0.463578
Canada,2010,biorefining,corn ethanol,1.459722
China,2010,biorefining,corn ethanol,-1.570043
EU-12,2010,biorefining,corn ethanol,1.171827
EU-15,2010,biorefining,corn ethanol,-0.528731
European Free Trade Association,2010,biorefining,corn ethanol,1.526723
India,2010,biorefining,corn ethanol,3.189166
Japan,2010,biorefining,corn ethanol,1.033776
South America_Southern,2010,biorefining,corn ethanol,1.033457
USA,2010,biorefining,corn ethanol,1.406763
Brazil,2010,biorefining,sugar cane ethanol,2.834119
Central America and Caribbean,2010,biorefining,sugar cane ethanol,-1.170566
Colombia,2010,biorefining,sugar cane ethanol,-1.576257
EU-12,2010,biorefining,sugar cane ethanol,1.171827
EU-15,2010,biorefining,sugar cane ethanol,-0.528731
Southeast Asia,2010,biorefining,sugar cane ethanol,1.45085
Taiwan,2010,biorefining,sugar cane ethanol,-4.8956
Argentina,2015,biorefining,biodiesel,-3.154412
Australia_NZ,2015,biorefining,biodiesel,-0.358259
Brazil,2015,biorefining,biodiesel,1.014469
Canada,2015,biorefining,biodiesel,0.164101
China,2015,biorefining,biodiesel,-2.267185
Colombia,2015,biorefining,biodiesel,-2.331902
EU-12,2015,biorefining,biodiesel,0.243933
EU-15,2015,biorefining,biodiesel,-1.405907
Europe_Non_EU,2015,biorefining,biodiesel,0.067393
European Free Trade Association,2015,biorefining,biodiesel,0.718275
India,2015,biorefining,biodiesel,1.695297
Indonesia,2015,biorefining,biodiesel,3.400396
Japan,2015,biorefining,biodiesel,-0.3452
South America_Southern,2015,biorefining,biodiesel,0.176008
South Korea,2015,biorefining,biodiesel,-3.95764
Southeast Asia,2015,biorefining,biodiesel,0.256274
USA,2015,biorefining,biodiesel,-0.338983
Africa_Eastern,2015,biorefining,corn ethanol,-2.558023
Africa_Northern,2015,biorefining,corn ethanol,-0.480504
Africa_Southern,2015,biorefining,corn ethanol,-0.250149
Africa_Western,2015,biorefining,corn ethanol,-0.835655
Argentina,2015,biorefining,corn ethanol,-3.154412
Australia_NZ,2015,biorefining,corn ethanol,-0.358259
Canada,2015,biorefining,corn ethanol,0.164101
China,2015,biorefining,corn ethanol,-2.267185
EU-12,2015,biorefining,corn ethanol,0.243933
EU-15,2015,biorefining,corn ethanol,-1.405907
Europe_Non_EU,2015,biorefining,corn ethanol,0.067393
European Free Trade Association,2015,biorefining,corn ethanol,0.718275
India,2015,biorefining,corn ethanol,1.695297
Japan,2015,biorefining,corn ethanol,-0.3452
South America_Southern,2015,biorefining,corn ethanol,0.176008
USA,2015,biorefining,corn ethanol,-0.338983
Ukraine,2015,biorefining,corn ethanol,-0.386713
Brazil,2015,biorefining,sugar cane ethanol,1.014469
Central America and Caribbean,2015,biorefining,sugar cane ethanol,-3.16522
Colombia,2015,biorefining,sugar cane ethanol,-2.331902
EU-12,2015,biorefining,sugar cane ethanol,0.243933
EU-15,2015,biorefining,sugar cane ethanol,-1.405907
Europe_Non_EU,2015,biorefining,sugar cane ethanol,0.067393
Southeast Asia,2015,biorefining,sugar cane ethanol,0.256274
Taiwan,2015,biorefining,sugar cane ethanol,-5.7798
Argentina,2021,biorefining,biodiesel,-3.041741
Australia_NZ,2021,biorefining,biodiesel,-1.3458
Brazil,2021,biorefining,biodiesel,-0.349824
Canada,2021,biorefining,biodiesel,-0.179478
China,2021,biorefining,biodiesel,-2.255171
Colombia,2021,biorefining,biodiesel,-2.667173
EU-12,2021,biorefining,biodiesel,-0.684419
EU-15,2021,biorefining,biodiesel,-2.36611
Europe_Non_EU,2021,biorefining,biodiesel,-0.93877
European Free Trade Association,2021,biorefining,biodiesel,-0.482745
India,2021,biorefining,biodiesel,1.136534
Indonesia,2021,biorefining,biodiesel,2.116009
Japan,2021,biorefining,biodiesel,-0.517919
South America_Southern,2021,biorefining,biodiesel,-0.831993
South Korea,2021,biorefining,biodiesel,-4.942642
