# File: IEA_CCUS_Projects_Database_2023.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2023
# Column types: cccciiiicnnnccc
# ----------
Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies",Capture,2019,,2025,,Planned,1,1,1,Iron and steel,Unknown/unspecified,
8Rivers H2 (8RH2) (WY),United States,"8Rivers, Wyoming Energy Authority",Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Abu Dhabi CCS Phase 1: Emirates Steel Industries,United Arab Emirates,"ADNOC, Masdar",Full chain,2007,2012,2016,,Operational,1,0.8,0.8,Iron and steel,EOR,
Abu Dhabi CCS Phase 2: Habshan and Bab gas plant,United Arab Emirates,ADNOC,Full chain,2020,,2030,,Planned,2,1.9,1.9,Natural gas processing,EOR,
Abu Dhabi CCS Phase 2: Shah gas plant,United Arab Emirates,ADNOC,Full chain,2020,,2030,,Planned,2,2.3,2.3,Natural gas processing,EOR,
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,"Storegga (30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,2016,2023,2024,,Planned,,0.3,0.3,Natural gas processing,Dedicated storage,Acorn CCS
Acorn CCS phase 1-T&S,United Kingdom,"Storegga (30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2016,2023,2024,,Planned,1,0.3,0.8,CO2 T&S,Dedicated storage,Acorn CCS
Acorn CCS phase 2,United Kingdom,"Storegga (30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2017,,,,Planned,2,5,5,CO2 T&S,Dedicated storage,Acorn CCS
Acorn H2,United Kingdom,"Storegga, Chrysaor, Shell and Total",Capture,2018,,2025,,Planned,,0.4,0.4,Hydrogen/ammonia,Dedicated storage,Acorn CCS
Adbri Calix new Lime plant Kwinana,Australia,"Adbri, Calix, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project
ADM & Wolf Carbon Solutions pipeline (IA),United States,"ADM, Wolf Carbon Solutions (Wolf Midstream)",Transport,2022,,,,Planned,,12,12,CO2 transport,,ADM & Wolf Carbon Solutions pipeline
ADM Cedar rapids bioethanol (IA),United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
ADM Clinton bioethanol (IA),United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),United States,Phillips 66,Capture,2021,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
Aemetis CCS Keyes facility (CA),United States,Aemetis,Full chain,2021,,2024,,Planned,,0.4,0.4,Biofuels,Dedicated storage,Aemetis CCS
Aemetis CCS Riverbank facility (CA),United States,Aemetis,Full chain,2021,,2024,,Planned,,,,Biofuels,Dedicated storage,Aemetis CCS
Air Liquide Botlek Rotterdam refinery,Netherlands,Air Liquide,Capture,2012,2023,2024,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos
Air Liquide Total Energies Grandpuits biorefinery,France,"Air Liquide, Total Energies",CCU,2022,,,,Planned,,0.11,0.11,Other fuel transformation,Use,
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,"AirCapture, Nutrien",CCU,2022,,,,Planned,,,,Direct Air Capture,Use,
AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,"Southern Company, Battelle, AirCapture LLC",Capture,2022,,,,Planned,,,,Direct Air Capture,Dedicated storage,
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,,,,Planned,,10,10,CO2 T&S,Dedicated storage,Alberta Carbon Grid (ALB)
Alberta Carbon Grid (ALB) phase 2,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,,,,Planned,,10,10,CO2 T&S,Unknown/unspecified,Alberta Carbon Grid (ALB)
Alberta Carbon Trunk Line (ACTL) (ALB),Canada,"Wolf Carbon Solutions (Wolf Midstream), Enhance energy",Transport,2011,2014,2020,,Operational,,14.6,14.6,CO2 transport,,Alberta Carbon Trunk Line (ACTL)
Altera Stella Maris CCS Project,Norway,"Altera, Hoegh LNG, Sevan SSP (FEED)",T&S,2020,,,,Planned,,10,10,CO2 T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne 
Aluminium Bahrain MHI capture,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,
ANRAV-CCUS (Heidelberg Materials Devnya plant),Bulgaria,Heidelberg Materials,Full chain,2022,,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,
Antwerp@C CO2 Export Hub phase 1,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",Transport,2019,2023,2027,,Planned,1,2.5,2.5,CO2 transport,,Antwerp@C
Antwerp@C CO2 Export Hub phase 2,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",Transport,2019,2023,2030,,Planned,2,7.5,7.5,CO2 transport,,Antwerp@C
Aramis CCS phase 1,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",T&S,2019,2025,2027,,Planned,1,5,5,CO2 T&S,Dedicated storage,Aramis CCS
Aramis CCS phase 2,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",T&S,2019,,,,Planned,2,3,3,CO2 T&S,Dedicated storage,Aramis CCS
