# File: EIA_FRS_Opex.csv
# Title: Operational expenditures from EIA Financial Reporting System surveys
# Units: nominal million USD
# Source: EIA FRS Form EIA-28 Schedule 5211
# Comments: 
# 
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
descriptor,schedule/element,name,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Raw Materials Input to Refining,5211/0600B,Feeds,60670.176,65087.511,89622.19,130683.993,143684.454,123813.707,110221.237,113136.937,103919.203,60076.426,71885,60961,71314,83427,72522,69115,60989,59336,64086,75892,64132,62955,85270,139931,114400,121192,146446,200952,274749,323757,346464,489984,309878
Less: Raw Material Used as Refinery Fuel,5211/0700B,Feed_to_Fuel,3136.818,3632.076,4178.387,5728.629,7205.541,7055.968,6734.145,6664.351,6339.518,4642.188,3859,3733,3907,3900,3591,3392,3592,2933,2588,3922,3798,3598,4254,6910,7132,7954,8502,8141,10020,10111,9858,13456,6385
Refinery Process Energy Expense,5211/0800B,Ref_Fuel,4190.137,4818.085,5703.342,8161.304,9331.977,8936.009,8837.178,8664.115,7611.026,6187.088,5437,5477,5228,5461,5544,5363,5636,4702,4101,5480,5005,5349,6427,10838,11321,9178,11415,11964,14862,13555,14139,18554,9916
Other Refining Operating Expenses,5211/0900B,Other_Op,4588.807,4650.277,5466.265,6885.547,7362.161,8274.454,7115.18,7818.71,8372.349,7708.735,8220,8850,8594,9839,9912,9943,9803,9658,9551,10631,9173,12984,12928,13675,14657,17459,16143,16179,18041,20207,22898,31027,26102
Refined Product Purchases (5212/08/B),5211/1000B,Products_Purchase,9145.908,10346.307,19009.653,19596.873,18935.802,18331.967,20175.923,20237.602,20438.015,16664.479,21896,20463,24385,31430,26980,27672,26927,27445,31018,37958,37319,43609,63491,117640,114827,103489,114027,151772,197570,204361,203526,251117,164889
Other Refined Product Supply Expenses,5211/1100B,Other_Supply,1979.931,2778.338,2158.757,2786.066,2801.755,3237.207,3244.254,2160.14,3236.636,4431.75,3659,4265,3296,4582,4097,3739,4153,3432,3432,4072,3777,5160,4915,6655,6552,12562,9792,6096,7975,10182,8379,13120,11035
