# File: A999.calibration.csv
# Title: Calibration values for climate engineering services sector
# Units: MtC
# Column types: icin
# ----------
GCAM_region_ID,sector,year,value
1,CO2 removal,2015,2000
2,CO2 removal,2015,2000
3,CO2 removal,2015,2000
4,CO2 removal,2015,2000
5,CO2 removal,2015,2000
6,CO2 removal,2015,2000
7,CO2 removal,2015,2000
8,CO2 removal,2015,2000
9,CO2 removal,2015,2000
10,CO2 removal,2015,2000
11,CO2 removal,2015,2000
12,CO2 removal,2015,2000
13,CO2 removal,2015,2000
14,CO2 removal,2015,2000
15,CO2 removal,2015,2000
16,CO2 removal,2015,2000
17,CO2 removal,2015,2000
18,CO2 removal,2015,2000
19,CO2 removal,2015,2000
20,CO2 removal,2015,2000
21,CO2 removal,2015,2000
22,CO2 removal,2015,2000
23,CO2 removal,2015,2000
24,CO2 removal,2015,2000
25,CO2 removal,2015,2000
26,CO2 removal,2015,2000
27,CO2 removal,2015,2000
28,CO2 removal,2015,2000
29,CO2 removal,2015,2000
30,CO2 removal,2015,2000
31,CO2 removal,2015,2000
32,CO2 removal,2015,2000
