# File: A221.subsector_logit.csv
# Title: Primary energy transformation subsector logit exponents
# Units: NA
# Description: logit exponents and types for subsectors in energy transformation
# Column types: cciic 
# ----------
supplysector,subsector,logit.exponent,traded,logit.type
refining,crude oil refining,-6,0,
refining,biorefining,-6,0,
refining,ctl,-6,0,
refining,gtl,-6,0,
Distillate_FuelOil,Distillate_FuelOil,-12,0,absolute-cost-logit
Residual_FuelOil,Residual_FuelOil,-12,0,absolute-cost-logit
Gasoline,Gasoline,-12,0,absolute-cost-logit
LPG,LPG,-12,0,absolute-cost-logit
Heavy_Residual,Heavy_Residual,-12,0,absolute-cost-logit
Jet_Kerosene,Jet_Kerosene,-12,0,absolute-cost-logit
Other,Other,-12,0,absolute-cost-logit
