# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Africa_Southern,OtherMeat_Fish,2020,1.95349
3C,Africa_Southern,OtherMeat_Fish,2025,2.24173
3C,Africa_Southern,Pork,2015,1.14421
3C,Africa_Southern,Pork,2020,1.3003
3C,Africa_Southern,Pork,2025,1.49919
3C,Africa_Southern,Poultry,2015,1.09966
3C,Africa_Southern,Poultry,2020,1.24757
3C,Africa_Southern,Poultry,2025,1.4395
3C,Africa_Southern,Rice,2015,7.56004
3C,Africa_Southern,Rice,2020,8.79977
3C,Africa_Southern,Rice,2025,9.92129
3C,Africa_Southern,RootTuber,2015,20.9533
3C,Africa_Southern,RootTuber,2020,24.3575
3C,Africa_Southern,RootTuber,2025,27.313
3C,Africa_Southern,SheepGoat,2015,0.210869
3C,Africa_Southern,SheepGoat,2020,0.238107
3C,Africa_Southern,SheepGoat,2025,0.273068
3C,Africa_Southern,Soybean,2015,2.27142
3C,Africa_Southern,Soybean,2020,2.58763
3C,Africa_Southern,Soybean,2025,3.01496
3C,Africa_Southern,SugarCrop,2015,6.51498
3C,Africa_Southern,SugarCrop,2020,7.41218
3C,Africa_Southern,SugarCrop,2025,8.58706
3C,Africa_Southern,Vegetables,2015,1.02947
3C,Africa_Southern,Vegetables,2020,1.169
3C,Africa_Southern,Vegetables,2025,1.34876
3C,Africa_Southern,Wheat,2015,7.99606
3C,Africa_Southern,Wheat,2020,9.34922
3C,Africa_Southern,Wheat,2025,10.5769
3C,Africa_Western,Beef,2015,2.10882
3C,Africa_Western,Beef,2020,2.43216
3C,Africa_Western,Beef,2025,2.81558
3C,Africa_Western,Corn,2015,36.1923
3C,Africa_Western,Corn,2020,41.6527
3C,Africa_Western,Corn,2025,46.8157
3C,Africa_Western,Dairy,2015,2.93981
3C,Africa_Western,Dairy,2020,3.37961
3C,Africa_Western,Dairy,2025,3.89998
3C,Africa_Western,FiberCrop,2015,1.37815
3C,Africa_Western,FiberCrop,2020,1.59949
3C,Africa_Western,FiberCrop,2025,1.86417
3C,Africa_Western,Fruits,2015,10.9278
3C,Africa_Western,Fruits,2020,12.5996
3C,Africa_Western,Fruits,2025,14.5733
3C,Africa_Western,Legumes,2015,12.4133
3C,Africa_Western,Legumes,2020,14.419
3C,Africa_Western,Legumes,2025,16.7889
3C,Africa_Western,MiscCrop,2015,0.938086
3C,Africa_Western,MiscCrop,2020,1.08302
3C,Africa_Western,MiscCrop,2025,1.25447
3C,Africa_Western,NutsSeeds,2015,18.5684
3C,Africa_Western,NutsSeeds,2020,21.4266
3C,Africa_Western,NutsSeeds,2025,24.853
3C,Africa_Western,OilCrop,2015,6.45222
3C,Africa_Western,OilCrop,2020,7.49987
3C,Africa_Western,OilCrop,2025,8.7636
3C,Africa_Western,OilPalm,2015,19.84
3C,Africa_Western,OilPalm,2020,22.9514
3C,Africa_Western,OilPalm,2025,26.6725
3C,Africa_Western,OtherGrain,2015,43.5636
3C,Africa_Western,OtherGrain,2020,50.1139
3C,Africa_Western,OtherGrain,2025,56.3597
3C,Africa_Western,OtherMeat_Fish,2015,4.47134
3C,Africa_Western,OtherMeat_Fish,2020,5.1372
3C,Africa_Western,OtherMeat_Fish,2025,5.92014
3C,Africa_Western,Pork,2015,0.917281
3C,Africa_Western,Pork,2020,1.06864
