# File: EL2_foodgrouptargets_current_population_updated.csv
# Title: EAT_Lancet diet targets by AgMIP EL2
# Unit: Various
# Description: The data provides 2020 dietary intake and changes needed to reach 2050 EAT target by food group
# Source: AgMIP Marco Springmann
# Column types: ccccccin 
# ----------
Measure,Age,Diet_scenario,Unit,Food_group,Region,Year,Value
"abs","all-a","BMK","g/d_w","grains","WLD","2010",163.468769945838
"abs","all-a","BMK","g/d_w","grains","WLD","2020",166.270616586264
"abs","all-a","BMK","g/d_w","grains","HIC","2010",157.659051523638
"abs","all-a","BMK","g/d_w","grains","HIC","2020",152.002971029044
"abs","all-a","BMK","g/d_w","grains","UMC","2010",156.366751619657
"abs","all-a","BMK","g/d_w","grains","UMC","2020",154.803649646258
"abs","all-a","BMK","g/d_w","grains","LMC","2010",167.634697693808
"abs","all-a","BMK","g/d_w","grains","LMC","2020",173.818313142534
"abs","all-a","BMK","g/d_w","grains","LIC","2010",193.229976886792
"abs","all-a","BMK","g/d_w","grains","LIC","2020",210.321667960677
"abs","all-a","BMK","g/d_w","grains","NAC","2010",142.742814791237
"abs","all-a","BMK","g/d_w","grains","NAC","2020",138.82793621552
"abs","all-a","BMK","g/d_w","grains","LCN","2010",177.637037528736
"abs","all-a","BMK","g/d_w","grains","LCN","2020",180.16036475523
"abs","all-a","BMK","g/d_w","grains","ECS","2010",226.428172140706
"abs","all-a","BMK","g/d_w","grains","ECS","2020",210.994397906291
"abs","all-a","BMK","g/d_w","grains","MEA","2010",303.233280642619
"abs","all-a","BMK","g/d_w","grains","MEA","2020",314.976938299862
"abs","all-a","BMK","g/d_w","grains","SAS","2010",152.77229720356
"abs","all-a","BMK","g/d_w","grains","SAS","2020",156.211820438484
"abs","all-a","BMK","g/d_w","grains","EAS","2010",107.32588162959
"abs","all-a","BMK","g/d_w","grains","EAS","2020",108.656479269945
"abs","all-a","BMK","g/d_w","grains","SSF","2010",197.281931971868
"abs","all-a","BMK","g/d_w","grains","SSF","2020",206.112370856956
"abs","all-a","BMK","g/d_w","grains","AGO","2010",132.56343376953
"abs","all-a","BMK","g/d_w","grains","AGO","2020",156.978835709648
"abs","all-a","BMK","g/d_w","grains","ALB","2010",234.147894798877
"abs","all-a","BMK","g/d_w","grains","ALB","2020",215.255079589295
"abs","all-a","BMK","g/d_w","grains","ARE","2010",171.459236906022
"abs","all-a","BMK","g/d_w","grains","ARE","2020",210.280191455683
"abs","all-a","BMK","g/d_w","grains","ARG","2010",217.856096894801
"abs","all-a","BMK","g/d_w","grains","ARG","2020",217.944871244191
"abs","all-a","BMK","g/d_w","grains","ARM","2010",253.536745874646
"abs","all-a","BMK","g/d_w","grains","ARM","2020",250.193490783258
"abs","all-a","BMK","g/d_w","grains","ATG","2010",154.475040937458
"abs","all-a","BMK","g/d_w","grains","ATG","2020",220.60446971278
"abs","all-a","BMK","g/d_w","grains","AUS","2010",112.472463441332
"abs","all-a","BMK","g/d_w","grains","AUS","2020",123.813188101067
"abs","all-a","BMK","g/d_w","grains","AUT","2010",150.398952129534
"abs","all-a","BMK","g/d_w","grains","AUT","2020",159.80041833954
"abs","all-a","BMK","g/d_w","grains","AZE","2010",454.629625849276
"abs","all-a","BMK","g/d_w","grains","AZE","2020",366.893218073393
"abs","all-a","BMK","g/d_w","grains","BDI","2020",75.5189910796415
"abs","all-a","BMK","g/d_w","grains","BEL","2010",171.37483044257
"abs","all-a","BMK","g/d_w","grains","BEL","2020",130.640346892357
"abs","all-a","BMK","g/d_w","grains","BEN","2010",94.8258064480568
"abs","all-a","BMK","g/d_w","grains","BEN","2020",109.764853879341
"abs","all-a","BMK","g/d_w","grains","BFA","2010",347.700737891783
"abs","all-a","BMK","g/d_w","grains","BFA","2020",295.168653194008
"abs","all-a","BMK","g/d_w","grains","BGD","2010",27.6107256176352
"abs","all-a","BMK","g/d_w","grains","BGD","2020",30.7577500334084
"abs","all-a","BMK","g/d_w","grains","BGR","2010",275.093684153878
"abs","all-a","BMK","g/d_w","grains","BGR","2020",199.635350326361
"abs","all-a","BMK","g/d_w","grains","BHR","2020",127.873793618885
"abs","all-a","BMK","g/d_w","grains","BHS","2010",68.6486619373165
"abs","all-a","BMK","g/d_w","grains","BHS","2020",123.782551208937
"abs","all-a","BMK","g/d_w","grains","BIH","2010",296.608103557709
"abs","all-a","BMK","g/d_w","grains","BIH","2020",284.046808210413
"abs","all-a","BMK","g/d_w","grains","BLR","2010",185.229997590062
"abs","all-a","BMK","g/d_w","grains","BLR","2020",193.675072376013
"abs","all-a","BMK","g/d_w","grains","BLZ","2010",189.599814613698
"abs","all-a","BMK","g/d_w","grains","BLZ","2020",183.042756991479
"abs","all-a","BMK","g/d_w","grains","BOL","2010",195.174339041702
"abs","all-a","BMK","g/d_w","grains","BOL","2020",192.300538900348
"abs","all-a","BMK","g/d_w","grains","BRA","2010",143.000972998409
"abs","all-a","BMK","g/d_w","grains","BRA","2020",137.204902031528
"abs","all-a","BMK","g/d_w","grains","BRB","2010",155.187019667878
"abs","all-a","BMK","g/d_w","grains","BRB","2020",173.066538689262
"abs","all-a","BMK","g/d_w","grains","BTN","2020",110.09040030055
"abs","all-a","BMK","g/d_w","grains","BWA","2010",220.964750726183
"abs","all-a","BMK","g/d_w","grains","BWA","2020",282.930101978194
"abs","all-a","BMK","g/d_w","grains","CAF","2010",117.644787854392
"abs","all-a","BMK","g/d_w","grains","CAF","2020",73.2924676133155
"abs","all-a","BMK","g/d_w","grains","CAN","2010",166.80446679655
"abs","all-a","BMK","g/d_w","grains","CAN","2020",148.192682195973
"abs","all-a","BMK","g/d_w","grains","CHE","2010",142.945977587257
"abs","all-a","BMK","g/d_w","grains","CHE","2020",149.096804013838
"abs","all-a","BMK","g/d_w","grains","CHL","2010",270.237949529067
"abs","all-a","BMK","g/d_w","grains","CHL","2020",253.065492246824
"abs","all-a","BMK","g/d_w","grains","CHN","2010",129.280192576942
"abs","all-a","BMK","g/d_w","grains","CHN","2020",122.620949809459
"abs","all-a","BMK","g/d_w","grains","CIV","2010",77.0048662259947
"abs","all-a","BMK","g/d_w","grains","CIV","2020",81.9972423193403
"abs","all-a","BMK","g/d_w","grains","CMR","2010",181.990546060993
"abs","all-a","BMK","g/d_w","grains","CMR","2020",193.542267236763
"abs","all-a","BMK","g/d_w","grains","COD","2010",72.1996250104281
"abs","all-a","BMK","g/d_w","grains","COD","2020",59.2467598595277
"abs","all-a","BMK","g/d_w","grains","COG","2010",105.458922281241
"abs","all-a","BMK","g/d_w","grains","COG","2020",114.511090796936
"abs","all-a","BMK","g/d_w","grains","COL","2010",109.183691419744
"abs","all-a","BMK","g/d_w","grains","COL","2020",128.106859878551
"abs","all-a","BMK","g/d_w","grains","COM","2010",45.4557136587357
"abs","all-a","BMK","g/d_w","grains","COM","2020",52.0835796690928
"abs","all-a","BMK","g/d_w","grains","CPV","2010",162.44384281995
"abs","all-a","BMK","g/d_w","grains","CPV","2020",191.344763695678
"abs","all-a","BMK","g/d_w","grains","CRI","2010",99.5508236048644
"abs","all-a","BMK","g/d_w","grains","CRI","2020",120.915960706323
"abs","all-a","BMK","g/d_w","grains","CUB","2010",152.371743055233
"abs","all-a","BMK","g/d_w","grains","CUB","2020",138.25846774811
"abs","all-a","BMK","g/d_w","grains","CYP","2010",238.982636739035
"abs","all-a","BMK","g/d_w","grains","CYP","2020",234.299111467693
"abs","all-a","BMK","g/d_w","grains","CZE","2010",188.436214393453
"abs","all-a","BMK","g/d_w","grains","CZE","2020",148.015494375881
"abs","all-a","BMK","g/d_w","grains","DEU","2010",171.549088659268
"abs","all-a","BMK","g/d_w","grains","DEU","2020",127.873854596957
"abs","all-a","BMK","g/d_w","grains","DJI","2010",229.289725543757
"abs","all-a","BMK","g/d_w","grains","DJI","2020",217.534786244692
"abs","all-a","BMK","g/d_w","grains","DMA","2010",97.7258971501095
"abs","all-a","BMK","g/d_w","grains","DMA","2020",89.4801461893987
"abs","all-a","BMK","g/d_w","grains","DNK","2010",236.019816694693
"abs","all-a","BMK","g/d_w","grains","DNK","2020",166.014530267845
"abs","all-a","BMK","g/d_w","grains","DOM","2010",69.85944462807
"abs","all-a","BMK","g/d_w","grains","DOM","2020",53.3964063739203
"abs","all-a","BMK","g/d_w","grains","DZA","2010",346.507685526832
"abs","all-a","BMK","g/d_w","grains","DZA","2020",324.303290804979
"abs","all-a","BMK","g/d_w","grains","ECU","2010",139.937131902857
"abs","all-a","BMK","g/d_w","grains","ECU","2020",187.761891762906
"abs","all-a","BMK","g/d_w","grains","EGY","2010",340.371703028251
"abs","all-a","BMK","g/d_w","grains","EGY","2020",379.26607100823
"abs","all-a","BMK","g/d_w","grains","ESP","2010",156.418350722877
"abs","all-a","BMK","g/d_w","grains","ESP","2020",157.792383230906
"abs","all-a","BMK","g/d_w","grains","EST","2010",220.30828853014
"abs","all-a","BMK","g/d_w","grains","EST","2020",117.446890711181
"abs","all-a","BMK","g/d_w","grains","ETH","2010",386.748487753497
"abs","all-a","BMK","g/d_w","grains","ETH","2020",380.692384461782
"abs","all-a","BMK","g/d_w","grains","FIN","2010",194.984203978881
"abs","all-a","BMK","g/d_w","grains","FIN","2020",167.154109623721
"abs","all-a","BMK","g/d_w","grains","FJI","2010",194.43710085993
"abs","all-a","BMK","g/d_w","grains","FJI","2020",194.785321848824
"abs","all-a","BMK","g/d_w","grains","FRA","2010",176.148284032378
"abs","all-a","BMK","g/d_w","grains","FRA","2020",188.803750465023
"abs","all-a","BMK","g/d_w","grains","FSM","2020",42.0400284679966
"abs","all-a","BMK","g/d_w","grains","GAB","2010",158.184054309761
"abs","all-a","BMK","g/d_w","grains","GAB","2020",159.6090667126
"abs","all-a","BMK","g/d_w","grains","GBR","2010",169.585763947125
"abs","all-a","BMK","g/d_w","grains","GBR","2020",189.061606302133
"abs","all-a","BMK","g/d_w","grains","GEO","2010",400.549898149694
"abs","all-a","BMK","g/d_w","grains","GEO","2020",382.103416134975
"abs","all-a","BMK","g/d_w","grains","GHA","2010",100.580542613403
"abs","all-a","BMK","g/d_w","grains","GHA","2020",98.7575392594632
"abs","all-a","BMK","g/d_w","grains","GIN","2010",69.5426912647569
"abs","all-a","BMK","g/d_w","grains","GIN","2020",66.86053967532
"abs","all-a","BMK","g/d_w","grains","GMB","2010",225.407000028216
"abs","all-a","BMK","g/d_w","grains","GMB","2020",121.911405275247
"abs","all-a","BMK","g/d_w","grains","GNB","2010",53.6914214341966
"abs","all-a","BMK","g/d_w","grains","GNB","2020",75.7955746197231
"abs","all-a","BMK","g/d_w","grains","GRC","2010",192.381965077669
"abs","all-a","BMK","g/d_w","grains","GRC","2020",166.389605042818
"abs","all-a","BMK","g/d_w","grains","GRD","2010",231.224548967789
"abs","all-a","BMK","g/d_w","grains","GRD","2020",118.210543822704
"abs","all-a","BMK","g/d_w","grains","GTM","2010",225.809934006057
"abs","all-a","BMK","g/d_w","grains","GTM","2020",224.675018863226
"abs","all-a","BMK","g/d_w","grains","GUY","2010",122.417920395157
"abs","all-a","BMK","g/d_w","grains","GUY","2020",105.019070769772
"abs","all-a","BMK","g/d_w","grains","HND","2010",205.629319631749
