# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,Argentina,Poultry,2.7093,2.7663,2.81199
reference,Argentina,SheepGoat,0.0861194,0.0785615,0.0794487
reference,Argentina,Legumes,0.836244,0.958981,0.973064
reference,Argentina,NutsSeeds,0.416024,0.543055,0.550811
reference,Argentina,Rice,1.1783,1.16545,1.17696
reference,Argentina,RootTuber,1.01606,0.99251,1.00691
reference,Argentina,SugarCrop,4.47875,4.21002,4.26589
reference,Argentina,Wheat,8.93539,9.38143,9.53784
reference,Australia_NZ,Corn,0.287359,0.281041,0.287717
reference,Australia_NZ,Fruits,0.745053,0.763781,0.788706
reference,Australia_NZ,Vegetables,0.495938,0.504842,0.521173
reference,Australia_NZ,MiscCrop,0.587113,0.606156,0.626095
reference,Australia_NZ,FiberCrop,0.315595,0.329455,0.339618
reference,Australia_NZ,OilCrop,2.49653,2.63353,2.72268
reference,Australia_NZ,OilPalm,0.424028,0.369324,0.381965
reference,Australia_NZ,Soybean,0.146628,0.15075,0.15534
reference,Australia_NZ,OtherGrain,0.972195,1.01979,1.05347
reference,Australia_NZ,Beef,1.04679,1.05774,1.08738
reference,Australia_NZ,Dairy,4.06856,3.67801,3.7891
reference,Australia_NZ,OtherMeat_Fish,1.10229,1.10371,1.13967
reference,Australia_NZ,Pork,0.918263,0.911143,0.940879
reference,Australia_NZ,Poultry,1.72307,1.72917,1.78775
reference,Australia_NZ,SheepGoat,0.54127,0.519644,0.534874
reference,Australia_NZ,Legumes,0.470955,0.509551,0.526893
reference,Australia_NZ,NutsSeeds,0.825916,0.876322,0.902764
reference,Australia_NZ,Rice,0.738628,0.755204,0.777746
reference,Australia_NZ,RootTuber,0.829515,0.82643,0.84863
reference,Australia_NZ,SugarCrop,3.10707,3.12333,3.22548
reference,Australia_NZ,Wheat,5.08594,5.09181,5.23821
reference,Brazil,Corn,14.301,14.8838,15.0938
reference,Brazil,Fruits,6.852,6.96592,7.16745
reference,Brazil,Vegetables,2.03625,2.0256,2.08489
reference,Brazil,MiscCrop,1.01623,1.05574,1.08673
reference,Brazil,FiberCrop,1.93408,1.84199,1.89976
reference,Brazil,OilCrop,3.56427,3.6518,3.79804
reference,Brazil,OilPalm,4.53731,5.69093,5.89225
reference,Brazil,Soybean,18.2156,18.2417,18.7398
reference,Brazil,OtherGrain,6.19252,6.19372,6.30199
reference,Brazil,Beef,8.31529,8.14932,8.33448
reference,Brazil,Dairy,15.6958,15.655,16.0542
reference,Brazil,OtherMeat_Fish,2.11003,2.1347,2.19471
reference,Brazil,Pork,9.02266,9.40247,9.65314
reference,Brazil,Poultry,12.1135,12.1943,12.5353
reference,Brazil,SheepGoat,0.197874,0.192136,0.196632
reference,Brazil,Legumes,6.25279,6.18081,6.36802
reference,Brazil,NutsSeeds,0.34962,0.381896,0.392584
reference,Brazil,Rice,14.0363,14.1872,14.3786
reference,Brazil,RootTuber,7.19715,7.21328,7.29537
reference,Brazil,SugarCrop,21.9469,21.1822,21.8158
reference,Brazil,Wheat,20.5364,20.608,20.9072
reference,Canada,Corn,1.60077,1.64023,1.66722
reference,Canada,Fruits,1.08714,1.06602,1.09184
reference,Canada,Vegetables,0.650513,0.652294,0.667994
reference,Canada,MiscCrop,0.757192,0.774178,0.794688
reference,Canada,FiberCrop,0.0036556,0.0036054,0.00369318
reference,Canada,OilCrop,4.07278,4.16466,4.26096
reference,Canada,OilPalm,0,0,0
reference,Canada,Soybean,0.237119,0.25194,0.257709
reference,Canada,OtherGrain,0.932014,0.994288,1.01641
reference,Canada,Beef,1.09264,1.08546,1.10651
reference,Canada,Dairy,3.58083,3.59504,3.67863
reference,Canada,OtherMeat_Fish,0.674204,0.674828,0.691186
reference,Canada,Pork,1.94882,1.89015,1.93496
reference,Canada,Poultry,1.99535,2.01822,2.06689
reference,Canada,SheepGoat,0.0616897,0.0655385,0.0669171
reference,Canada,Legumes,0.740168,0.757599,0.771989
reference,Canada,NutsSeeds,0.991653,0.976556,1.00097
reference,Canada,Rice,1.06159,1.05058,1.06957
reference,Canada,RootTuber,1.33426,1.33932,1.36393
reference,Canada,SugarCrop,3.78797,3.85421,3.95418
reference,Canada,Wheat,5.68822,5.69449,5.78132
