# File: AgMIP_BAU_Diet2020.csv
# Title: BAU scenario 2020 diet by region and sector
# Units: Pcal
# Description: Since we changed to exogenous diet targets and new AgMIP scenarios start after 2020 so we need to reconcile 2020 diet values
# Column types: ccn
# ----------
Region,GCAM_commodity,2020
Central America and Caribbean,OilCrop,1.52527
Central America and Caribbean,OilPalm,2.75177
Central America and Caribbean,Soybean,3.48808
Central America and Caribbean,OtherGrain,1.55643
Central America and Caribbean,Beef,1.1895
Central America and Caribbean,Dairy,3.30531
Central America and Caribbean,OtherMeat_Fish,1.0125
Central America and Caribbean,Pork,1.78441
Central America and Caribbean,Poultry,2.80674
Central America and Caribbean,SheepGoat,0.0532959
Central America and Caribbean,Legumes,3.38952
Central America and Caribbean,NutsSeeds,0.499666
Central America and Caribbean,Rice,9.1283
Central America and Caribbean,RootTuber,2.60116
Central America and Caribbean,SugarCrop,10.2875
Central America and Caribbean,Wheat,8.20816
Central Asia,Corn,1.64453
Central Asia,Fruits,2.40919
Central Asia,Vegetables,3.518
Central Asia,MiscCrop,0.577769
Central Asia,FiberCrop,1.88093
Central Asia,OilCrop,3.97764
Central Asia,OilPalm,0.0249043
Central Asia,Soybean,0.201583
Central Asia,OtherGrain,1.51241
Central Asia,Beef,3.38789
Central Asia,Dairy,9.92266
Central Asia,OtherMeat_Fish,1.34083
Central Asia,Pork,0.610021
Central Asia,Poultry,1.3225
Central Asia,SheepGoat,1.38859
Central Asia,Legumes,0.444353
Central Asia,NutsSeeds,0.551083
Central Asia,Rice,1.44104
Central Asia,RootTuber,3.34636
Central Asia,SugarCrop,5.17645
Central Asia,Wheat,29.6865
China,Corn,21.7559
China,Fruits,36.5432
China,Vegetables,82.9785
China,MiscCrop,1.5154
China,FiberCrop,6.19177
China,OilCrop,22.3246
China,OilPalm,22.5322
China,Soybean,39.5292
China,OtherGrain,30.0375
China,Beef,10.8361
China,Dairy,18.4614
China,OtherMeat_Fish,29.1345
China,Pork,134.722
China,Poultry,49.6348
China,SheepGoat,6.3815
China,Legumes,5.10787
China,NutsSeeds,37.3173
China,Rice,315.983
China,RootTuber,58.0505
China,SugarCrop,29.9349
China,Wheat,213.082
Colombia,Corn,3.79354
Colombia,Fruits,3.16105
Colombia,Vegetables,0.44708
Colombia,MiscCrop,0.166586
Colombia,FiberCrop,0.02539
Colombia,OilCrop,0.412976
Colombia,OilPalm,2.87638
Colombia,Soybean,1.36608
Colombia,OtherGrain,0.952543
Colombia,Beef,1.39162
Colombia,Dairy,2.48722
Colombia,OtherMeat_Fish,0.429714
Colombia,Pork,0.879619
Colombia,Poultry,1.94414
Colombia,SheepGoat,0.0099803
Colombia,Legumes,0.861463
Colombia,NutsSeeds,0.102797
Colombia,Rice,4.2724
Colombia,RootTuber,2.42042
Colombia,SugarCrop,8.05551
Colombia,Wheat,3.38541
EU-12,Corn,1.88999
EU-12,Fruits,1.87004
EU-12,Vegetables,1.92848
EU-12,MiscCrop,0.644947
EU-12,FiberCrop,5.07E-04
EU-12,OilCrop,4.95874
EU-12,OilPalm,0.109587
EU-12,Soybean,0.682288
EU-12,OtherGrain,6.27525
EU-12,Beef,0.474401
EU-12,Dairy,8.95429
EU-12,OtherMeat_Fish,1.2004
EU-12,Pork,8.33785
EU-12,Poultry,3.31854
EU-12,SheepGoat,0.151299
EU-12,Legumes,0.510371
EU-12,NutsSeeds,0.554911
EU-12,Rice,0.586163
EU-12,RootTuber,3.53771
EU-12,SugarCrop,7.75543
EU-12,Wheat,19.978
EU-15,Corn,6.53245
EU-15,Fruits,11.329
EU-15,Vegetables,7.48903
EU-15,MiscCrop,4.08032
EU-15,FiberCrop,0.109998
EU-15,OilCrop,28.9232
EU-15,OilPalm,1.69169
EU-15,Soybean,8.60337
EU-15,OtherGrain,13.2899
EU-15,Beef,6.79226
EU-15,Dairy,43.3591
EU-15,OtherMeat_Fish,8.03241
EU-15,Pork,26.3965
EU-15,Poultry,13.4614
EU-15,SheepGoat,1.44765
EU-15,Legumes,2.70439
EU-15,NutsSeeds,5.68597
EU-15,Rice,5.5467
EU-15,RootTuber,11.3047
EU-15,SugarCrop,33.4706
EU-15,Wheat,77.1337
Europe_Eastern,Corn,2.01786
Europe_Eastern,Fruits,1.14307
Europe_Eastern,Vegetables,1.66839
Europe_Eastern,MiscCrop,0.274942
Europe_Eastern,FiberCrop,0
Europe_Eastern,OilCrop,2.98309
Europe_Eastern,OilPalm,0.00111235
Europe_Eastern,Soybean,0.295488
Europe_Eastern,OtherGrain,3.79728
Europe_Eastern,Beef,1.01664
Europe_Eastern,Dairy,4.91644
Europe_Eastern,OtherMeat_Fish,1.04136
Europe_Eastern,Pork,2.5272
Europe_Eastern,Poultry,2.52228
Europe_Eastern,SheepGoat,0.0275022
Europe_Eastern,Legumes,0.228624
Europe_Eastern,NutsSeeds,0.356922
Europe_Eastern,Rice,0.44417
Europe_Eastern,RootTuber,4.04519
Europe_Eastern,SugarCrop,5.9625
Europe_Eastern,Wheat,14.4934
Europe_Non_EU,Corn,5.23367
Europe_Non_EU,Fruits,3.58606
Europe_Non_EU,Vegetables,3.3565
Europe_Non_EU,MiscCrop,0.950833
Europe_Non_EU,FiberCrop,0.913602
Europe_Non_EU,OilCrop,5.56923
Europe_Non_EU,OilPalm,2.98207
Europe_Non_EU,Soybean,0.100251
Europe_Non_EU,OtherGrain,1.34215
Europe_Non_EU,Beef,1.85118
Europe_Non_EU,Dairy,10.0544
Europe_Non_EU,OtherMeat_Fish,0.939878
Europe_Non_EU,Pork,1.20145
Europe_Non_EU,Poultry,2.69782
Europe_Non_EU,SheepGoat,0.757034
Europe_Non_EU,Legumes,2.77554
Europe_Non_EU,NutsSeeds,1.80806
Europe_Non_EU,Rice,2.01719
Europe_Non_EU,RootTuber,2.38848
Europe_Non_EU,SugarCrop,7.70534
Europe_Non_EU,Wheat,31.259
European Free Trade Association,Corn,0.0122867
European Free Trade Association,Fruits,0.410969
European Free Trade Association,Vegetables,0.223758
European Free Trade Association,MiscCrop,0.260603
European Free Trade Association,FiberCrop,1.18E-04
European Free Trade Association,OilCrop,0.862065
European Free Trade Association,OilPalm,1.46E-05
European Free Trade Association,Soybean,0.0797231
European Free Trade Association,OtherGrain,0.53024
European Free Trade Association,Beef,0.301766
European Free Trade Association,Dairy,1.88296
European Free Trade Association,OtherMeat_Fish,0.434989
European Free Trade Association,Pork,1.09628
European Free Trade Association,Poultry,0.396266
European Free Trade Association,SheepGoat,0.0803223
European Free Trade Association,Legumes,0.11991
European Free Trade Association,NutsSeeds,0.287846
European Free Trade Association,Rice,0.123709
European Free Trade Association,RootTuber,0.308626
European Free Trade Association,SugarCrop,1.48079
European Free Trade Association,Wheat,2.78967
India,Corn,23.1733
India,Fruits,28.8587
India,Vegetables,25.3907
India,MiscCrop,7.86955
India,FiberCrop,7.73519
India,OilCrop,43.1663
India,OilPalm,14.1918
India,Soybean,18.8265
India,OtherGrain,41.1471
India,Beef,1.90713
India,Dairy,93.1727
India,OtherMeat_Fish,5.32338
India,Pork,1.3809
India,Poultry,8.33735
India,SheepGoat,1.08771
India,Legumes,58.2385
India,NutsSeeds,19.1005
India,Rice,270.097
India,RootTuber,22.6692
India,SugarCrop,95.6387
India,Wheat,209.902
Indonesia,Corn,13.5501
Indonesia,Fruits,7.26244
Indonesia,Vegetables,3.31447
Indonesia,MiscCrop,1.51073
Indonesia,FiberCrop,0
Indonesia,OilCrop,7.38579
Indonesia,OilPalm,11.9658
Indonesia,Soybean,4.50724
Indonesia,OtherGrain,0.208878
Indonesia,Beef,0.992849
Indonesia,Dairy,1.48154
Indonesia,OtherMeat_Fish,5.52053
Indonesia,Pork,1.05297
Indonesia,Poultry,3.89712
Indonesia,SheepGoat,0.149464
Indonesia,Legumes,0.833089
Indonesia,NutsSeeds,3.73766
Indonesia,Rice,90.6528
Indonesia,RootTuber,18.3026
Indonesia,SugarCrop,18.5013
Indonesia,Wheat,17.738
Japan,Corn,4.05879
Japan,Fruits,1.60404
Japan,Vegetables,2.40167
Japan,MiscCrop,1.40415
Japan,FiberCrop,0
Japan,OilCrop,8.52367
Japan,OilPalm,0.905021
Japan,Soybean,7.04979
Japan,OtherGrain,1.65439
Japan,Beef,1.23836
Japan,Dairy,5.18926
Japan,OtherMeat_Fish,3.7901
Japan,Pork,4.58465
Japan,Poultry,5.68431
Japan,SheepGoat,0.0401455
Japan,Legumes,0.573286
Japan,NutsSeeds,1.01399
Japan,Rice,24.7115
Japan,RootTuber,2.44967
Japan,SugarCrop,7.02541
Japan,Wheat,15.9891
Mexico,Corn,33.4489
Mexico,Fruits,3.47184
Mexico,Vegetables,1.39817
Mexico,MiscCrop,0.247772
Mexico,FiberCrop,0.0116536
Mexico,OilCrop,2.03968
Mexico,OilPalm,2.7491
Mexico,Soybean,3.42615
Mexico,OtherGrain,3.00939
Mexico,Beef,2.41015
Mexico,Dairy,5.38885
Mexico,OtherMeat_Fish,1.46368
Mexico,Pork,5.92053
Mexico,Poultry,6.26738
Mexico,SheepGoat,0.157204
Mexico,Legumes,3.51097
Mexico,NutsSeeds,1.14234
Mexico,Rice,2.00276
Mexico,RootTuber,1.04159
Mexico,SugarCrop,13.076
Mexico,Wheat,8.05332
