# File: AgMIP_EL2_intake_targets_foodgroup_r.csv
# Title: AgMIP EL2 dietary targets and 2020 intake
# Units: kcal/d_w
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025
# Author: xz (Mar 2025)
# Column types: cccicn
# ----------
diet_scenario,unit,measure,GCAM_region_ID,AgMIP_food_group_agg,value
FLX,kcal/d_w,intake2020,17,PlantProtein,170.7011547
FLX,kcal/d_w,intake2020,17,Ruminant,4.311669017
FLX,kcal/d_w,intake2020,17,Staples,1133.037249
FLX,kcal/d_w,intake2020,17,Sugar,151.8078747
FLX,kcal/d_w,intake2020,18,Dairy,16.71138522
FLX,kcal/d_w,intake2020,18,Fish,35.67285543
FLX,kcal/d_w,intake2020,18,FruitsVeg,101.967304
FLX,kcal/d_w,intake2020,18,NonRuminant,81.71693363
FLX,kcal/d_w,intake2020,18,Oils,288.4200115
FLX,kcal/d_w,intake2020,18,Others,13.13216324
FLX,kcal/d_w,intake2020,18,PlantProtein,44.45401759
FLX,kcal/d_w,intake2020,18,Ruminant,9.974609782
FLX,kcal/d_w,intake2020,18,Staples,1342.521661
FLX,kcal/d_w,intake2020,18,Sugar,166.2058267
FLX,kcal/d_w,intake2020,19,Dairy,142.4343073
FLX,kcal/d_w,intake2020,19,Fish,88.90575816
FLX,kcal/d_w,intake2020,19,FruitsVeg,86.56650765
FLX,kcal/d_w,intake2020,19,NonRuminant,206.648036
FLX,kcal/d_w,intake2020,19,Oils,397.0254247
FLX,kcal/d_w,intake2020,19,Others,85.20369901
FLX,kcal/d_w,intake2020,19,PlantProtein,146.1460282
FLX,kcal/d_w,intake2020,19,Ruminant,24.52542432
FLX,kcal/d_w,intake2020,19,Staples,855.9909646
FLX,kcal/d_w,intake2020,19,Sugar,181.0305307
FLX,kcal/d_w,intake2020,2,Dairy,98.01440917
FLX,kcal/d_w,intake2020,2,Fish,13.7717655
FLX,kcal/d_w,intake2020,2,FruitsVeg,116.6927273
FLX,kcal/d_w,intake2020,2,NonRuminant,13.466646
FLX,kcal/d_w,intake2020,2,Oils,153.4145525
FLX,kcal/d_w,intake2020,2,Others,40.87685084
FLX,kcal/d_w,intake2020,2,PlantProtein,217.5370006
FLX,kcal/d_w,intake2020,2,Ruminant,33.99094857
FLX,kcal/d_w,intake2020,2,Staples,1195.564644
FLX,kcal/d_w,intake2020,2,Sugar,110.1624706
FLX,kcal/d_w,intake2020,20,Dairy,152.8813864
FLX,kcal/d_w,intake2020,20,Fish,58.34326551
FLX,kcal/d_w,intake2020,20,FruitsVeg,111.8475885
FLX,kcal/d_w,intake2020,20,NonRuminant,268.6770367
FLX,kcal/d_w,intake2020,20,Oils,304.4266417
FLX,kcal/d_w,intake2020,20,Others,60.39103602
FLX,kcal/d_w,intake2020,20,PlantProtein,111.2370931
FLX,kcal/d_w,intake2020,20,Ruminant,40.85798887
FLX,kcal/d_w,intake2020,20,Staples,874.1482425
FLX,kcal/d_w,intake2020,20,Sugar,281.9414442
FLX,kcal/d_w,intake2020,21,Dairy,135.9763523
FLX,kcal/d_w,intake2020,21,Fish,56.0042149
FLX,kcal/d_w,intake2020,21,FruitsVeg,170.9933153
FLX,kcal/d_w,intake2020,21,NonRuminant,85.80171723
FLX,kcal/d_w,intake2020,21,Oils,369.267755
FLX,kcal/d_w,intake2020,21,Others,29.78381934
FLX,kcal/d_w,intake2020,21,PlantProtein,110.681113
FLX,kcal/d_w,intake2020,21,Ruminant,49.20902867
FLX,kcal/d_w,intake2020,21,Staples,1145.039496
FLX,kcal/d_w,intake2020,21,Sugar,209.0482398
FLX,kcal/d_w,intake2020,22,Dairy,470.8642563
FLX,kcal/d_w,intake2020,22,Fish,140.3491112
FLX,kcal/d_w,intake2020,22,FruitsVeg,50.36840401
FLX,kcal/d_w,intake2020,22,NonRuminant,26.55173865
FLX,kcal/d_w,intake2020,22,Oils,268.5329707
FLX,kcal/d_w,intake2020,22,Others,9.737541845
FLX,kcal/d_w,intake2020,22,PlantProtein,52.64551723
FLX,kcal/d_w,intake2020,22,Ruminant,43.67680921
FLX,kcal/d_w,intake2020,22,Staples,867.3018508
FLX,kcal/d_w,intake2020,22,Sugar,163.3420049
FLX,kcal/d_w,intake2020,23,Dairy,321.1200412
FLX,kcal/d_w,intake2020,23,Fish,164.9966986
FLX,kcal/d_w,intake2020,23,FruitsVeg,97.68792914
FLX,kcal/d_w,intake2020,23,NonRuminant,204.7869482
FLX,kcal/d_w,intake2020,23,Oils,388.0433269
FLX,kcal/d_w,intake2020,23,Others,98.84396187
FLX,kcal/d_w,intake2020,23,PlantProtein,39.97636486
FLX,kcal/d_w,intake2020,23,Ruminant,64.94356682
FLX,kcal/d_w,intake2020,23,Staples,844.8217061
FLX,kcal/d_w,intake2020,23,Sugar,226.8962877
FLX,kcal/d_w,intake2020,24,Dairy,87.07966954
FLX,kcal/d_w,intake2020,24,Fish,16.16971671
FLX,kcal/d_w,intake2020,24,FruitsVeg,44.08319867
FLX,kcal/d_w,intake2020,24,NonRuminant,158.6801345
FLX,kcal/d_w,intake2020,24,Oils,442.7959215
FLX,kcal/d_w,intake2020,24,Others,88.19182723
FLX,kcal/d_w,intake2020,24,PlantProtein,27.37488366
FLX,kcal/d_w,intake2020,24,Ruminant,102.0077728
FLX,kcal/d_w,intake2020,24,Staples,1123.196131
FLX,kcal/d_w,intake2020,24,Sugar,248.1481678
FLX,kcal/d_w,intake2020,25,Dairy,132.0622268
FLX,kcal/d_w,intake2020,25,Fish,34.72471917
FLX,kcal/d_w,intake2020,25,FruitsVeg,139.4384427
FLX,kcal/d_w,intake2020,25,NonRuminant,90.51782332
FLX,kcal/d_w,intake2020,25,Oils,508.6534435
FLX,kcal/d_w,intake2020,25,Others,37.82834807
FLX,kcal/d_w,intake2020,25,PlantProtein,123.9450156
FLX,kcal/d_w,intake2020,25,Ruminant,34.50656529
FLX,kcal/d_w,intake2020,25,Staples,862.8236758
FLX,kcal/d_w,intake2020,25,Sugar,274.432606
FLX,kcal/d_w,intake2020,26,Dairy,144.5251053
FLX,kcal/d_w,intake2020,26,Fish,91.10954945
FLX,kcal/d_w,intake2020,26,FruitsVeg,131.4529779
FLX,kcal/d_w,intake2020,26,NonRuminant,179.890956
FLX,kcal/d_w,intake2020,26,Oils,249.9117619
FLX,kcal/d_w,intake2020,26,Others,72.5825304
FLX,kcal/d_w,intake2020,26,PlantProtein,86.60503273
FLX,kcal/d_w,intake2020,26,Ruminant,58.67362492
FLX,kcal/d_w,intake2020,26,Staples,1045.277637
FLX,kcal/d_w,intake2020,26,Sugar,201.0290136
FLX,kcal/d_w,intake2020,27,Dairy,49.40167421
FLX,kcal/d_w,intake2020,27,Fish,29.27789292
FLX,kcal/d_w,intake2020,27,FruitsVeg,75.78024663
FLX,kcal/d_w,intake2020,27,NonRuminant,22.03144657
FLX,kcal/d_w,intake2020,27,Oils,152.2654692
FLX,kcal/d_w,intake2020,27,Others,25.67168463
FLX,kcal/d_w,intake2020,27,PlantProtein,85.42034778
FLX,kcal/d_w,intake2020,27,Ruminant,9.231015049
FLX,kcal/d_w,intake2020,27,Staples,1509.952326
FLX,kcal/d_w,intake2020,27,Sugar,71.15042649
