# File: rps_states_exst.csv
# Title: RPS calculated from LBNL data using existing policies 
# Units: Percentage
# Source: LBNL July 2019 RPS Projections
# Column types: cccnnnnnnnnnnnnnnnnnnnnnncc
# ----------
region,supplysector,subsector,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,units,rate.notes
AK,electricity,All Eligible,,,,,,0.002212722,0.002417329,0.004026122,0.0140113,0.105480883,0.163952896,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,0.213723438,percent of retail electricity sales,Current RPS policies only
AL,electricity,All Eligible,,,,,,0.012274805,0.023441272,0.087113559,0.118281771,0.156774174,0.191761925,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,0.227326421,percent of retail electricity sales,Current RPS policies only
AR,electricity,All Eligible,,,,,,0.013206208,0.025113529,0.086088661,0.117734078,0.158706097,0.190378357,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,0.219048352,percent of retail electricity sales,Current RPS policies only
AZ,electricity,All Eligible,,,,,,0.053911097,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,0.080866646,percent of retail electricity sales,Current RPS policies only
CA,electricity,All Eligible,,,,,,0.243187987,0.329140762,0.454004998,0.454097262,0.454404812,0.454823261,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,0.455392954,percent of retail electricity sales,Current RPS policies only
CO,electricity,All Eligible,,,,,,0.167537803,0.171089555,0.173050236,0.174781414,0.176762936,0.178618725,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,0.18042207,percent of retail electricity sales,Current RPS policies only
CT,electricity,All Eligible,,,,,,0.199363501,0.278165203,0.366247531,0.366627941,0.367071726,0.367526409,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,0.368112231,percent of retail electricity sales,Current RPS policies only
DC,electricity,All Eligible,,,,,,0.187985488,0.488762269,0.817736873,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,0.939927441,percent of retail electricity sales,Current RPS policies only
DE,electricity,All Eligible,,,,,,0.115853551,0.157339108,0.165904038,0.165949776,0.166555246,0.167118303,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,0.167911395,percent of retail electricity sales,Current RPS policies only
