# File: gcam_usa_elec_gen.csv
# Title: GCAM USA Reference Electricity Generation by State and Technology
# Units: EJ
# Source: GCAM USA Reference output (v 5.3)
# Column types: cccccnnnnnnnnnnnnnnnnnnnnc
# ----------
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul 1966-1970,0,0.00E+00,0.00E+00,1.52E-04,7.63E-05,8.25E-05,1.03E-04,1.33E-04,1.06E-04,5.28E-05,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul 1971-1975,0,0.00E+00,0.00E+00,1.09E-04,5.47E-05,5.94E-05,7.55E-05,1.03E-04,1.02E-04,8.74E-05,5.35E-05,0.00E+00,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul 1981-1985,0,0.00E+00,0.00E+00,3.20E-05,1.61E-05,1.75E-05,2.23E-05,3.06E-05,3.12E-05,3.00E-05,2.58E-05,1.58E-05,5.75E-06,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul 1986-1990,0,0.00E+00,0.00E+00,5.96E-05,3.00E-05,3.26E-05,4.15E-05,5.71E-05,5.84E-05,5.81E-05,5.65E-05,5.03E-05,3.36E-05,1.35E-05,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul 1996-2000,0,0,0,6.13E-05,3.09E-05,3.35E-05,4.27E-05,5.87E-05,6.02E-05,6.02E-05,6.01E-05,5.96E-05,5.74E-05,4.92E-05,3.01E-05,1.10E-05,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,coal,coal_int_conv pul_retire_2020,5.17E-06,2.74E-05,1.73E-05,3.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas cogen,0.0109877,1.30E-02,1.06E-02,1.12E-02,1.11E-02,1.11E-02,1.13E-02,1.15E-02,1.17E-02,1.18E-02,1.17E-02,1.10E-02,0.009009243,0.007016702,0.006265864,0.006077566,0.006161416,0.006198007,0.006230656,0.006211491,0.006153737,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_base_CC,0.00578689,9.66E-03,8.07E-03,4.92E-03,1.41E-03,1.44E-03,1.50E-03,1.51E-03,1.40E-03,1.97E-03,2.64E-03,3.55E-03,0.004562306,0.005382465,0.005647488,0.006204094,0.006765026,0.007361148,0.007609594,0.00736407,0.00684088,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_int_CC,0.00451749,6.31E-03,8.72E-03,8.11E-03,3.38E-03,3.35E-03,3.74E-03,4.26E-03,4.78E-03,5.32E-03,5.84E-03,0.00662875,0.0076194,0.008416007,0.008769603,0.009108553,0.009384935,0.009454002,0.009600517,0.009561312,0.009496976,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_peak_CC,4.95E-05,1.01E-04,7.68E-05,8.55E-05,3.60E-05,3.59E-05,4.04E-05,4.61E-05,3.84E-05,2.94E-05,2.18E-05,1.65E-05,5.34E-06,6.03E-06,6.88E-06,7.91E-06,8.60E-06,8.51E-06,8.68E-06,8.56E-06,8.39E-06,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_peak_steam/CT,3.67E-05,3.55E-05,5.95E-05,4.52E-05,1.90E-05,1.89E-05,2.12E-05,2.42E-05,2.03E-05,1.56E-05,1.17E-05,9.04E-06,3.41E-06,3.84E-06,4.38E-06,5.03E-06,5.46E-06,5.38E-06,5.49E-06,5.39E-06,5.28E-06,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_subpeak_CC,2.78E-04,5.19E-04,5.53E-04,6.16E-04,2.59E-04,2.58E-04,2.90E-04,3.32E-04,3.15E-04,2.91E-04,2.71E-04,2.68E-04,2.45E-04,2.69E-04,2.98E-04,3.29E-04,3.56E-04,3.55E-04,3.69E-04,3.60E-04,3.53E-04,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,gas,gas_subpeak_steam/CT,2.06E-04,1.83E-04,4.29E-04,3.25E-04,1.37E-04,1.36E-04,1.53E-04,1.74E-04,1.67E-04,1.55E-04,1.45E-04,1.44E-04,1.34E-04,1.46E-04,1.62E-04,1.79E-04,1.93E-04,1.93E-04,2.00E-04,1.94E-04,1.91E-04,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,geothermal,geo_base,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,1.07E-04,2.77E-04,5.08E-04,8.41E-04,0.001063878,0.001153172,0.001210943,0.00124602,0.001275333,0.00138792,0.001558427,0.001818482,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,grid_storage,battery,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-06,1.51E-05,2.25E-05,2.73E-05,3.80E-05,3.85E-05,3.99E-05,3.86E-05,4.06E-05,4.43E-05,5.11E-05,5.23E-05,5.43E-05,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,hydro,hydro_base,0.0033073,5.38E-03,0.0052574,0.0057652,0.00346817,0.00335066,0.00391641,0.00483611,0.00595744,0.0066441,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,0.0066515,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,hydrogen,hydrogen cogen,0,0,0,0,8.92E-07,1.45E-06,1.39E-05,2.67E-05,4.35E-05,7.05E-05,1.40E-04,3.36E-04,7.88E-04,0.00115149,0.001191061,0.001258239,0.001330159,0.001462001,0.001638489,0.001862254,0.002132819,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,refined liquids,refined liquids cogen,1.62E-05,1.23E-04,9.72E-05,1.47E-04,1.26E-04,1.27E-04,1.28E-04,1.30E-04,1.31E-04,1.31E-04,1.32E-04,1.28E-04,1.15E-04,9.91E-05,9.18E-05,8.99E-05,9.15E-05,9.40E-05,9.69E-05,1.00E-04,1.05E-04,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,refined liquids,refined liquids_base_steam/CT,1.37E-04,2.79E-04,0.00185235,0.00161928,3.12E-04,3.46E-04,3.55E-04,3.49E-04,3.13E-04,2.40E-04,1.68E-04,1.13E-04,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,refined liquids,refined liquids_int_steam/CT,0.00109403,0.00223482,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,refined liquids,refined liquids_subpeak_steam/CT,1.37E-04,2.79E-04,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"GCAM-USA_Ref,date=2020-18-8T16:31:19-04:00",AK,rooftop_pv,rooftop_pv,0,0,0,0,2.37E-06,6.40E-07,1.42E-06,2.17E-06,3.20E-06,4.58E-06,6.74E-06,9.10E-06,1.18E-05,1.48E-05,1.63E-05,1.75E-05,1.97E-05,2.22E-05,2.44E-05,2.66E-05,2.92E-05,EJ
