# File: rps_states_hundred.csv
# Title: RPS calculated from LBNL data using existing policies
# Units: Percentage
# Source: LBNL July 2019 RPS Projections
# Column types: cccnnnnnnnnnnnnnnnnnnnnnncc
# ----------
MT,electricity,All Eligible,,,,,,0.09845867,0.248715558,0.398972447,0.5492,0.699486223,0.849743112,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NC,electricity,All Eligible,,,,,,0.007629088,0.17302424,0.338419392,0.5038,0.669209696,0.834604848,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
ND,electricity,All Eligible,,,,,,0.300960922,0.417467435,0.533973948,0.6505,0.766986974,0.883493487,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NE,electricity,All Eligible,,,,,,0.046488634,0.205407195,0.364325756,0.5232,0.682162878,0.841081439,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NH,electricity,All Eligible,,,,,,0.115369609,0.262808008,0.410246406,0.5577,0.705123203,0.852561602,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NJ,electricity,All Eligible,,,,,,0.231774769,0.359812308,0.487849846,0.6159,0.743924923,0.871962462,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NM,electricity,All Eligible,,,,,,0.147681851,0.289734876,0.431787901,0.5738,0.71589395,0.857946975,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NV,electricity,All Eligible,,,,,,0.155856355,0.296546963,0.43723757,0.5779,0.718618785,0.859309393,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
NY,electricity,All Eligible,,,,,,0.300575826,0.417146522,0.533717217,0.6503,0.766858609,0.883429304,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
OH,electricity,All Eligible,,,,,,0.031885411,0.193237843,0.354590274,0.5159,0.677295137,0.838647569,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
OK,electricity,All Eligible,,,,,,0.090690109,0.242241758,0.393793406,0.5453,0.696896703,0.848448352,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
OR,electricity,All Eligible,,,,,,0.115953451,0.263294543,0.410635634,0.558,0.705317817,0.852658909,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
PA,electricity,All Eligible,,,,,,0.104109949,0.253424958,0.402739966,0.5521,0.701369983,0.850684992,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
RI,electricity,All Eligible,,,,,,0.103191205,0.252659338,0.40212747,0.5516,0.701063735,0.850531868,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
SC,electricity,All Eligible,,,,,,0.00925174,0.17437645,0.33950116,0.5046,0.66975058,0.83487529,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
SD,electricity,All Eligible,,,,,,0.119574488,0.266312073,0.413049659,0.5598,0.706524829,0.853262415,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
TN,electricity,All Eligible,,,,,,0.007881928,0.17323494,0.338587952,0.5039,0.669293976,0.834646988,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
TX,electricity,All Eligible,,,,,,0.103565271,0.252971059,0.402376847,0.5518,0.701188424,0.850594212,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
UT,electricity,All Eligible,,,,,,0.074452091,0.228710076,0.382968061,0.5372,0.69148403,0.845742015,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
VA,electricity,All Eligible,,,,,,0.006165978,0.171804982,0.337443985,0.5031,0.668721993,0.834360996,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
VT,electricity,All Eligible,,,,,,0.217954759,0.348295633,0.478636506,0.609,0.739318253,0.869659127,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
WA,electricity,All Eligible,,,,,,0.10143307,0.251194225,0.40095538,0.5507,0.70047769,0.850238845,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
WI,electricity,All Eligible,,,,,,0.090551075,0.242125896,0.393700717,0.5453,0.696850358,0.848425179,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
WV,electricity,All Eligible,,,,,,0.07816723,0.231806025,0.38544482,0.5391,0.69272241,0.846361205,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
WY,electricity,All Eligible,,,,,,0.200324884,0.33360407,0.466883256,0.6002,0.733441628,0.866720814,0.99,1,1,1,1,1,1,1,1,1,1,percent of retail electricity sales,Current RPS policies only
