# File: A_PrimaryFuelCCoef.csv
# Title: Global Default Emissions Factors
# Description: assumed global default emissions factors
# Units: kg C per GJ
# Source: CDIAC inventory IEA energy balance some manual adjustments
# Column types: cni
# ----------
PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef,traded
biomass,0,0
regional biomass,23,0
delivered biomass,23,0
regional biomassOil,19.6,0
regional sugar for ethanol,19.6,0
regional corn for ethanol,19.6,0
coal,27.3,0
regional coal,27.3,0
delivered coal,27.3,0
natural gas,14.2,0
regional natural gas,14.2,0
gas processing,14.2,0
gas pipeline,14.2,0
wholesale gas,14.2,0
delivered gas,14.2,0
crude oil,19.6,0
regional oil,19.6,0
refining,0,0
Residual_FuelOil,19.6,0
Residual_FuelOil_crude oil,19.6,0
Residual_FuelOil_biomass,19.6,0
Residual_FuelOil_coal,19.6,0
Residual_FuelOil_natural gas,19.6,0
Distillate_FuelOil,19.6,0
Distillate_FuelOil_crude oil,19.6,0
Distillate_FuelOil_biomassOil,19.6,0
Distillate_FuelOil_coal,19.6,0
Distillate_FuelOil_natural gas,19.6,0
Gasoline,19.6,0
Gasoline_crude oil,19.6,0
Gasoline_corn,19.6,0
Gasoline_sugar,19.6,0
Gasoline_biomass,19.6,0
Gasoline_coal,19.6,0
Gasoline_natural gas,19.6,0
LPG,19.6,0
LPG_crude oil,19.6,0
LPG_biomass,19.6,0
LPG_coal,19.6,0
LPG_natural gas,19.6,0
Jet_Kerosene,19.6,0
Jet_Kerosene_crude oil,19.6,0
Jet_Kerosene_biomass,19.6,0
Jet_Kerosene_coal,19.6,0
Jet_Kerosene_natural gas,19.6,0
PetCoke,19.6,0
PetCoke_crude oil,19.6,0
PetCoke_biomass,19.6,0
PetCoke_coal,19.6,0
PetCoke_natural gas,19.6,0
Other,19.6,0
Other_crude oil,19.6,0
Other_biomass,19.6,0
Other_coal,19.6,0
Other_natural gas,19.6,0
refined liquids industrial,19.6,0
refined liquids enduse,19.6,0
limestone,0.08,0
unconventional oil upscaling,1.5,0
regional industrial_roundwood,0,0
regional sawnwood,0,0
regional woodpulp,0,0
NonFoodDemand_sawnwood,0,0
NonFoodDemand_woodpulp,0,0
regional woodpulp for energy,23,0
regional Distillate_FuelOil,19.6,0
regional Residual_FuelOil,19.6,0
regional Gasoline,19.6,0
regional PetCoke,19.6,0
regional Jet_Kerosene,19.6,0
regional LPG,19.6,0
regional Other,19.6,0
refined liquids aviation,19.6,0
refined liquids shipping,19.6,0
refined liquids trn_road,19.6,0
refined liquids trn_rail,19.6,0
refined liquids buildings,19.6,0
refined liquids electricity,19.6,0
refined liquids agriculture,19.6,0
refined liquids industrial feedstocks,19.6,0
traded Distillate_FuelOil,19.6,0
traded Residual_FuelOil,19.6,0
traded Gasoline,19.6,0
traded PetCoke,19.6,0
traded Jet_Kerosene,19.6,0
traded LPG,19.6,0
traded Other,19.6,0
