# File: A41.tech_coeff.csv
# Title: Emission coefficients for energy technology by sector 
# Units: NA
# Source: NA 
# Description: may.be.historic is an indicator variable that indicates if the "new" technology may be been used historically by some sector.  
# Column types: cccnnnnnnnncci 
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,CH4,N2O,BC,OC,NMVOC,exception,exception_tech,may.be.historic
refining,ctl,Distillate_FuelOil,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,Residual_FuelOil,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,Gasoline,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,Jet_Kerosene,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,LPG,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,PetCoke,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,ctl,Other,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,coal (conv pul),1
refining,gtl,Distillate_FuelOil,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,Residual_FuelOil,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,Gasoline,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,Jet_Kerosene,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,LPG,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,PetCoke,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,gtl,Other,0.01,0.01,0.01,,0.0001,,,0.0001,CH4,gas (steam/CT),1
refining,biorefining,cellulosic ethanol,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,1
refining,biorefining,corn ethanol,0.01,0.01,0.01,,0.0001,,,0.0001,,,1
refining,biorefining,sugar cane ethanol,0.01,0.01,0.01,,0.0001,,,0.0001,,,1
refining,biorefining,biodiesel,0.01,0.01,0.01,,0.0001,,,0.0001,,,1
refining,biorefining,Residual_FuelOil,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,
refining,biorefining,Jet_Kerosene,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,
refining,biorefining,LPG,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,
refining,biorefining,biochar,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,
refining,biorefining,Other,0.01,0.01,0.01,0.001,0.0001,,,0.0001,,,
electricity,coal,coal (conv pul CCS),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,coal,coal (IGCC),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,coal,coal (IGCC CCS),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,gas,gas (CC),0.001,0.01,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,gas,gas (CC CCS),0.001,0.01,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,refined liquids,refined liquids (CC),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,refined liquids,refined liquids (CC CCS),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,biomass,biomass (conv CCS),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,biomass,biomass (IGCC),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
electricity,biomass,biomass (IGCC CCS),0.001,0.03,,0.0005,0.0001,4.07E-07,1.00E-05,0.0001,CO,gas (steam/CT),
H2 central production,coal,coal chemical,0.01,0.001,0.001,0.002,,,,0.0005,,,
H2 central production,coal,coal chemical CCS,0.01,0.001,0.001,0.002,,,,0.0005,,,
H2 central production,gas,natural gas steam reforming,,0.005462225,0.00048545,,,,,,,,
H2 central production,gas,gas ATR CCS,,0.005462225,0.00048545,,,,,,,,
H2 central production,biomass,biomass to H2,0.01,0.001,0.001,0.001,,,,0.0005,,,
H2 central production,biomass,biomass to H2 CCS,0.01,0.001,0.001,0.001,,,,0.0005,,,
H2 wholesale dispensing,forecourt production,natural gas steam reforming,,0.005462225,0.00048545,,,,,,,,
backup_electricity,gas,gas (steam/CT),8.86847E-05,0.044466679,0.024704416,0.008024657,0.002304998,,,0.00068996,,,
backup_electricity,hydrogen,hydrogen combustion turbine,,0.044466679,,,0.002304998,,,,,,
